Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gemma2_9b,0.527,0.349,0.132,0.314
gpt2_gemma2_9b,llama8b,0.512,0.34,0.124,0.307
gpt2_gemma2_9b,mixtral,0.52,0.37,0.136,0.337
gpt2_gemma2_9b,llama70b,0.509,0.267,0.102,0.249
gpt2_llama8b,gemma2_9b,0.522,0.343,0.123,0.313
gpt2_llama8b,llama8b,0.506,0.311,0.105,0.282
gpt2_llama8b,mixtral,0.542,0.349,0.129,0.316
gpt2_llama8b,llama70b,0.478,0.231,0.078,0.219
gpt2_mixtral,gemma2_9b,0.502,0.411,0.176,0.364
gpt2_mixtral,llama8b,0.477,0.387,0.154,0.351
gpt2_mixtral,mixtral,0.524,0.44,0.192,0.396
gpt2_mixtral,llama70b,0.46,0.3,0.134,0.281
gpt2_llama70b,gemma2_9b,0.597,0.454,0.277,0.423
gpt2_llama70b,llama8b,0.601,0.456,0.268,0.425
gpt2_llama70b,mixtral,0.563,0.409,0.232,0.386
gpt2_llama70b,llama70b,0.612,0.566,0.385,0.551
