feature,importance
the first,4.241051954068098e-15
however,3.7636560534792805e-15
about the,2.930988785010413e-15
won,2.930988785010413e-15
the us,2.903233209394784e-15
the united,2.6978419498391305e-15
he will,2.6451063561694354e-15
initially,2.6423307986078726e-15
as the,2.5333901643165292e-15
many,2.531308496145357e-15
champions,2.4980018054066022e-15
individuals,2.375877272697835e-15
the incident,2.298161660974074e-15
particularly,2.220446049250313e-15
an,2.19824158875781e-15
texas,2.1815882433884324e-15
group,2.0317081350640365e-15
experienced,2.023381462379348e-15
al,1.9984014443252818e-15
was initially,1.965094753586527e-15
million,1.920685832601521e-15
hundreds,1.909583602355269e-15
people,1.892930256985892e-15
also expressed,1.892930256985892e-15
grand,1.887379141862766e-15
intention to,1.8762769116165144e-15
discovered the,1.84297022087776e-15
found that,1.8388068845354155e-15
fine,1.7409684804903236e-15
birth,1.73749903353837e-15
accusations,1.7319479184152442e-15
political,1.7263968032921185e-15
released,1.712519015484304e-15
information,1.6639467581569534e-15
using the,1.63202784619898e-15
to be,1.6292522886374173e-15
charges the,1.6209256159527285e-15
potential,1.5987211554602255e-15
also known,1.587618925213974e-15
incident highlights the,1.5855372570428017e-15
highlights,1.5792922525292851e-15
despite the,1.5709655798445965e-15
countries,1.5251688800788089e-15
had previously,1.5210055437364644e-15
enough,1.5140666498325572e-15
stated that,1.5099033134902129e-15
force and,1.4988010832439613e-15
with no,1.4932499681208355e-15
annually,1.4876988529977098e-15
father,1.4654943925052066e-15
plan,1.4654943925052066e-15
these,1.4599432773820809e-15
on thursday,1.432187701766452e-15
have taken,1.4238610290817632e-15
development,1.4155343563970746e-15
the murder of,1.4099832412739487e-15
mentioned that,1.4099832412739487e-15
disney,1.4099832412739487e-15
the open,1.3822276656583198e-15
to have,1.3711254354120683e-15
wok,1.3617579286417936e-15
returned to,1.3544720900426909e-15
anti,1.3433698597964394e-15
but he,1.3322676295501878e-15
her mother,1.3260226250366713e-15
service,1.3183898417423734e-15
them,1.3100631690576848e-15
obama,1.301736496372996e-15
mugabe,1.298960938811433e-15
books,1.2878587085651815e-15
go,1.2871648191747909e-15
the park,1.2823075934420559e-15
south,1.2712053631958042e-15
circuit,1.2601031329495526e-15
comeback,1.2573275753879897e-15
