feature,importance
patients,6.439293542825908e-16
the,4.3298697960381104e-16
for,4.28129753871076e-16
studies,3.5110803153770577e-16
showed,3.469446951953614e-16
and,3.299444051307887e-16
on the,3.12944115066216e-16
care,2.997602166487923e-16
hf,2.997602166487923e-16
their,2.949029909160572e-16
home care,2.9052281413921576e-16
identify,2.886579864025407e-16
the text,2.886579864025407e-16
text,2.8588242884097783e-16
health,2.831068712794149e-16
okra,2.706168622523819e-16
diabetes,2.636779683484747e-16
including,2.55351295663786e-16
on,2.55351295663786e-16
duct,2.4494295480792514e-16
aimed,2.400857290751901e-16
various,2.338407245616736e-16
use,2.1510571102112408e-16
opium,2.138914045879403e-16
hf patients,2.0816681711721685e-16
the results,2.0816681711721685e-16
analyses,2.0816681711721685e-16
have,2.0816681711721685e-16
for the,2.0261570199409106e-16
integration,1.9984014443252818e-16
diabetic,1.9706458687096528e-16
improvement,1.8735013540549517e-16
significant,1.8596235662471373e-16
patients and,1.8318679906315082e-16
pilot,1.8179902028236938e-16
increased,1.8041124150158794e-16
discusses,1.7486012637846215e-16
program,1.7208456881689927e-16
process,1.6930901125533636e-16
aimed to,1.648854663915955e-16
gene,1.637578961322106e-16
also,1.609823385706477e-16
discusses the,1.5976803213746392e-16
addicted,1.5959455978986625e-16
opium addicted patients,1.5959455978986625e-16
opium addicted,1.5959455978986625e-16
addicted patients,1.5959455978986625e-16
to identify,1.5681900222830337e-16
diameters,1.5404344466674047e-16
experiment,1.5126788710517758e-16
european,1.4988010832439614e-16
effects,1.4779844015322397e-16
areas for improvement,1.4779844015322397e-16
areas for,1.4779844015322397e-16
for improvement,1.4779844015322397e-16
structure,1.4710455076283324e-16
potential,1.470340776216217e-16
home,1.4606371667724716e-16
text describes,1.4432899320127036e-16
the potential,1.4155343563970745e-16
while,1.40165656858926e-16
diameters of the,1.394717674685353e-16
diameters of,1.3600232051658169e-16
and identify,1.3253287356462807e-16
healthcare professionals,1.3183898417423734e-16
uc,1.3149203947904197e-16
this text is,1.304512053934559e-16
the study aimed,1.2975731600306517e-16
study aimed,1.2975731600306517e-16
study aimed to,1.2975731600306517e-16
studies on,1.2947542343821894e-16
that opium,1.287164819174791e-16
bile,1.287164819174791e-16
bile duct,1.287164819174791e-16
purification,1.27675647831893e-16
of hf patients,1.2628786905111155e-16
challenges,1.2628786905111155e-16
of hf,1.2628786905111155e-16
spores,1.2628786905111155e-16
on diabetes,1.2524703496552548e-16
expression,1.2472661792273244e-16
of okra,1.2420620087993938e-16
care for,1.2351231148954867e-16
of patients,1.2212453270876723e-16
their disease,1.2212453270876723e-16
participation,1.1830814106161825e-16
onto,1.1796119636642288e-16
address,1.1796119636642288e-16
have subclinical,1.1726730697603215e-16
rna,1.1483869410966463e-16
and its,1.1449174941446927e-16
in malaysia,1.141448047192739e-16
malaysia,1.141448047192739e-16
diabetic patients,1.1379786002407854e-16
results showed,1.1379786002407854e-16
the results showed,1.1379786002407854e-16
fungus,1.1379786002407854e-16
gene expression,1.1362438767648086e-16
pancreatic duct and,1.1136924715771102e-16
the common bile,1.1136924715771102e-16
pancreatic duct,1.1136924715771102e-16
of the common,1.1136924715771102e-16
portal vein,1.1136924715771102e-16
pancreatic,1.1136924715771102e-16
vein,1.1136924715771102e-16
bile duct pancreatic,1.1136924715771102e-16
users had significantly,1.1136924715771102e-16
portal,1.1136924715771102e-16
the common,1.1136924715771102e-16
significantly larger diameters,1.1136924715771102e-16
duct pancreatic duct,1.1136924715771102e-16
had significantly,1.1136924715771102e-16
significantly larger,1.1136924715771102e-16
duct and,1.1136924715771102e-16
duct and portal,1.1136924715771102e-16
and portal vein,1.1136924715771102e-16
duct pancreatic,1.1136924715771102e-16
had significantly larger,1.1136924715771102e-16
in opium addicted,1.1136924715771102e-16
and portal,1.1136924715771102e-16
results,1.1102230246251565e-16
chronic,1.0963452368173421e-16
many,1.0963452368173421e-16
msa,1.0963452368173421e-16
public,1.0824674490095276e-16
characterizing,1.0824674490095276e-16
older patients,1.0755285551056204e-16
in opium,1.0737938316296436e-16
making,1.0547118733938987e-16
identify areas for,1.0443035325380379e-16
identify areas,1.0443035325380379e-16
and identify areas,1.0443035325380379e-16
and their,1.0408340855860843e-16
professionals,1.0408340855860843e-16
the european,1.033895191682177e-16
exploring,1.033895191682177e-16
patients have,1.0304257447302234e-16
data,1.0130785099704553e-16
results showed that,1.0130785099704553e-16
address the,1.0130785099704553e-16
distinct,1.0130785099704553e-16
subclinical,1.012211148232467e-16
condition to,1.0061396160665481e-16
attributes the,1.0061396160665481e-16
attributes,1.0061396160665481e-16
treatment of depression,1.0061396160665481e-16
attributes the condition,1.0061396160665481e-16
of depression in,1.0061396160665481e-16
the condition to,1.0061396160665481e-16
moss,9.992007221626409e-17
moss rock,9.992007221626409e-17
