Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gemma2_9b,0.548,0.36,0.136,0.329
gpt2_gemma2_9b,llama8b,0.497,0.25,0.088,0.235
gpt2_gemma2_9b,mixtral,0.513,0.31,0.107,0.285
gpt2_gemma2_9b,llama70b,0.535,0.346,0.13,0.319
gpt2_llama8b,gemma2_9b,0.52,0.365,0.139,0.328
gpt2_llama8b,llama8b,0.509,0.283,0.109,0.263
gpt2_llama8b,mixtral,0.521,0.347,0.133,0.315
gpt2_llama8b,llama70b,0.533,0.372,0.146,0.336
gpt2_mixtral,gemma2_9b,0.525,0.386,0.214,0.359
gpt2_mixtral,llama8b,0.598,0.554,0.363,0.536
gpt2_mixtral,mixtral,0.57,0.443,0.257,0.413
gpt2_mixtral,llama70b,0.582,0.445,0.262,0.416
gpt2_llama70b,gemma2_9b,0.509,0.426,0.192,0.382
gpt2_llama70b,llama8b,0.444,0.317,0.143,0.297
gpt2_llama70b,mixtral,0.486,0.389,0.166,0.352
gpt2_llama70b,llama70b,0.509,0.421,0.186,0.379
