id,text,rationale
QuaRel_V1_Fr_0785,"Question: Tommy glided across the marble floor with ease, but slipped and fell on the wet floor because _____ has more resistance. (A) marble floor (B) wet floor
","The answer is B because the question indicates that Tommy slipped and fell on the wet floor, suggesting that the wet floor has more resistance compared to the marble floor.</s>"
QuaRel_V1_B5_0552,"Question: Todd landed on Mercury as part of an historic mission. He saw that Mercury had a very small fraction of the mass of Earth. On which planet will Todd feel less gravitational force? (A) Earth (B) Mercury
","The answer is B because the question indicates that Todd will feel less gravitational force on Mercury, as the mass of Earth is much larger on Mercury than on Earth.</s>"
QuaRel_V1_Fr_0487,"Question: Meredith is trying out here skates. She skates very quickly on the paved street, and takes a shortcut through the flower garden. She has a hard time skating through the flower garden and can only go very slowly. This is because the flower garden has (A) less friction (B) more friction.
","The answer is A because the question indicates that Meredith has a hard time skating through the flower garden, suggesting that the flower garden has less friction than the paved street.</s>"
QuaRel_V1_Fr_0118,"Question: Dan thought that his new hockey buck would go faster off the ice and on a court. So he decided to conduct a test and he determined that he puck went faster on (A) the ice or (B) the basketball court.
","The answer is A because the question states that the puck went faster on the ice, indicating that the ice is a smoother surface than the basketball court.</s>"
QuaRel_V1_B5_1164,"Question: Jacob and Benny are squatting at the gym. Jacob has thin frail legs and Benny has big strong legs. Who squats less weight? (A) Jacob (B) Benny
","The answer is B because the question states that Jacob has thin frail legs and Benny has big strong legs, indicating that Benny squats less weight.</s>"
QuaRel_V1_B4_0070,"Question: The fastest land animal on earth, a cheetah was having a 100m race against a rabbit. Which one one the race? (A) the cheetah (B) the rabbit
","The answer is A because the question indicates that the cheetah had a 100m race against the rabbit, suggesting that the cheetah is the fastest land animal on earth.</s>"
QuaRel_V1_Fr_1260,"Question: James realized that riding his rollerblades in the road produced more friction then riding them in the parking lot. This meant that the _____ generated more heat (A) parking lot (B) road
","The answer is B because the question states that riding a rollerblades in the road produced more friction than riding them in the parking lot, indicating that the road generated more heat.</s>"
QuaRel_V1_Fr_0225,"Question: Casey's auger got a lot hotter when used in clay compared to when he used it in dirt. The augur traveled further in the (A) dirt (B) clay
","The answer is B because the question states that the augur got a lot hotter when used in clay compared to when he used it in dirt, indicating that the augur traveled further in the clay.</s>"
QuaRel_V1_Fr_0634,"Question: Hurley spent a day painting his house. He noticed that his paint brush heated up quite a bit while painting his molding, and stayed pretty cool while painting his plastic trim. He then realized that the _____ had less friction (A) molding (B) plastic
","The answer is A because the question states that the paint brush heated up quite a bit while painting his molding, indicating that the molding has less friction than the plastic trim.</s>"
QuaRel_V1_Fr_0764,"Question: Jane bikes down a pebbled street then turns off onto a smooth path. Jane realizes that she can go much faster with less effort on the smooth path. This is because the path has (A) more friction (B) less friction.
","The answer is B because the question indicates that Jane can go faster with less effort on the smooth path, suggesting that the path has less friction compared to the pebbled street.</s>"
QuaRel_V1_B5_0991,"Question: A Mother plays ball with her baby. Who is more likely not to throw the ball as far (A) Baby (B) Mother
","The answer is B because the question states that a Mother plays ball with her baby, indicating that she is more likely to throw the ball as far as her baby can.</s>"
QuaRel_V1_B5_1287,"Question: When the metal spoon and the drinking glass fell off the table the metal spoon was more flexible so it was (A) more breakable (B) less breakable
","The answer is B because the question indicates that the metal spoon is more flexible, suggesting that it is less breakable. </s>"
QuaRel_V1_Fr_0435,"Question: Timmy's car showed smoke under the hood when he drove over the rough, dirt road and less then on asphalt. This is due to the higher resistance of the (A) dirt road (B) asphalt road?
","The answer is A because the question states that Timmy's car showed smoke under the hood when he drove over the rough, dirt road and less on asphalt road, indicating that the higher resistance of the asphalt road compared to the dirt road.</s>"
QuaRel_V1_B5_0716,"Question: Mary isn't as strong as Holly. This means that _____ distance. (A) Mary (B) Holly can throw the ball a greater
","The answer is A because the question states that Mary isn't as strong as Holly, indicating that Mary needs to distance herself from Holly.</s>"
QuaRel_V1_Fr_0043,"Question: Rebecca rolls a grape across a wooden table and across a hay bale. The hay bale is rougher than the wooden table. The surface with the most resistance is (A) wooden table (B) hay bale
","The answer is A because the question indicates that the hay bale is rougher than the wooden table, suggesting that the wooden table has the most resistance.</s>"
QuaRel_V1_Fr_0693,"Question: An empty pot generates less heat when Mary slides it the wood counter than it does when she slides it across a dish towel. This is because the _____ has less resistance. (A) towel (B) wood counter
","The answer is B because the question indicates that the empty pot generates less heat when Mary slides it the wood counter than it does when she slides it across a dish towel, suggesting that the wood counter has less resistance.</s>"
QuaRel_V1_B4_0373,"Question: Why does Saturn have more gravitational pull than the moon? (A) Saturn has a larger mass (B) The moon is made of cheese
","The answer is A because the question states that Saturn has a larger mass than the moon, indicating that Saturn has a greater gravitational pull than the moon.</s>"
QuaRel_V1_Fr_0014,"Question: Joe went sledding and found that using the other sledders paths, he could go much faster This is because the path was _____ than the untouched snow? (A) smoother (B) rougher
","The answer is A because the question states that the other sledders paths, which were not used by Joe, could go faster than the untouched snow, indicating that the path was smoother than the untouched snow.</s>"
QuaRel_V1_B5_0749,"Question: Amanda asks her roommate Arlene to wake her up early in the morning, so Arlene sets the alarm on her phone. Arlene sleeps in the next room, so when the alarm goes off it doesn't wake Amanda, so Arlene picks up the phone and places it near Amanda's ear, which wakes Amanda. This means that the alarm sounded louder to Amanda when it was (A) in the next room (B) close to Amanda's ear.
","The answer is A because the question states that Arlene slept in the next room, so the alarm went off not waking Amanda, indicating that the alarm sounded louder to Amanda when it was in the next room.</s>"
