feature,importance
not,4.996003610813204e-16
the question,3.642919299551295e-16
question,3.5388358909926865e-16
context,3.3306690738754696e-16
do,3.3046482217358175e-16
the,3.2612801348363973e-16
of the,2.740863092043355e-16
an,2.5326962749261384e-16
may,2.3592239273284576e-16
the context,2.255140518769849e-16
of the question,2.203098814490545e-16
related,2.1510571102112408e-16
the context of,2.0643209364124004e-16
context of,2.0643209364124004e-16
context of the,2.0643209364124004e-16
when,1.8561541192951836e-16
reproduction,1.8474805019152996e-16
do not,1.8041124150158794e-16
options,1.7694179454963432e-16
other options,1.6306400674181987e-16
action,1.5612511283791264e-16
the other,1.5525775109992423e-16
acting,1.5525775109992423e-16
so,1.5525775109992423e-16
therefore,1.5265566588595902e-16
to the,1.491862189340054e-16
understanding and,1.474514954580286e-16
could,1.4051260155412137e-16
is important,1.3964523981613297e-16
example,1.3877787807814457e-16
therefore the,1.3747683547116196e-16
do not fit,1.3704315460216776e-16
not fit,1.3704315460216776e-16
fit,1.3704315460216776e-16
important,1.3660947373317356e-16
for example,1.3357370765021415e-16
if,1.3183898417423734e-16
baseball,1.2923689896027213e-16
acting as silly,1.2793585635328952e-16
the other options,1.2663481374630692e-16
however it,1.249000902703301e-16
the correct,1.249000902703301e-16
the question for,1.244664094013359e-16
question for example,1.244664094013359e-16
question for,1.244664094013359e-16
as silly as,1.218643241873707e-16
as silly,1.218643241873707e-16
so the,1.214306433183765e-16
the correct answer,1.214306433183765e-16
correct answer,1.214306433183765e-16
other options do,1.196959198423997e-16
options do,1.196959198423997e-16
options do not,1.196959198423997e-16
does not,1.1958749962515114e-16
does,1.1958749962515114e-16
through,1.1796119636642288e-16
is important to,1.1622647289044608e-16
it is important,1.1622647289044608e-16
interior,1.1492543028346347e-16
acting as,1.1492543028346347e-16
not related to,1.1449174941446927e-16
are not related,1.1449174941446927e-16
not related,1.1449174941446927e-16
correct,1.1449174941446927e-16
so the answer,1.1275702593849246e-16
ocean,1.1205229452637688e-16
option,1.1102230246251565e-16
material,1.100465205072787e-16
the specific,1.0993810029003015e-16
watering,1.0928757898653885e-16
is the,1.0928757898653885e-16
individual,1.0863705768304754e-16
silly as,1.0798653637955624e-16
as clown,1.0798653637955624e-16
clown,1.0798653637955624e-16
silly as clown,1.0798653637955624e-16
is not,1.0755285551056204e-16
person,1.0668549377257364e-16
the painter,1.0668549377257364e-16
painter,1.0668549377257364e-16
method,1.0581813203458523e-16
about,1.0581813203458523e-16
person is,1.0581813203458523e-16
is an,1.0581813203458523e-16
someone sick,1.0408340855860843e-16
related to the,1.0408340855860843e-16
place where,1.0408340855860843e-16
sick,1.0408340855860843e-16
important to,1.0321604682062002e-16
state,1.0148132334464322e-16
clean,1.0104764247564901e-16
silly,1.0061396160665481e-16
will,1.0061396160665481e-16
note,9.93129189996722e-17
important to note,9.93129189996722e-17
note that,9.93129189996722e-17
to note that,9.93129189996722e-17
to note,9.93129189996722e-17
shrivel,9.8879238130678e-17
shrivel up,9.8879238130678e-17
vegetables will,9.8879238130678e-17
and vegetables will,9.8879238130678e-17
the newspaper,9.80118763926896e-17
café,9.80118763926896e-17
food,9.71445146547012e-17
use of,9.71445146547012e-17
their understanding and,9.497611030973019e-17
of the material,9.497611030973019e-17
comprehension of the,9.497611030973019e-17
and comprehension,9.497611030973019e-17
and comprehension of,9.497611030973019e-17
the material,9.497611030973019e-17
their understanding,9.497611030973019e-17
the individual,9.497611030973019e-17
comprehension of,9.497611030973019e-17
damaged,9.497611030973019e-17
understanding and comprehension,9.497611030973019e-17
vegetables,9.454242944073599e-17
and vegetables,9.454242944073599e-17
herbs,9.454242944073599e-17
if people,9.454242944073599e-17
people do,9.454242944073599e-17
if people do,9.454242944073599e-17
fresh herbs,9.454242944073599e-17
fresh,9.454242944073599e-17
the fresh herbs,9.454242944073599e-17
the fresh,9.454242944073599e-17
may not,9.378348791999613e-17
fit the,9.367506770274758e-17
not fit the,9.367506770274758e-17
room,9.280770596475918e-17
the rationale for,9.194034422677078e-17
when clothes,9.164218862933726e-17
because if,9.107298248878237e-17
is because if,9.107298248878237e-17
possible outcome when,9.063930161978817e-17
outcome when,9.063930161978817e-17
related to,9.020562075079397e-17
become,9.020562075079397e-17
behavior,9.020562075079397e-17
rationale,8.825405684032006e-17
crisp,8.803721640582296e-17
animals,8.733248499370738e-17
use,8.716985466783456e-17
that the question,8.673617379884035e-17
plants,8.673617379884035e-17
wet,8.630249292984615e-17
rationale for,8.500145032286355e-17
the person is,8.435092901937224e-17
comprehension,8.391724815037804e-17
worn,8.326672684688674e-17
other,8.326672684688674e-17
became,8.326672684688674e-17
is play,8.239936510889834e-17
on words,8.239936510889834e-17
is play on,8.239936510889834e-17
words,8.239936510889834e-17
play,8.239936510889834e-17
play on,8.239936510889834e-17
play on words,8.239936510889834e-17
the ocean,8.218252467440124e-17
the lines,8.196568423990414e-17
not thing,8.153200337090993e-17
is not thing,8.153200337090993e-17
gets,8.153200337090993e-17
gets tired,8.153200337090993e-17
will shrivel up,8.153200337090993e-17
someone gets,8.153200337090993e-17
someone gets tired,8.153200337090993e-17
vegetables will shrivel,8.153200337090993e-17
fit the context,8.153200337090993e-17
when someone gets,8.153200337090993e-17
will shrivel,8.153200337090993e-17
not typical,8.134226799072497e-17
lines,8.131516293641283e-17
because the painter,8.066464163292153e-17
playing,7.979727989493313e-17
is in,7.979727989493313e-17
the person,7.979727989493313e-17
however it is,7.979727989493313e-17
military,7.979727989493313e-17
leader,7.936359902593892e-17
find,7.892991815694472e-17
information,7.806255641895632e-17
supermarket,7.806255641895632e-17
focused,7.719519468096792e-17
rationale for the,7.676151381197371e-17
method of reproduction,7.632783294297951e-17
flowers and,7.632783294297951e-17
herbs flowers,7.632783294297951e-17
herbs flowers and,7.632783294297951e-17
flowers and vegetables,7.632783294297951e-17
method of,7.632783294297951e-17
with,7.632783294297951e-17
having,7.632783294297951e-17
fresh herbs flowers,7.632783294297951e-17
flowers,7.632783294297951e-17
after,7.567731163948821e-17
not be,7.48099499014998e-17
newspaper,7.45931094670027e-17
tape,7.45931094670027e-17
foolish,7.426784881525705e-17
not explicitly state,7.39425881635114e-17
state that the,7.39425881635114e-17
explicitly state,7.39425881635114e-17
does not explicitly,7.39425881635114e-17
explicitly state that,7.39425881635114e-17
clean and,7.37257477290143e-17
this context,7.28583859910259e-17
tired,7.134050294954619e-17
includes,7.112366251504909e-17
an interior,7.090682208055199e-17
particular,7.068998164605489e-17
fun,7.025630077706069e-17
city to,6.982261990806649e-17
can make,6.938893903907228e-17
the internet,6.938893903907228e-17
internet,6.938893903907228e-17
more,6.938893903907228e-17
out,6.895525817007808e-17
kitchen,6.852157730108388e-17
use of tape,6.852157730108388e-17
the room,6.852157730108388e-17
of tape to,6.852157730108388e-17
of tape,6.852157730108388e-17
tape to,6.852157730108388e-17
edge,6.852157730108388e-17
when they,6.852157730108388e-17
that has leader,6.808789643208968e-17
has leader,6.808789643208968e-17
speak,6.776263578034403e-17
speak english,6.776263578034403e-17
people do not,6.776263578034403e-17
