Model 1,Model 2,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.9,"{'gpt2_gemma2_9b': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'gpt2_llama8b': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 20.0}, 'weighted avg': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.85,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.7, 'f1-score': 0.824, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.769, 'recall': 1.0, 'f1-score': 0.87, 'support': 10.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.885, 'recall': 0.85, 'f1-score': 0.847, 'support': 20.0}, 'weighted avg': {'precision': 0.885, 'recall': 0.85, 'f1-score': 0.847, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.7,"{'gpt2_gemma2_9b': {'precision': 0.7, 'recall': 0.7, 'f1-score': 0.7, 'support': 10.0}, 'gpt2_llama70b': {'precision': 0.7, 'recall': 0.7, 'f1-score': 0.7, 'support': 10.0}, 'accuracy': 0.7, 'macro avg': {'precision': 0.7, 'recall': 0.7, 'f1-score': 0.7, 'support': 20.0}, 'weighted avg': {'precision': 0.7, 'recall': 0.7, 'f1-score': 0.7, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.75,"{'gpt2_gemma2_9b': {'precision': 0.857, 'recall': 0.6, 'f1-score': 0.706, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.692, 'recall': 0.9, 'f1-score': 0.783, 'support': 10.0}, 'accuracy': 0.75, 'macro avg': {'precision': 0.775, 'recall': 0.75, 'f1-score': 0.744, 'support': 20.0}, 'weighted avg': {'precision': 0.775, 'recall': 0.75, 'f1-score': 0.744, 'support': 20.0}}"
gpt2_llama8b,gpt2_mixtral,0.9,"{'gpt2_llama8b': {'precision': 1.0, 'recall': 0.8, 'f1-score': 0.889, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.833, 'recall': 1.0, 'f1-score': 0.909, 'support': 10.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.917, 'recall': 0.9, 'f1-score': 0.899, 'support': 20.0}, 'weighted avg': {'precision': 0.917, 'recall': 0.9, 'f1-score': 0.899, 'support': 20.0}}"
gpt2_llama8b,gpt2_llama70b,0.9,"{'gpt2_llama70b': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'gpt2_llama8b': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 20.0}, 'weighted avg': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 20.0}}"
gpt2_llama8b,gpt2_mistral7b,0.85,"{'gpt2_llama8b': {'precision': 0.889, 'recall': 0.8, 'f1-score': 0.842, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.818, 'recall': 0.9, 'f1-score': 0.857, 'support': 10.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}, 'weighted avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}}"
gpt2_mixtral,gpt2_llama70b,0.75,"{'gpt2_llama70b': {'precision': 0.857, 'recall': 0.6, 'f1-score': 0.706, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.692, 'recall': 0.9, 'f1-score': 0.783, 'support': 10.0}, 'accuracy': 0.75, 'macro avg': {'precision': 0.775, 'recall': 0.75, 'f1-score': 0.744, 'support': 20.0}, 'weighted avg': {'precision': 0.775, 'recall': 0.75, 'f1-score': 0.744, 'support': 20.0}}"
gpt2_mixtral,gpt2_mistral7b,0.6,"{'gpt2_mistral7b': {'precision': 0.75, 'recall': 0.3, 'f1-score': 0.429, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.562, 'recall': 0.9, 'f1-score': 0.692, 'support': 10.0}, 'accuracy': 0.6, 'macro avg': {'precision': 0.656, 'recall': 0.6, 'f1-score': 0.56, 'support': 20.0}, 'weighted avg': {'precision': 0.656, 'recall': 0.6, 'f1-score': 0.56, 'support': 20.0}}"
gpt2_llama70b,gpt2_mistral7b,0.9,"{'gpt2_llama70b': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 20.0}, 'weighted avg': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 20.0}}"
