feature,importance
the,1.3586354263850353e-14
of,6.6682770416548465e-15
that,5.7870375158586285e-15
table,4.48848857387274e-15
smooth,3.5214886562329184e-15
has,3.2768926461201886e-15
than,3.2127078775090467e-15
same,3.1944932810112903e-15
the same,3.1944932810112903e-15
resistance,3.1710745140856034e-15
distance,3.0635216585750413e-15
when,2.9351521213527576e-15
gravitational,2.7885679876327174e-15
than the,2.733924198139448e-15
less,2.7131075164277263e-15
heat,2.680581451253161e-15
is,2.609024107869118e-15
of the,2.5131806358213993e-15
more,2.3158558404290375e-15
the street,2.3119527126080897e-15
mass,2.2100377083944522e-15
physical,2.1961599205866378e-15
rug,2.1675369832330205e-15
earth,2.16233281280509e-15
skin,2.1584296849841422e-15
in,1.9897278269453977e-15
force,1.9502628678669254e-15
an,1.9272777818102327e-15
phrasing,1.9272777818102327e-15
time,1.897787482718627e-15
in the,1.880440247958859e-15
question phrasing,1.861141449288617e-15
object,1.782536791783418e-15
less heat,1.7824283715661693e-15
smooth skin,1.7359160983665411e-15
amount of,1.7312540290248535e-15
amount,1.7312540290248535e-15
the pen,1.7256161777279289e-15
pen,1.7256161777279289e-15
may,1.7143404751340796e-15
less resistance,1.7052331768852014e-15
hill,1.6878859421254333e-15
question,1.6844164951734797e-15
mercury,1.6670692604137116e-15
heat up,1.6618650899857812e-15
given,1.6601303665098044e-15
foot,1.6488546639159551e-15
the question phrasing,1.6061370983200263e-15
means,1.5890067039947553e-15
up,1.582067810090848e-15
more resistance,1.5757252273818079e-15
red,1.5161483180037294e-15
the tire,1.5150641158312439e-15
tire,1.5079083814928396e-15
has more,1.5031378919339033e-15
however,1.4727802311043092e-15
plastic table,1.4693107841523556e-15
that the,1.4675760606763788e-15
sidewalk,1.462100839705327e-15
amount of time,1.4584687624275006e-15
ground,1.4268100589909238e-15
is smoother,1.4242079737769586e-15
grass,1.4203048459560108e-15
pull,1.4183532820455369e-15
same amount,1.4146669946590862e-15
the same amount,1.4146669946590862e-15
same amount of,1.4146669946590862e-15
gravitational force,1.384309333829492e-15
causing the,1.3773704399255848e-15
the sidewalk,1.3686968225457008e-15
information given,1.3458201567062567e-15
is actually the,1.3426759704060487e-15
todd,1.3418086086680603e-15
plastic,1.3340023530261647e-15
bread,1.3305600111285232e-15
the wooden,1.3140530330524314e-15
distance in,1.3137277724006857e-15
actually the,1.3136193521834372e-15
when it,1.2975731600306517e-15
smoother,1.2975731600306517e-15
the rubber mat,1.2761059570154387e-15
lawn,1.2750217548429532e-15
error,1.270251265284017e-15
flat ground,1.2672154992010576e-15
indicates that,1.2576745200831851e-15
of time,1.25507243486922e-15
the flat,1.2481335409653127e-15
jet,1.222980050563649e-15
wooden table,1.2171253588322273e-15
street,1.212138028838794e-15
his,1.2039523024365284e-15
friction when,1.2023802092864244e-15
gravitational pull,1.2004286453759505e-15
mirror,1.1982602410309795e-15
the pit,1.1934897514720433e-15
cover the,1.1856834958301476e-15
is not,1.1848161340921592e-15
the tank,1.1830814106161824e-15
flat,1.182214048878194e-15
in the same,1.1796119636642288e-15
generates,1.1771182986675122e-15
surface that,1.1761425167122752e-15
the red,1.1683362610703796e-15
the rougher surface,1.164866814118426e-15
truck,1.1613973671664723e-15
the flat ground,1.1553258350005535e-15
cover the same,1.1527237497865883e-15
has less resistance,1.1518563880486e-15
the wooden table,1.1480074703362764e-15
however the,1.1466522176206695e-15
pit,1.1440501324067043e-15
information,1.1431827706687159e-15
therefore,1.1379786002407855e-15
greater,1.1362438767648086e-15
has less,1.132774429812855e-15
which is,1.128437621122913e-15
suggests that the,1.124100812432971e-15
mat,1.1172703387463123e-15
rubber mat,1.1172703387463123e-15
phrasing error,1.1098164488104745e-15
the lawn,1.108921982018174e-15
from,1.0998146837692957e-15
larger,1.0995978433347986e-15
the porcelain,1.096345236817342e-15
the jet,1.0950441942103595e-15
far,1.0868042576994696e-15
because,1.0859368959614812e-15
person,1.0859368959614812e-15
the plastic table,1.0842021724855044e-15
hose,1.080190624447308e-15
greater distance,1.0737938316296436e-15
same distance,1.0720591081536668e-15
the same distance,1.0720591081536668e-15
offers,1.0694570229397016e-15
distance in the,1.0630060200134128e-15
the rougher,1.0590486820838407e-15
however the question,1.0586150012148465e-15
rock,1.0517845275281879e-15
when the,1.0453877347105234e-15
tank,1.0430024899310553e-15
which,1.0408340855860843e-15
table is,1.0386656812411132e-15
resistance to,1.0321604682062002e-15
on mercury,1.0213184464813452e-15
friend,1.0200174038743626e-15
cement driveway,1.0191771471906863e-15
surface of the,1.0139458717084437e-15
has more resistance,1.0130785099704553e-15
push,1.0109101056254843e-15
indicates,1.0096090630185017e-15
heat up more,1.0053806745458083e-15
cover,1.0000680839006293e-15
question phrasing error,9.94497995239485e-16
because the question,9.905271047827569e-16
porcelain,9.861902960928148e-16
rolling,9.848892534858322e-16
vase,9.84455572616838e-16
travel,9.835882108788496e-16
rug is,9.814198065338786e-16
that is,9.812029660993815e-16
with his,9.777335191474279e-16
maria,9.750636712976823e-16
drive faster,9.744809126299714e-16
the plastic,9.69276742202041e-16
blue,9.680807316805179e-16
field,9.653736143810931e-16
the blue,9.632052100361221e-16
the green,9.619041674291395e-16
green,9.619041674291395e-16
the red rug,9.571336778702033e-16
red rug,9.571336778702033e-16
resistance and,9.558326352632207e-16
choice in the,9.544231724389896e-16
more smooth,9.428222091933947e-16
surface of,9.384854005034526e-16
thrown,9.324138683375338e-16
for the surface,9.298117831235686e-16
the rubber,9.185360805297194e-16
less resistance to,9.172350379227368e-16
an object,9.172350379227368e-16
the smooth,9.168013570537425e-16
choice in,9.099708833670839e-16
table cloth,9.098624631498353e-16
the table cloth,9.098624631498353e-16
his foot,9.08995101411847e-16
will take,9.055256544598933e-16
gets,9.050919735908991e-16
