Model 1,Model 2,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.923,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.667, 'f1-score': 0.8, 'support': 3.0}, 'gpt2_llama8b': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'accuracy': 0.9230769230769231, 'macro avg': {'precision': 0.955, 'recall': 0.833, 'f1-score': 0.876, 'support': 13.0}, 'weighted avg': {'precision': 0.93, 'recall': 0.923, 'f1-score': 0.917, 'support': 13.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.923,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.667, 'f1-score': 0.8, 'support': 3.0}, 'gpt2_mixtral': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'accuracy': 0.9230769230769231, 'macro avg': {'precision': 0.955, 'recall': 0.833, 'f1-score': 0.876, 'support': 13.0}, 'weighted avg': {'precision': 0.93, 'recall': 0.923, 'f1-score': 0.917, 'support': 13.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.846,"{'gpt2_gemma2_9b': {'precision': 0.667, 'recall': 0.667, 'f1-score': 0.667, 'support': 3.0}, 'gpt2_llama70b': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'accuracy': 0.8461538461538461, 'macro avg': {'precision': 0.783, 'recall': 0.783, 'f1-score': 0.783, 'support': 13.0}, 'weighted avg': {'precision': 0.846, 'recall': 0.846, 'f1-score': 0.846, 'support': 13.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.857,"{'gpt2_gemma2_9b': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 4.0}, 'gpt2_mistral7b': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'accuracy': 0.8571428571428571, 'macro avg': {'precision': 0.825, 'recall': 0.825, 'f1-score': 0.825, 'support': 14.0}, 'weighted avg': {'precision': 0.857, 'recall': 0.857, 'f1-score': 0.857, 'support': 14.0}}"
gpt2_llama8b,gpt2_mixtral,0.579,"{'gpt2_llama8b': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.556, 'recall': 0.556, 'f1-score': 0.556, 'support': 9.0}, 'accuracy': 0.5789473684210527, 'macro avg': {'precision': 0.578, 'recall': 0.578, 'f1-score': 0.578, 'support': 19.0}, 'weighted avg': {'precision': 0.579, 'recall': 0.579, 'f1-score': 0.579, 'support': 19.0}}"
gpt2_llama8b,gpt2_llama70b,0.158,"{'gpt2_llama70b': {'precision': 0.25, 'recall': 0.3, 'f1-score': 0.273, 'support': 10.0}, 'gpt2_llama8b': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 9.0}, 'accuracy': 0.15789473684210525, 'macro avg': {'precision': 0.125, 'recall': 0.15, 'f1-score': 0.136, 'support': 19.0}, 'weighted avg': {'precision': 0.132, 'recall': 0.158, 'f1-score': 0.144, 'support': 19.0}}"
gpt2_llama8b,gpt2_mistral7b,0.3,"{'gpt2_llama8b': {'precision': 0.333, 'recall': 0.4, 'f1-score': 0.364, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.25, 'recall': 0.2, 'f1-score': 0.222, 'support': 10.0}, 'accuracy': 0.3, 'macro avg': {'precision': 0.292, 'recall': 0.3, 'f1-score': 0.293, 'support': 20.0}, 'weighted avg': {'precision': 0.292, 'recall': 0.3, 'f1-score': 0.293, 'support': 20.0}}"
gpt2_mixtral,gpt2_llama70b,0.895,"{'gpt2_llama70b': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.889, 'recall': 0.889, 'f1-score': 0.889, 'support': 9.0}, 'accuracy': 0.8947368421052632, 'macro avg': {'precision': 0.894, 'recall': 0.894, 'f1-score': 0.894, 'support': 19.0}, 'weighted avg': {'precision': 0.895, 'recall': 0.895, 'f1-score': 0.895, 'support': 19.0}}"
gpt2_mixtral,gpt2_mistral7b,0.25,"{'gpt2_mistral7b': {'precision': 0.273, 'recall': 0.3, 'f1-score': 0.286, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.222, 'recall': 0.2, 'f1-score': 0.211, 'support': 10.0}, 'accuracy': 0.25, 'macro avg': {'precision': 0.247, 'recall': 0.25, 'f1-score': 0.248, 'support': 20.0}, 'weighted avg': {'precision': 0.247, 'recall': 0.25, 'f1-score': 0.248, 'support': 20.0}}"
gpt2_llama70b,gpt2_mistral7b,0.4,"{'gpt2_llama70b': {'precision': 0.417, 'recall': 0.5, 'f1-score': 0.455, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.375, 'recall': 0.3, 'f1-score': 0.333, 'support': 10.0}, 'accuracy': 0.4, 'macro avg': {'precision': 0.396, 'recall': 0.4, 'f1-score': 0.394, 'support': 20.0}, 'weighted avg': {'precision': 0.396, 'recall': 0.4, 'f1-score': 0.394, 'support': 20.0}}"
