Model 1,Model 2,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.769,"{'gpt2_gemma2_9b': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.0}, 'gpt2_llama8b': {'precision': 0.769, 'recall': 1.0, 'f1-score': 0.87, 'support': 10.0}, 'accuracy': 0.7692307692307693, 'macro avg': {'precision': 0.385, 'recall': 0.5, 'f1-score': 0.435, 'support': 13.0}, 'weighted avg': {'precision': 0.592, 'recall': 0.769, 'f1-score': 0.669, 'support': 13.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.769,"{'gpt2_gemma2_9b': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.0}, 'gpt2_mixtral': {'precision': 0.769, 'recall': 1.0, 'f1-score': 0.87, 'support': 10.0}, 'accuracy': 0.7692307692307693, 'macro avg': {'precision': 0.385, 'recall': 0.5, 'f1-score': 0.435, 'support': 13.0}, 'weighted avg': {'precision': 0.592, 'recall': 0.769, 'f1-score': 0.669, 'support': 13.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.692,"{'gpt2_gemma2_9b': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.0}, 'gpt2_llama70b': {'precision': 0.75, 'recall': 0.9, 'f1-score': 0.818, 'support': 10.0}, 'accuracy': 0.6923076923076923, 'macro avg': {'precision': 0.375, 'recall': 0.45, 'f1-score': 0.409, 'support': 13.0}, 'weighted avg': {'precision': 0.577, 'recall': 0.692, 'f1-score': 0.629, 'support': 13.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.714,"{'gpt2_gemma2_9b': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4.0}, 'gpt2_mistral7b': {'precision': 0.714, 'recall': 1.0, 'f1-score': 0.833, 'support': 10.0}, 'accuracy': 0.7142857142857143, 'macro avg': {'precision': 0.357, 'recall': 0.5, 'f1-score': 0.417, 'support': 14.0}, 'weighted avg': {'precision': 0.51, 'recall': 0.714, 'f1-score': 0.595, 'support': 14.0}}"
gpt2_llama8b,gpt2_mixtral,0.211,"{'gpt2_llama8b': {'precision': 0.222, 'recall': 0.2, 'f1-score': 0.211, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.2, 'recall': 0.222, 'f1-score': 0.211, 'support': 9.0}, 'accuracy': 0.21052631578947367, 'macro avg': {'precision': 0.211, 'recall': 0.211, 'f1-score': 0.211, 'support': 19.0}, 'weighted avg': {'precision': 0.212, 'recall': 0.211, 'f1-score': 0.211, 'support': 19.0}}"
gpt2_llama8b,gpt2_llama70b,0.368,"{'gpt2_llama70b': {'precision': 0.375, 'recall': 0.3, 'f1-score': 0.333, 'support': 10.0}, 'gpt2_llama8b': {'precision': 0.364, 'recall': 0.444, 'f1-score': 0.4, 'support': 9.0}, 'accuracy': 0.3684210526315789, 'macro avg': {'precision': 0.369, 'recall': 0.372, 'f1-score': 0.367, 'support': 19.0}, 'weighted avg': {'precision': 0.37, 'recall': 0.368, 'f1-score': 0.365, 'support': 19.0}}"
gpt2_llama8b,gpt2_mistral7b,0.05,"{'gpt2_llama8b': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.091, 'recall': 0.1, 'f1-score': 0.095, 'support': 10.0}, 'accuracy': 0.05, 'macro avg': {'precision': 0.045, 'recall': 0.05, 'f1-score': 0.048, 'support': 20.0}, 'weighted avg': {'precision': 0.045, 'recall': 0.05, 'f1-score': 0.048, 'support': 20.0}}"
gpt2_mixtral,gpt2_llama70b,0.474,"{'gpt2_llama70b': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.444, 'recall': 0.444, 'f1-score': 0.444, 'support': 9.0}, 'accuracy': 0.47368421052631576, 'macro avg': {'precision': 0.472, 'recall': 0.472, 'f1-score': 0.472, 'support': 19.0}, 'weighted avg': {'precision': 0.474, 'recall': 0.474, 'f1-score': 0.474, 'support': 19.0}}"
gpt2_mixtral,gpt2_mistral7b,0.3,"{'gpt2_mistral7b': {'precision': 0.357, 'recall': 0.5, 'f1-score': 0.417, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.167, 'recall': 0.1, 'f1-score': 0.125, 'support': 10.0}, 'accuracy': 0.3, 'macro avg': {'precision': 0.262, 'recall': 0.3, 'f1-score': 0.271, 'support': 20.0}, 'weighted avg': {'precision': 0.262, 'recall': 0.3, 'f1-score': 0.271, 'support': 20.0}}"
gpt2_llama70b,gpt2_mistral7b,0.5,"{'gpt2_llama70b': {'precision': 0.5, 'recall': 0.4, 'f1-score': 0.444, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.5, 'recall': 0.6, 'f1-score': 0.545, 'support': 10.0}, 'accuracy': 0.5, 'macro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.495, 'support': 20.0}, 'weighted avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.495, 'support': 20.0}}"
