Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.574,0.497,0.265,0.447
gpt2_gemma2_9b,mixtral,0.55,0.478,0.246,0.431
gpt2_gemma2_9b,llama70b,0.553,0.469,0.23,0.415
gpt2_llama8b,gemma2_9b,0.62,0.543,0.358,0.527
gpt2_llama8b,mixtral,0.592,0.488,0.295,0.459
gpt2_llama8b,llama70b,0.58,0.461,0.28,0.438
gpt2_mixtral,gemma2_9b,0.544,0.432,0.241,0.403
gpt2_mixtral,llama8b,0.566,0.497,0.257,0.443
gpt2_mixtral,llama70b,0.567,0.494,0.252,0.434
gpt2_llama70b,gemma2_9b,0.542,0.411,0.219,0.385
gpt2_llama70b,llama8b,0.569,0.481,0.243,0.434
gpt2_llama70b,mixtral,0.567,0.478,0.25,0.436
