feature,importance
for,2.4424906541753446e-16
his,1.4051260155412137e-16
won,1.3877787807814457e-16
american,1.1102230246251565e-16
injury,1.0963452368173421e-16
is,1.0547118733938987e-16
united,8.916478666520788e-17
not,8.881784197001253e-17
anner,8.743006318923108e-17
clinton,8.604228440844963e-17
gas,8.326672684688674e-17
she,8.049116928532385e-17
darfur,7.91033905045424e-17
in darfur,7.91033905045424e-17
state,7.771561172376095e-17
won against,7.771561172376095e-17
this,7.632783294297951e-17
page,7.615436059538183e-17
air,7.494005416219807e-17
and his,7.45931094670027e-17
of state,7.259817746962938e-17
secretary of,7.259817746962938e-17
secretary of state,7.259817746962938e-17
had,7.216449660063518e-17
national,6.800116025829084e-17
obama,6.748074321549779e-17
vietnamese,6.539907504432563e-17
vietnamese american,6.539907504432563e-17
cao,6.539907504432563e-17
network,6.38378239159465e-17
will,6.38378239159465e-17
being,6.38378239159465e-17
on monday,6.38378239159465e-17
club,6.314393452555578e-17
president obama,6.314393452555578e-17
sudanese government,6.245004513516506e-17
the sudanese government,6.245004513516506e-17
play,6.106226635438361e-17
comes,6.106226635438361e-17
health,6.106226635438361e-17
program,6.106226635438361e-17
prices,6.036837696399288e-17
support,5.828670879282072e-17
sudanese,5.759281940243e-17
tactics,5.620504062164855e-17
improved,5.620504062164855e-17
tactics and,5.620504062164855e-17
decline,5.620504062164855e-17
the club,5.58797799699029e-17
russia,5.568462357885551e-17
against,5.551115123125783e-17
the goal,5.5164206536062467e-17
president,5.4817261840867107e-17
allowing,5.412337245047638e-17
said,5.2735593669694933e-17
the conflict,5.2562121322097256e-17
stated that the,5.2215176626901896e-17
base,5.204170427930421e-17
goal,5.204170427930421e-17
factory,5.134781488891349e-17
on bail,5.0653925498522766e-17
michael,4.9960036108132046e-17
service,4.9960036108132046e-17
disciplinary,4.9613091412936685e-17
vietnamese american congressman,4.8398784979752915e-17
american congressman,4.8398784979752915e-17
congressman,4.8398784979752915e-17
his win,4.8398784979752915e-17
that the,4.787836793695988e-17
and will,4.718447854656915e-17
accused of,4.718447854656915e-17
community,4.718447854656915e-17
at,4.718447854656915e-17
conflict in darfur,4.666406150377611e-17
march,4.657732532997727e-17
the scene,4.649058915617843e-17
meeting,4.5796699765787705e-17
to be,4.5796699765787705e-17
may,4.5796699765787705e-17
coast,4.5796699765787705e-17
french,4.5102810375396984e-17
marseille,4.4755865680201624e-17
lomu,4.4755865680201624e-17
turbulence,4.4408920985006264e-17
judge,4.4408920985006264e-17
will not,4.4408920985006264e-17
believed,4.4408920985006264e-17
be,4.4408920985006264e-17
he,4.4408920985006264e-17
was not,4.4408920985006264e-17
concludes,4.40619762898109e-17
article,4.371503159461554e-17
player,4.302114220422482e-17
jail,4.302114220422482e-17
the region,4.302114220422482e-17
been,4.302114220422482e-17
term,4.267419750902946e-17
the sudanese,4.267419750902946e-17
