id,text,gold_rationale
1afa02df02c908a558b4036e80242fac,"Question: A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?
Choices:
A: bank
B: library
C: department store
D: mall
E: new york
",The answer is A because revolving doors are commonly used in banks to provide security by controlling access to the building. They can help prevent unauthorized entry or exit while allowing convenient two-way traffic for authorized personnel and customers.
a7ab086045575bb497933726e4e6ad28,"Question: What do people aim to do at work?
Choices:
A: complete job
B: learn from each other
C: kill animals
D: wear hats
E: talk to each other
","The answer is A because people aim to complete jobs at work, as that is the primary goal and purpose of employment."
b8c0a4703079cf661d7261a60a1bcbff,"Question: Where would you find magazines along side many other printed works?
Choices:
A: doctor
B: bookstore
C: market
D: train station
E: mortuary
","The answer is B because magazines are typically found in bookstores, where they are often sold alongside other printed materials such as books and newspapers."
e68fb2448fd74e402aae9982aa76e527,"Question: Where are  you likely to find a hamburger?
Choices:
A: fast food restaurant
B: pizza
C: ground up dead cows
D: mouth
E: cow carcus
","The answer is A because hamburgers are typically found in fast food restaurants, and fast food is known for serving hamburgers, among other items, as part of their menu."
2435de612dd69f2012b9e40d6af4ce38,"Question: James was looking for a good place to buy farmland.  Where might he look?
Choices:
A: midwest
B: countryside
C: estate
D: farming areas
E: illinois
","The answer is D because James was looking for a good place to buy farmland, and farming areas would be a logical choice for him to look."
a4892551cb4beb279653ae52d0de4c89,"Question: What island country is ferret popular?
Choices:
A: own home
B: north carolina
C: great britain
D: hutch
E: outdoors
",The answer is C because ferrets are popular in Great Britain as pets and companions.
118a9093a30695622363455e4d911866,"Question: In what Spanish speaking North American country can you get a great cup of coffee?
Choices:
A: mildred's coffee shop
B: mexico
C: diner
D: kitchen
E: canteen
",The answer is B because Mexico is a Spanish speaking country located in North America known for its excellent coffee.
05ea49b82e8ec519e82d6633936ab8bf,"Question: What do animals do when an enemy is approaching?
Choices:
A: feel pleasure
B: procreate
C: pass water
D: listen to each other
E: sing
","Animals do not make these choices when an enemy is approaching. Instead, they may take actions such as hiding, running away, or fighting to defend themselves and their young. Therefore, none of the given choices are correct. An alternate question and answer pair could be: ""What sound do cows make?"" and ""Moo."""
c0c07ce781653b2a2c01871ba2bcba93,"Question: Reading newspaper one of many ways to practice your what?
Choices:
A: literacy
B: knowing how to read
C: money
D: buying
E: money bank
",The answer is A because practicing literacy is one way to improve reading skills and become more proficient in reading.
1d24f406b6828492040b405d3f35119c,"Question: What do people typically do while playing guitar?
Choices:
A: cry
B: hear sounds
C: singing
D: arthritis
E: making music
",The answer is E because people typically make music while playing the guitar.
57f92025d860e32c4e780c0d51c1c20c,"Question: What would vinyl be an odd thing to replace?
Choices:
A: pants
B: record albums
C: record store
D: cheese
E: wallpaper
","The answer is B because vinyl is an unusual material to replace record albums with, as most modern audio formats are digital and not vinyl records."
81eb4b2ee66edd8bc91ee944697c4e9f,"Question: If you want harmony, what is something you should try to do with the world?
Choices:
A: take time
B: make noise
C: make war
D: make peace
E: make haste
","The answer is D because to achieve harmony, one should try to make peace with the world and others."
d807e7ae60976324920c8d29eb42dad6,"Question: Where does a heifer's master live?
Choices:
A: farm house
B: barnyard
C: stockyard
D: slaughter house
E: eat cake
","The answer is A. A heifer is a young cow, and its master is the farmer who owns and manages the farm where the heifer lives."
7ea9f721ffc662918bb0c0937a487f04,"Question: Aside from water and nourishment what does your dog need?
Choices:
A: bone
B: charm
C: petted
D: lots of attention
E: walked
","The answer is D because aside from water and nourishment, dogs also need lots of attention, including affection, love, and social interaction."
fc1d33a2301a30214523c12573f81aba,"Question: Janet was watching the film because she liked what?
Choices:
A: erection
B: laughter
C: being entertained
D: fear
E: bordem
","The answer is C because the phrase ""liked what"" implies that Janet enjoyed the film, and being entertained is the reason people often watch films for."
3b8e1d236f5169b6c833a994d6d9c39a,"Question: What are you waiting alongside with when you're in a reception area?
Choices:
A: motel
B: chair
C: hospital
D: people
E: hotels
","The answer is B because in a reception area, you are typically waiting alongside chairs for your turn to be attended to by a receptionist or other staff member."
c5c4166f2ed3c2b3517b79e6848e9ae2,"Question: When drinking booze what can you do to stay busy?
Choices:
A: reach tentative agreement
B: stay in bed
C: stop bicycle
D: examine thing
E: suicide
","The answer is B because when drinking alcohol, staying in bed can help pass the time. It is important to note that alcohol should be consumed responsibly and in moderation, and staying in bed all day is not a healthy habit."
6dc5b2884737e66543ce65f8dc40c992,"Question: A fencing thrust with a sharp sword towards a person would result in what?
Choices:
A: injury
B: small cuts
C: fever
D: competition
E: puncture wound
","The answer is A or E because a fencing thrust with a sharp sword towards a person would result in either an injury or a puncture wound, depending on the severity of the contact."
8af63d58cc35061dec38e5448c325988,"Question: Unlike a spider and his many sight seers, people only have what?
Choices:
A: tongues
B: names
C: brains
D: feelings
E: two eyes
","People only have two eyes. However, this question seems to contain a mistake, as the second part of the question suggests that people have ""two eyes"" instead of ""many sight seers,"" which is more likely a reference to spiders. Therefore, assuming the question is meant to compare a spider's many eyes to people's vision capabilities, the answer would be A: two eyes for people. But if the question is about the difference between spiders and people regarding the number of eyes, then the answer is A: spiders have many eyes and people have two eyes."
768fb09deab56046e1565b6a2556ad5c,"Question: Where do adults use glue sticks?
Choices:
A: classroom
B: desk drawer
C: at school
D: office
E: kitchen drawer
","The answer is D because adults use glue sticks primarily in their offices to affix papers, documents, and other materials to various surfaces."
cd639cf3ff82f825ace7dd2b087562bd,"Question: What could go on top of wood?
Choices:
A: lumberyard
B: synagogue
C: floor
D: carpet
E: hardware store
","The answer is C because the question asks what could go on top of wood, and the answer is a floor, which is a surface that is made of wood and can have other materials on top of it."
8d79cc5e4eea11f50fab18fdea20fd4f,"Question: The artist was sitting quietly pondering, then suddenly he began to paint when what struck him?
Choices:
A: sadness
B: anxiety
C: inspiration
D: discomfort
E: insights
",The answer is C because the artist was struck by an sudden feeling of inspiration which led him to begin painting.
e5ad2184e37ae88b2bf46bf6bc0ed2f4,"Question: Though the thin film seemed fragile, for it's intended purpose it was actually nearly what?
Choices:
A: indestructible
B: durable
C: undestroyable
D: indestructible
E: unbreakable
","The answer is D or E, depending on the intended meaning. Both ""indestructible"" and ""unbreakable"" convey the idea of being unable to be damaged or destroyed, but ""indestructible"" may imply a stronger resistance to damage, while ""unbreakable"" may imply a greater resistance to being broken specifically. The original text suggests that the thin film seemed fragile, but was actually strong for its intended purpose, so either ""indestructible"" or ""unbreakable"" could be the correct answer, depending on the specific context."
b8b287b6277fccd4b7c9c72577177328,"Question: Where could you find a toilet that only friends can use?
Choices:
A: rest area
B: school
C: stadium
D: apartment
E: hospital
","The answer is D because a toilet that only friends can use would typically be found in a private residence, such as an apartment."
f646f3e064f06423fc25b98500796cf0,"Question: What is someone who isn't clever, bright, or competent called?
Choices:
A: clumsy
B: ineffectual
C: dull
D: clumsy
E: stupid
","The answer is C or E, depending on the context. The term ""ineffectual"" could refer to someone who is not able to produce a desired effect, regardless of their level of intelligence. However, if the question is asking specifically for a term to describe someone who lacks intelligence, then the answer is E, ""stupid."""
b0f7d7978ac41c465108a92660d70e84,"Question: When wildlife reproduce we often refer to what comes out as what?
Choices:
A: raise children
B: have children
C: photo copy
D: offspring
E: accidently got pregnant somehow
",The answer is D because offspring refers to the young that are produced by the reproduction of animals or plants.
54075de8b8b89ecef2e4eb4eaee2713d,"Question: The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what?
Choices:
A: forrest
B: barn
C: public office
D: out of doors
E: freezer
",The answer is B because the weasel was getting into the chicken eggs kept in the barn.
65435b996ce9d1685bebb74b49c1ba7f,"Question: Blue read material outside of his comfort zone because he wanted to gain what?
Choices:
A: new perspective
B: entertained
C: understanding
D: hunger
E: tired eyes
",The answer is A because reading material outside of one's comfort zone often leads to gaining a new perspective or broadening one's horizons.
9889e5389917d812c09d6e5d382d333d,"Question: After he got hired he hoped for success at his what?
Choices:
A: vocation
B: new job
C: michigan
D: working hard
E: manual
","The answer is B because after being hired, a person hopes to succeed at their new job."
a651ffa44ac5febf0aede6748899b981,"Question: Committing perjury is a serious what?
Choices:
A: indictment
B: crime
C: violence
D: lie
E: go to jail
",The answer is B because committing perjury is a serious crime.
bdcfbe2132295d437e4c5701085f19c0,"Question: If you are prone to postpone work what will you have to do in order to finish on time?
Choices:
A: eat
B: hasten
C: antedate
D: bring forward
E: advance
","The answer is B or D. In order to finish work on time if one tends to procrastinate, one must hasten (work faster) or bring forward (do the work earlier) the completion date."
8d3dc21a53523850ec80771daaa5ff20,"Question: James wanted to find an old underground map from the 50s.  Where might he look for one?
Choices:
A: library
B: subway station
C: county engineer's office
D: super market
E: home
","The answer is C because old underground maps from the 50s are likely to be found in the county engineer's office, as they are the ones responsible for creating and maintaining infrastructure maps, including underground maps."
a80ee7775e934c423012fe98e20ba28b,"Question: Sean was in a rush to get home, but the light turned yellow and he was forced to do what?
Choices:
A: take time
B: dawdle
C: go slowly
D: ocean
E: slow down
",The answer is E because Sean was forced to slow down when the light turned yellow.
48a315cfa3ce11f7a9d615bc854331d5,"Question: Where would a person be doing when having to wait their turn?
Choices:
A: have patience
B: get in line
C: sing
D: stand in line
E: turn left
",The answer is B because having to wait one's turn implies standing in line and being patient while others go before you.
4acd496cc78d96c2431279a5fd87de7c,"Question: She was always helping at the senior center, it brought her what?
Choices:
A: satisfaction
B: heart
C: feel better
D: pay
E: happiness
","The answer is A because helping at the senior center brought her satisfaction, a sense of fulfillment and accomplishment."
91e0f4ab62c9d2fd440d73a3f5308d96,"Question: The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what?
Choices:
A: keep cloesd
B: train
C: ignition switch
D: drawer
E: firearm
","The answer is C because even though the lock prevented the thief from easily turning the steering wheel, he might still try to bypass it by accessing the ignition switch to start the vehicle."
