Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.85,"{'student': {'precision': 0.818, 'recall': 0.9, 'f1-score': 0.857, 'support': 10.0}, 'teacher': {'precision': 0.889, 'recall': 0.8, 'f1-score': 0.842, 'support': 10.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}, 'weighted avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.95,"{'student': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'teacher': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.95,"{'student': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'teacher': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.95,"{'student': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'teacher': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
gpt2_llama8b,gpt2_mixtral,0.75,"{'student': {'precision': 0.692, 'recall': 0.9, 'f1-score': 0.783, 'support': 10.0}, 'teacher': {'precision': 0.857, 'recall': 0.6, 'f1-score': 0.706, 'support': 10.0}, 'accuracy': 0.75, 'macro avg': {'precision': 0.775, 'recall': 0.75, 'f1-score': 0.744, 'support': 20.0}, 'weighted avg': {'precision': 0.775, 'recall': 0.75, 'f1-score': 0.744, 'support': 20.0}}"
gpt2_llama8b,gpt2_llama70b,0.6,"{'student': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 10.0}, 'teacher': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 10.0}, 'accuracy': 0.6, 'macro avg': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 20.0}, 'weighted avg': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 20.0}}"
gpt2_llama8b,gpt2_mistral7b,0.7,"{'student': {'precision': 0.667, 'recall': 0.8, 'f1-score': 0.727, 'support': 10.0}, 'teacher': {'precision': 0.75, 'recall': 0.6, 'f1-score': 0.667, 'support': 10.0}, 'accuracy': 0.7, 'macro avg': {'precision': 0.708, 'recall': 0.7, 'f1-score': 0.697, 'support': 20.0}, 'weighted avg': {'precision': 0.708, 'recall': 0.7, 'f1-score': 0.697, 'support': 20.0}}"
gpt2_mixtral,gpt2_llama70b,0.85,"{'student': {'precision': 1.0, 'recall': 0.7, 'f1-score': 0.824, 'support': 10.0}, 'teacher': {'precision': 0.769, 'recall': 1.0, 'f1-score': 0.87, 'support': 10.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.885, 'recall': 0.85, 'f1-score': 0.847, 'support': 20.0}, 'weighted avg': {'precision': 0.885, 'recall': 0.85, 'f1-score': 0.847, 'support': 20.0}}"
gpt2_mixtral,gpt2_mistral7b,0.45,"{'student': {'precision': 0.429, 'recall': 0.3, 'f1-score': 0.353, 'support': 10.0}, 'teacher': {'precision': 0.462, 'recall': 0.6, 'f1-score': 0.522, 'support': 10.0}, 'accuracy': 0.45, 'macro avg': {'precision': 0.445, 'recall': 0.45, 'f1-score': 0.437, 'support': 20.0}, 'weighted avg': {'precision': 0.445, 'recall': 0.45, 'f1-score': 0.437, 'support': 20.0}}"
gpt2_llama70b,gpt2_mistral7b,0.7,"{'student': {'precision': 0.667, 'recall': 0.8, 'f1-score': 0.727, 'support': 10.0}, 'teacher': {'precision': 0.75, 'recall': 0.6, 'f1-score': 0.667, 'support': 10.0}, 'accuracy': 0.7, 'macro avg': {'precision': 0.708, 'recall': 0.7, 'f1-score': 0.697, 'support': 20.0}, 'weighted avg': {'precision': 0.708, 'recall': 0.7, 'f1-score': 0.697, 'support': 20.0}}"
