feature,importance
and,5.551115123125783e-16
the,4.683753385137379e-16
film,4.531965080989409e-16
the film,3.859759734048396e-16
is,3.3306690738754696e-16
to,2.2898349882893854e-16
its,2.255140518769849e-16
on,2.1337098754514727e-16
the movie,1.6566609195578508e-16
movie,1.6132928326584306e-16
and the,1.5265566588595902e-16
thriller that,1.48318857196017e-16
thriller,1.4224732503009818e-16
poorly,1.4137996329210978e-16
fails to,1.4051260155412137e-16
story,1.3921155894713877e-16
it,1.3877787807814457e-16
deliver,1.3877787807814457e-16
are,1.249000902703301e-16
some critics,1.240327285323417e-16
to deliver,1.214306433183765e-16
by,1.1796119636642288e-16
fails,1.1622647289044608e-16
the film is,1.1449174941446927e-16
film is,1.1449174941446927e-16
that fails to,1.0581813203458523e-16
that fails,1.0061396160665481e-16
and its,9.8879238130678e-17
fails to deliver,9.367506770274758e-17
criticized,9.367506770274758e-17
of,9.020562075079397e-17
thriller that fails,8.695301423333746e-17
strong,8.673617379884035e-17
is disappointing,8.543513119185775e-17
for its,8.326672684688674e-17
successful,8.326672684688674e-17
despite,8.326672684688674e-17
the story,8.239936510889834e-17
who,8.153200337090993e-17
praise the,8.066464163292153e-17
style,7.979727989493313e-17
described,7.806255641895632e-17
described as,7.806255641895632e-17
about the,7.632783294297951e-17
with focus,7.632783294297951e-17
characters,7.28583859910259e-17
themes of,7.112366251504909e-17
with focus on,7.112366251504909e-17
disappointing,6.911788849595091e-17
to deliver on,6.895525817007808e-17
on its,6.895525817007808e-17
deliver on its,6.895525817007808e-17
deliver on,6.895525817007808e-17
focus on,6.830473686658678e-17
vanya,6.678685382510707e-17
plot,6.678685382510707e-17
predictable,6.667843360785852e-17
horror,6.632606790180073e-17
world,6.505213034913027e-17
praise the film,6.418476861114186e-17
patrick,6.396792817664476e-17
however some critics,6.375108774214766e-17
satisfying,6.331740687315346e-17
focus,6.331740687315346e-17
live,6.266688556966216e-17
action,6.114900252818245e-17
while it,6.071532165918825e-17
praise,6.071532165918825e-17
story and,6.066111155056397e-17
made,6.028164079019405e-17
social,5.984795992119984e-17
an,5.941427905220564e-17
slow,5.941427905220564e-17
performance,5.898059818321144e-17
assassins is,5.881796785733862e-17
assassins,5.881796785733862e-17
plot is,5.854691731421724e-17
elements,5.767955557622884e-17
is poorly made,5.767955557622884e-17
is poorly,5.767955557622884e-17
pacing,5.594483210025203e-17
nonsensical,5.594483210025203e-17
poorly made,5.594483210025203e-17
anton,5.572799166575493e-17
romantic hope,5.572799166575493e-17
anton chekhov,5.572799166575493e-17
cooper,5.551115123125783e-17
score,5.551115123125783e-17
overall,5.551115123125783e-17
but overall,5.551115123125783e-17
appreciate,5.5077470362263625e-17
atmosphere,5.4860629927766524e-17
tale,5.4643789493269423e-17
explores themes of,5.421010862427522e-17
explores themes,5.421010862427522e-17
make,5.421010862427522e-17
characters are,5.421010862427522e-17
often,5.377642775528102e-17
fall,5.377642775528102e-17
action thriller that,5.345116710353537e-17
action thriller,5.345116710353537e-17
zipper is,5.323432666903827e-17
muddled,5.323432666903827e-17
is unique,5.2475385148298415e-17
critics,5.204170427930421e-17
structure,5.204170427930421e-17
street is,5.204170427930421e-17
features,5.204170427930421e-17
however some,5.204170427930421e-17
gary,5.204170427930421e-17
and unique,5.160802341031001e-17
watch the,5.117434254131581e-17
fall flat,5.0306980803327406e-17
movie attempts,5.0306980803327406e-17
the movie attempts,5.0306980803327406e-17
the characters,4.9439619065339e-17
the film pacing,4.9439619065339e-17
