feature,importance
and,4.968248035197575e-16
in,3.219646771412954e-16
of,2.997602166487923e-16
affected,2.831068712794149e-16
has,2.6645352591003756e-16
000,2.2759572004815707e-16
us,2.1371793224034264e-16
years,1.8735013540549517e-16
also,1.8318679906315082e-16
at,1.8041124150158794e-16
milan,1.7763568394002506e-16
has been,1.762479051592436e-16
over,1.7486012637846215e-16
but,1.609823385706477e-16
killed,1.53555553689122e-16
for,1.4988010832439614e-16
the us,1.4710455076283324e-16
this,1.3739009929736313e-16
and others,1.3530843112619095e-16
over 500,1.3287981825982341e-16
have,1.249000902703301e-16
she,1.249000902703301e-16
through,1.214306433183765e-16
school,1.214306433183765e-16
and is,1.2073675392798576e-16
violence,1.2038980923279042e-16
degeneres,1.1934897514720432e-16
people,1.1102230246251565e-16
tsvangirai,1.0963452368173421e-16
general,1.0946105133413653e-16
being,1.0599160438218292e-16
floods,1.0547118733938987e-16
over 500 000,1.0408340855860843e-16
500 000,1.0408340855860843e-16
has caused,1.0373646386341306e-16
affected the,1.033895191682177e-16
weight,1.0200174038743625e-16
victims,1.0061396160665481e-16
the first,9.992007221626409e-17
the text,9.957312752106872e-17
text,9.957312752106872e-17
of several,9.8879238130678e-17
airports,9.783840404509192e-17
department,9.71445146547012e-17
caused,9.575673587391976e-17
concern,9.367506770274758e-17
juarez,9.298117831235686e-17
northern,9.211381657436846e-17
in northern,9.211381657436846e-17
international,9.159339953157541e-17
expected,9.020562075079397e-17
expected to,8.916478666520788e-17
is,8.881784197001253e-17
the situation,8.881784197001253e-17
situation,8.881784197001253e-17
emphasizes the,8.743006318923108e-17
emphasizes,8.743006318923108e-17
closures,8.708311849403572e-17
on the,8.500145032286355e-17
number of,8.439429710627166e-17
address,8.326672684688674e-17
to address,8.326672684688674e-17
killed in,8.326672684688674e-17
drought,8.257283745649602e-17
and over,8.257283745649602e-17
500,8.257283745649602e-17
are providing,8.257283745649602e-17
and the us,8.18789480661053e-17
damage,8.049116928532385e-17
11,8.049116928532385e-17
is expected,7.979727989493313e-17
is expected to,7.979727989493313e-17
mexico,7.91033905045424e-17
threats,7.91033905045424e-17
un,7.806255641895632e-17
hope,7.771561172376095e-17
can,7.771561172376095e-17
they,7.771561172376095e-17
roma,7.663140955127545e-17
national,7.632783294297951e-17
the war,7.563394355258879e-17
the government has,7.528699885739343e-17
number,7.494005416219807e-17
church,7.494005416219807e-17
at the,7.363901155521547e-17
due,7.355227538141662e-17
he has,7.355227538141662e-17
due to,7.355227538141662e-17
the victims,7.216449660063518e-17
region,7.216449660063518e-17
comes after,7.216449660063518e-17
several,7.216449660063518e-17
poll,7.216449660063518e-17
attacks the,7.077671781985372e-17
in good health,7.077671781985372e-17
