feature,importance
the,1.9845236565174673e-15
additionally,1.2212453270876722e-15
if,7.91033905045424e-16
answer is,7.806255641895632e-16
logical,7.563394355258879e-16
this is,7.077671781985373e-16
therefore the answer,6.661338147750939e-16
is not,6.661338147750939e-16
can,6.522560269672795e-16
place to,6.522560269672795e-16
options,6.38378239159465e-16
the person,4.996003610813204e-16
feeling,4.996003610813204e-16
life,4.996003610813204e-16
not place to,4.718447854656915e-16
health,4.666406150377611e-16
rather,4.649058915617843e-16
the question,4.510281037539698e-16
that he,4.3324718812520757e-16
common place,4.3021142204224816e-16
these,4.3021142204224816e-16
which can,4.2751446913819047e-16
is not place,4.2674197509029455e-16
all,4.2674197509029455e-16
about,4.163336342344337e-16
this can,4.163336342344337e-16
the correct,4.145989107584569e-16
to the question,4.128641872824801e-16
but,4.0939474033052647e-16
physical,4.0592529337857286e-16
someone who,3.95516952522712e-16
reason for,3.916138247017642e-16
is fundamental,3.8163916471489756e-16
necessarily,3.7470027081099033e-16
by,3.608224830031759e-16
activities,3.608224830031759e-16
good,3.5735303605122226e-16
cause,3.5388358909926865e-16
not place,3.5214886562329184e-16
most logical,3.469446951953614e-16
the most logical,3.469446951953614e-16
to buy,3.434752482434078e-16
home,3.400058012914542e-16
government,3.400058012914542e-16
canada,3.400058012914542e-16
form,3.3480163086352377e-16
than,3.3480163086352377e-16
california,3.3306690738754696e-16
properly,3.3176586478056436e-16
question asks about,3.2612801348363973e-16
does,3.226585665316861e-16
for the,3.191891195797325e-16
the other,3.191891195797325e-16
feel,3.1669545458301585e-16
the only,3.157196726277789e-16
consequence,3.122502256758253e-16
process,3.122502256758253e-16
end,3.1051550219984847e-16
it does,3.0531133177191805e-16
the question and,3.0531133177191805e-16
what,3.0531133177191805e-16
but it does,3.0357660829594124e-16
others,3.0184188481996443e-16
buy,3.0184188481996443e-16
as they are,3.0184188481996443e-16
other options do,2.983724378680108e-16
large,2.957703526540456e-16
implies that,2.949029909160572e-16
options do,2.949029909160572e-16
guitar,2.92300905702092e-16
known,2.914335439641036e-16
the definition,2.914335439641036e-16
provides,2.914335439641036e-16
often found,2.914335439641036e-16
tree,2.914335439641036e-16
it the,2.8796409701215e-16
gift,2.8796409701215e-16
ensure,2.8796409701215e-16
is important to,2.8709673527416157e-16
and is,2.8449465006019636e-16
could,2.8102520310824275e-16
that the,2.8102520310824275e-16
is well,2.7929047963226594e-16
living,2.7755575615628914e-16
not specific,2.7755575615628914e-16
question asks,2.7755575615628914e-16
get,2.7755575615628914e-16
apple,2.7755575615628914e-16
something that,2.7755575615628914e-16
appropriate answer,2.7755575615628914e-16
down,2.747368305078268e-16
choice for,2.7332736768359567e-16
united,2.706168622523819e-16
not likely,2.706168622523819e-16
used to,2.706168622523819e-16
place to buy,2.706168622523819e-16
best answer for,2.697495005143935e-16
allowing,2.688821387764051e-16
committing,2.654126918244515e-16
additionally the,2.636779683484747e-16
safety,2.636779683484747e-16
natural,2.636779683484747e-16
first,2.6020852139652106e-16
the correct answer,2.5760643618255585e-16
musical,2.5673907444456745e-16
ideal,2.5673907444456745e-16
is plausible,2.5326962749261384e-16
the first,2.498001805406602e-16
in the,2.498001805406602e-16
fits the,2.480654570646834e-16
none of these,2.463307335887066e-16
location of,2.463307335887066e-16
plausible,2.42861286636753e-16
and are,2.42861286636753e-16
that,2.42861286636753e-16
the word,2.42861286636753e-16
most logical and,2.411265631607762e-16
the dog,2.396086801192965e-16
this is fundamental,2.393918396847994e-16
are also,2.393918396847994e-16
and practical,2.3765711620882257e-16
this suggests,2.3592239273284576e-16
can lead to,2.3418766925686896e-16
to note that,2.2898349882893854e-16
note that,2.2898349882893854e-16
exercise,2.2898349882893854e-16
direct,2.2898349882893854e-16
of the,2.2898349882893854e-16
kitchen,2.255140518769849e-16
practice for,2.255140518769849e-16
fish,2.255140518769849e-16
is an,2.255140518769849e-16
smooth,2.220446049250313e-16
practical,2.220446049250313e-16
treatment,2.185751579730777e-16
be used,2.1684043449710089e-16
not accurately describe,2.1510571102112408e-16
accurately describe,2.1510571102112408e-16
