feature,importance
water,1.2784912017949068e-15
000,1.233605231854007e-15
000 000,1.2190472765895473e-15
000 000 000,1.2119779396117629e-15
is the,1.0711917464156784e-15
in the,8.89913143176102e-16
process,7.858297346174936e-16
this,7.034303695085953e-16
are not,6.522560269672795e-16
energy,6.245004513516506e-16
by,6.036837696399289e-16
light,5.967448757360216e-16
body,5.516420653606247e-16
its,5.273559366969494e-16
while,5.065392549852277e-16
system,4.973235365191009e-16
from,4.819143131426507e-16
plants,4.649058915617843e-16
may,4.649058915617843e-16
is because when,4.597017211338539e-16
heat,4.579669976578771e-16
this is,4.371503159461554e-16
stage,4.2934406030425976e-16
which,4.2674197509029455e-16
which can,4.0939474033052647e-16
an,4.0592529337857286e-16
rationale for the,4.0245584642661925e-16
pulls,3.885780586188048e-16
to,3.885780586188048e-16
through,3.8163916471489756e-16
and are,3.677613769070831e-16
that is,3.608224830031759e-16
directly,3.5388358909926865e-16
source of,3.469446951953614e-16
tearing,3.469446951953614e-16
there,3.400058012914542e-16
appropriate,3.3306690738754696e-16
can have,3.3306690738754696e-16
palm,3.2959746043559335e-16
result,3.2959746043559335e-16
which are,3.2959746043559335e-16
because when,3.2786273695961654e-16
the necessary,3.2439329000766293e-16
grow,3.226585665316861e-16
decrease,3.226585665316861e-16
evaporation,3.226585665316861e-16
liquid,3.213575239247035e-16
does,3.191891195797325e-16
consuming,3.15936513062276e-16
related,3.122502256758253e-16
of heat,3.122502256758253e-16
people,3.0878077872387166e-16
materials,3.0574501264091225e-16
through the,3.0531133177191805e-16
moving,3.0531133177191805e-16
trees,3.0531133177191805e-16
when,3.0531133177191805e-16
source,3.0357660829594124e-16
along,3.0184188481996443e-16
work,3.0184188481996443e-16
produce,2.992397996059992e-16
formed,2.983724378680108e-16
is the process,2.96637714392034e-16
in this,2.914335439641036e-16
therefore the answer,2.914335439641036e-16
cooling,2.914335439641036e-16
as result,2.90132501357121e-16
living,2.896988204881268e-16
to another,2.8796409701215e-16
acid,2.8796409701215e-16
the insect,2.8622937353617317e-16
oxygen,2.8622937353617317e-16
air,2.8254308614972246e-16
droplets,2.8124204354273985e-16
state,2.8102520310824275e-16
by the,2.7755575615628914e-16
primary,2.7668839441830073e-16
steel,2.740863092043355e-16
than the,2.706168622523819e-16
magnets,2.7050844203513336e-16
weight,2.671474153004283e-16
large,2.662800535624399e-16
but the,2.654126918244515e-16
determine,2.645453300864631e-16
various,2.636779683484747e-16
gas,2.636779683484747e-16
these,2.636779683484747e-16
whole,2.6320362989801227e-16
as it is,2.6085904270001237e-16
two,2.6020852139652106e-16
the plant,2.6020852139652106e-16
less,2.6020852139652106e-16
magnetized,2.6020852139652106e-16
bats,2.5673907444456745e-16
and are not,2.5673907444456745e-16
the water,2.5326962749261384e-16
ability,2.5326962749261384e-16
do not eat,2.5326962749261384e-16
than,2.5066754227864863e-16
it to,2.505049119527758e-16
daylight,2.498001805406602e-16
grand canyon,2.489328188026718e-16
grand,2.489328188026718e-16
the grand canyon,2.489328188026718e-16
the grand,2.489328188026718e-16
molecules gain energy,2.463307335887066e-16
reproduction,2.463307335887066e-16
predators,2.445960101127298e-16
ferromagnetic,2.42861286636753e-16
question would,2.42861286636753e-16
this question would,2.42861286636753e-16
an animal,2.393918396847994e-16
down,2.393918396847994e-16
fan,2.393918396847994e-16
our,2.393918396847994e-16
affect,2.3592239273284576e-16
related to,2.3592239273284576e-16
light this,2.337810934421869e-16
attracted,2.3245294578089215e-16
attracted to,2.3245294578089215e-16
will,2.2724877535296173e-16
formation,2.26706674266719e-16
tossed in,2.255140518769849e-16
tossed,2.255140518769849e-16
rock tossed,2.255140518769849e-16
rock tossed in,2.255140518769849e-16
man,2.220446049250313e-16
used to determine,2.220446049250313e-16
pollution,2.220446049250313e-16
harmful,2.220446049250313e-16
color,2.220446049250313e-16
force that,2.220446049250313e-16
resort,2.220446049250313e-16
resulting in the,2.220446049250313e-16
to produce light,2.190088388420719e-16
which is the,2.1684043449710089e-16
or steel,2.1673201427985234e-16
beaver,2.1510571102112408e-16
daylight hours,2.1510571102112408e-16
the ocean,2.1510571102112408e-16
decrease in,2.1510571102112408e-16
is an,2.1510571102112408e-16
this is because,2.1423834928313568e-16
made of,2.1163626406917047e-16
strong,2.0838365755171395e-16
sleep,2.0816681711721685e-16
is in contrast,2.0816681711721685e-16
not directly related,2.0816681711721685e-16
effect,2.0643209364124004e-16
foods,2.0643209364124004e-16
which is,2.0643209364124004e-16
an example of,2.0469737016526324e-16
energy and,2.0469737016526324e-16
an example,2.0469737016526324e-16
eggs,2.0469737016526324e-16
of light,2.0426368929626904e-16
water is,2.0296264668928643e-16
water the,2.0252896582029223e-16
options do not,2.0209528495129803e-16
