feature,importance
the,9.71445146547012e-16
heat,9.17668718791731e-16
question,6.591949208711867e-16
your,6.38378239159465e-16
that,6.158268339717665e-16
therefore the,6.106226635438361e-16
on the,5.620504062164855e-16
increased,5.273559366969494e-16
can,4.787836793695988e-16
less heat,4.77048955893622e-16
friction,4.718447854656915e-16
glass,4.666406150377611e-16
old,4.3368086899420177e-16
counter,4.156831129309424e-16
at the,4.0592529337857286e-16
actually,4.0505793164058446e-16
which suggests,3.885780586188048e-16
less likely to,3.8294020732188017e-16
compared,3.8163916471489756e-16
or,3.623403660446556e-16
less friction,3.5648567431323386e-16
the ice,3.5041414214731503e-16
mountain,3.4954678040932663e-16
bright,3.400058012914542e-16
less likely,3.389215991189687e-16
through,3.3306690738754696e-16
metal,3.2699537522162814e-16
common,3.226585665316861e-16
indicates,3.215743643592006e-16
greater distance,3.191891195797325e-16
is,3.191891195797325e-16
jimbo,3.178880769727499e-16
this,3.157196726277789e-16
you,3.1051550219984847e-16
light,3.0704605524789486e-16
common misconception,3.0617869350990645e-16
when,2.983724378680108e-16
dimmer,2.949029909160572e-16
does,2.931682674400804e-16
appear,2.92300905702092e-16
but the,2.8796409701215e-16
spring,2.8319360745321376e-16
that there is,2.8102520310824275e-16
the mountain,2.7929047963226594e-16
compared to the,2.7755575615628914e-16
at,2.7755575615628914e-16
therefore,2.7755575615628914e-16
the metal,2.7538735181131813e-16
the light,2.7506209115957247e-16
when it,2.748520269886534e-16
the stagecoach,2.740863092043355e-16
as,2.714842239903703e-16
riding,2.654126918244515e-16
gravel,2.636779683484747e-16
indicates that,2.6107588313450947e-16
friction than the,2.6020852139652106e-16
ride,2.6020852139652106e-16
friction compared,2.5673907444456745e-16
may,2.5673907444456745e-16
friction compared to,2.5673907444456745e-16
cherry,2.5435382966509934e-16
the cherry,2.5435382966509934e-16
friction and,2.5413698923060224e-16
your leg,2.5348646792711094e-16
they,2.5326962749261384e-16
your toe,2.5283594662361963e-16
toe,2.5153490401663703e-16
leg,2.502338614096544e-16
butter,2.480654570646834e-16
slide,2.463307335887066e-16
the counter,2.45029690981724e-16
stagecoach,2.445960101127298e-16
is less likely,2.411265631607762e-16
is actually,2.4036762164003633e-16
is not,2.3592239273284576e-16
the gravel,2.3592239273284576e-16
wet,2.3505503099485736e-16
skateboard,2.349466107776088e-16
question states that,2.3418766925686896e-16
break,2.3050138187041824e-16
is more,2.2898349882893854e-16
court,2.2898349882893854e-16
the honey,2.2789929665645303e-16
the honey plate,2.2789929665645303e-16
honey plate,2.2789929665645303e-16
honey,2.2789929665645303e-16
mary,2.2703193491846463e-16
year old boy,2.2638141361497333e-16
old boy,2.2638141361497333e-16
slope,2.246466901389965e-16
on the honey,2.2432142948725087e-16
ground,2.237793284010081e-16
star,2.237793284010081e-16
year old,2.233456475320139e-16
year,2.233456475320139e-16
appears,2.220446049250313e-16
passengers,2.220446049250313e-16
for,2.220446049250313e-16
