feature,importance
study,2.3592239273284576e-16
research,2.220446049250313e-16
butyl,2.105954299835844e-16
authors,1.942890293094024e-16
the text,1.4988010832439614e-16
was,1.457167719820518e-16
the study,1.249000902703301e-16
this,1.2212453270876723e-16
documented,1.158795281952507e-16
only,1.0824674490095276e-16
evaluation,1.0755285551056204e-16
had,1.0547118733938987e-16
in the,1.0547118733938987e-16
text,1.0547118733938987e-16
clinical,1.0477729794899915e-16
integration,9.992007221626409e-17
care,9.853229343548264e-17
asthma,9.853229343548264e-17
from the,9.575673587391976e-17
clinical re evaluation,9.26342336171615e-17
clinical re,9.26342336171615e-17
pefr,9.26342336171615e-17
visits,9.26342336171615e-17
had documented,9.26342336171615e-17
re evaluation,9.26342336171615e-17
microscopy,8.98586760555986e-17
in,8.881784197001253e-17
year,8.881784197001253e-17
the,8.881784197001253e-17
re,8.81239525796218e-17
study also,8.743006318923108e-17
the study also,8.743006318923108e-17
found,8.604228440844963e-17
history,8.604228440844963e-17
between,8.322335875998732e-17
for the,8.18789480661053e-17
cell,8.049116928532385e-17
treatment,7.979727989493313e-17
of this,7.771561172376095e-17
economic,7.771561172376095e-17
text describes,7.771561172376095e-17
10,7.73686670285656e-17
information,7.563394355258879e-17
hernias,7.494005416219807e-17
us,7.494005416219807e-17
on the,7.424616477180734e-17
text also,7.216449660063518e-17
further research,7.164407955784213e-17
text discusses,7.147060721024446e-17
26,6.938893903907228e-17
role,6.869504964868156e-17
specific,6.800116025829084e-17
the us,6.730727086790011e-17
on,6.661338147750939e-17
device,6.522560269672795e-17
old,6.401129626354418e-17
elderly,6.38378239159465e-17
this study,6.38378239159465e-17
therapeutic,6.314393452555578e-17
based,6.245004513516506e-17
publication,6.245004513516506e-17
declare that,6.245004513516506e-17
authors declare that,6.245004513516506e-17
which are,6.210310043996969e-17
foundation,6.175615574477434e-17
to,6.106226635438361e-17
prior,6.071532165918825e-17
not fully,5.967448757360216e-17
review,5.967448757360216e-17
management,5.967448757360216e-17
structure,5.967448757360216e-17
understand,5.950101522600448e-17
started,5.932754287840681e-17
tpm,5.932754287840681e-17
patients with,5.863365348801607e-17
overall,5.828670879282072e-17
ocd,5.828670879282072e-17
there,5.828670879282072e-17
despite,5.828670879282072e-17
to understand the,5.828670879282072e-17
