Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.996,"{'student': {'precision': 1.0, 'recall': 0.992, 'f1-score': 0.996, 'support': 120.0}, 'teacher': {'precision': 0.992, 'recall': 1.0, 'f1-score': 0.996, 'support': 117.0}, 'accuracy': 0.9957805907172996, 'macro avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 237.0}, 'weighted avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 237.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.996,"{'student': {'precision': 1.0, 'recall': 0.992, 'f1-score': 0.996, 'support': 120.0}, 'teacher': {'precision': 0.992, 'recall': 1.0, 'f1-score': 0.996, 'support': 119.0}, 'accuracy': 0.99581589958159, 'macro avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 239.0}, 'weighted avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 239.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.996,"{'student': {'precision': 1.0, 'recall': 0.992, 'f1-score': 0.996, 'support': 120.0}, 'teacher': {'precision': 0.992, 'recall': 1.0, 'f1-score': 0.996, 'support': 120.0}, 'accuracy': 0.9958333333333333, 'macro avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 240.0}, 'weighted avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 240.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.992,"{'student': {'precision': 1.0, 'recall': 0.983, 'f1-score': 0.992, 'support': 120.0}, 'teacher': {'precision': 0.984, 'recall': 1.0, 'f1-score': 0.992, 'support': 120.0}, 'accuracy': 0.9916666666666667, 'macro avg': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 240.0}, 'weighted avg': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 240.0}}"
gpt2_llama8b,gpt2_mixtral,0.958,"{'student': {'precision': 1.0, 'recall': 0.915, 'f1-score': 0.955, 'support': 117.0}, 'teacher': {'precision': 0.922, 'recall': 1.0, 'f1-score': 0.96, 'support': 119.0}, 'accuracy': 0.9576271186440678, 'macro avg': {'precision': 0.961, 'recall': 0.957, 'f1-score': 0.958, 'support': 236.0}, 'weighted avg': {'precision': 0.961, 'recall': 0.958, 'f1-score': 0.958, 'support': 236.0}}"
gpt2_llama8b,gpt2_llama70b,0.979,"{'student': {'precision': 1.0, 'recall': 0.957, 'f1-score': 0.978, 'support': 117.0}, 'teacher': {'precision': 0.96, 'recall': 1.0, 'f1-score': 0.98, 'support': 120.0}, 'accuracy': 0.9789029535864979, 'macro avg': {'precision': 0.98, 'recall': 0.979, 'f1-score': 0.979, 'support': 237.0}, 'weighted avg': {'precision': 0.98, 'recall': 0.979, 'f1-score': 0.979, 'support': 237.0}}"
gpt2_llama8b,gpt2_mistral7b,0.92,"{'student': {'precision': 0.962, 'recall': 0.872, 'f1-score': 0.915, 'support': 117.0}, 'teacher': {'precision': 0.885, 'recall': 0.967, 'f1-score': 0.924, 'support': 120.0}, 'accuracy': 0.919831223628692, 'macro avg': {'precision': 0.924, 'recall': 0.919, 'f1-score': 0.92, 'support': 237.0}, 'weighted avg': {'precision': 0.923, 'recall': 0.92, 'f1-score': 0.92, 'support': 237.0}}"
gpt2_mixtral,gpt2_llama70b,0.908,"{'student': {'precision': 0.929, 'recall': 0.882, 'f1-score': 0.905, 'support': 119.0}, 'teacher': {'precision': 0.889, 'recall': 0.933, 'f1-score': 0.911, 'support': 120.0}, 'accuracy': 0.9079497907949791, 'macro avg': {'precision': 0.909, 'recall': 0.908, 'f1-score': 0.908, 'support': 239.0}, 'weighted avg': {'precision': 0.909, 'recall': 0.908, 'f1-score': 0.908, 'support': 239.0}}"
gpt2_mixtral,gpt2_mistral7b,0.803,"{'student': {'precision': 0.821, 'recall': 0.773, 'f1-score': 0.797, 'support': 119.0}, 'teacher': {'precision': 0.787, 'recall': 0.833, 'f1-score': 0.81, 'support': 120.0}, 'accuracy': 0.803347280334728, 'macro avg': {'precision': 0.804, 'recall': 0.803, 'f1-score': 0.803, 'support': 239.0}, 'weighted avg': {'precision': 0.804, 'recall': 0.803, 'f1-score': 0.803, 'support': 239.0}}"
gpt2_llama70b,gpt2_mistral7b,0.904,"{'student': {'precision': 0.945, 'recall': 0.858, 'f1-score': 0.9, 'support': 120.0}, 'teacher': {'precision': 0.87, 'recall': 0.95, 'f1-score': 0.908, 'support': 120.0}, 'accuracy': 0.9041666666666667, 'macro avg': {'precision': 0.908, 'recall': 0.904, 'f1-score': 0.904, 'support': 240.0}, 'weighted avg': {'precision': 0.908, 'recall': 0.904, 'f1-score': 0.904, 'support': 240.0}}"
