Model 1,Model 2,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.95,"{'gpt2_gemma2_9b': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'gpt2_llama8b': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.85,"{'gpt2_gemma2_9b': {'precision': 0.818, 'recall': 0.9, 'f1-score': 0.857, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.889, 'recall': 0.8, 'f1-score': 0.842, 'support': 10.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}, 'weighted avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.7,"{'gpt2_gemma2_9b': {'precision': 0.625, 'recall': 1.0, 'f1-score': 0.769, 'support': 10.0}, 'gpt2_llama70b': {'precision': 1.0, 'recall': 0.4, 'f1-score': 0.571, 'support': 10.0}, 'accuracy': 0.7, 'macro avg': {'precision': 0.812, 'recall': 0.7, 'f1-score': 0.67, 'support': 20.0}, 'weighted avg': {'precision': 0.812, 'recall': 0.7, 'f1-score': 0.67, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.85,"{'gpt2_gemma2_9b': {'precision': 0.889, 'recall': 0.8, 'f1-score': 0.842, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.818, 'recall': 0.9, 'f1-score': 0.857, 'support': 10.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}, 'weighted avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}}"
gpt2_llama8b,gpt2_mixtral,0.8,"{'gpt2_llama8b': {'precision': 0.8, 'recall': 0.8, 'f1-score': 0.8, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.8, 'recall': 0.8, 'f1-score': 0.8, 'support': 10.0}, 'accuracy': 0.8, 'macro avg': {'precision': 0.8, 'recall': 0.8, 'f1-score': 0.8, 'support': 20.0}, 'weighted avg': {'precision': 0.8, 'recall': 0.8, 'f1-score': 0.8, 'support': 20.0}}"
gpt2_llama8b,gpt2_llama70b,0.75,"{'gpt2_llama70b': {'precision': 0.778, 'recall': 0.7, 'f1-score': 0.737, 'support': 10.0}, 'gpt2_llama8b': {'precision': 0.727, 'recall': 0.8, 'f1-score': 0.762, 'support': 10.0}, 'accuracy': 0.75, 'macro avg': {'precision': 0.753, 'recall': 0.75, 'f1-score': 0.749, 'support': 20.0}, 'weighted avg': {'precision': 0.753, 'recall': 0.75, 'f1-score': 0.749, 'support': 20.0}}"
gpt2_llama8b,gpt2_mistral7b,0.9,"{'gpt2_llama8b': {'precision': 1.0, 'recall': 0.8, 'f1-score': 0.889, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.833, 'recall': 1.0, 'f1-score': 0.909, 'support': 10.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.917, 'recall': 0.9, 'f1-score': 0.899, 'support': 20.0}, 'weighted avg': {'precision': 0.917, 'recall': 0.9, 'f1-score': 0.899, 'support': 20.0}}"
gpt2_mixtral,gpt2_llama70b,0.85,"{'gpt2_llama70b': {'precision': 0.818, 'recall': 0.9, 'f1-score': 0.857, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.889, 'recall': 0.8, 'f1-score': 0.842, 'support': 10.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}, 'weighted avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}}"
gpt2_mixtral,gpt2_mistral7b,0.75,"{'gpt2_mistral7b': {'precision': 0.727, 'recall': 0.8, 'f1-score': 0.762, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.778, 'recall': 0.7, 'f1-score': 0.737, 'support': 10.0}, 'accuracy': 0.75, 'macro avg': {'precision': 0.753, 'recall': 0.75, 'f1-score': 0.749, 'support': 20.0}, 'weighted avg': {'precision': 0.753, 'recall': 0.75, 'f1-score': 0.749, 'support': 20.0}}"
gpt2_llama70b,gpt2_mistral7b,0.95,"{'gpt2_llama70b': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
