feature,importance
us,4.1577852272212116e-15
last,3.932965064734617e-15
further,2.808864252301646e-15
masters,2.6201263381153696e-15
month,2.4424906541753444e-15
also,2.2842838731662595e-15
able to,2.220446049250313e-15
able,2.220446049250313e-15
but was,2.0705659409259168e-15
about,2.0095036745715335e-15
leading,1.9914625504213745e-15
john,1.870725796493389e-15
emphasized,1.8263168755083824e-15
scoring,1.787459069646502e-15
the death,1.7763568394002505e-15
won the,1.7319479184152442e-15
march,1.7097434579227411e-15
now face,1.7069679003611782e-15
still,1.6875389974302379e-15
highlighted,1.6819878823071122e-15
unable to,1.6431300764452318e-15
unable,1.6431300764452318e-15
recently,1.6292522886374173e-15
has won,1.609823385706477e-15
margin,1.582067810090848e-15
put,1.582067810090848e-15
several,1.5043521983670872e-15
said that,1.4876988529977098e-15
high,1.4849232954361469e-15
self,1.482147737874584e-15
ongoing,1.454392162258955e-15
resulted,1.454392162258955e-15
military,1.4460654895742664e-15
eighth,1.432187701766452e-15
to play,1.4210854715202005e-15
the sport,1.4099832412739487e-15
first,1.4099832412739487e-15
those,1.3988810110276972e-15
17,1.3933298959045715e-15
has announced that,1.3766765505351941e-15
is working,1.364186541508161e-15
by us,1.3544720900426909e-15
reportedly,1.3183898417423734e-15
nearly,1.2823075934420559e-15
eight,1.2823075934420559e-15
sparked,1.2712053631958042e-15
deaths of,1.2684298056342414e-15
against,1.2656542480726785e-15
the case,1.2156942119645463e-15
appearances,1.2073675392798577e-15
and then,1.1990408665951691e-15
had to,1.1990408665951691e-15
that there is,1.1990408665951691e-15
causing,1.1823875212257918e-15
case,1.1796119636642288e-15
concerned about the,1.1768364061026659e-15
militants who,1.1768364061026659e-15
information about,1.1768364061026659e-15
running,1.1712852909795402e-15
the day,1.1657341758564144e-15
were on,1.1657341758564144e-15
save,1.1601830607332885e-15
lawsuit,1.1601830607332885e-15
the former,1.1471509506200129e-15
go,1.1435297153639113e-15
caused,1.1435297153639113e-15
problem,1.1435297153639113e-15
proper,1.1324274851176596e-15
year,1.126876369994534e-15
low,1.126876369994534e-15
effort to,1.1185496973098451e-15
featuring,1.1185496973098451e-15
rafael,1.1175088632242592e-15
has since,1.1102230246251565e-15
minute,1.1102230246251565e-15
were killed,1.1102230246251565e-15
million people,1.1102230246251565e-15
has raised,1.1060596882828122e-15
the game,1.096345236817342e-15
and police are,1.0945237771675665e-15
officials,1.0935696792557792e-15
be,1.0928757898653885e-15
announced,1.0880185641326535e-15
highlights the,1.0880185641326535e-15
had been,1.0852430065710906e-15
base,1.0824674490095276e-15
scored for,1.0769163338864018e-15
33,1.0713652187632761e-15
seized,1.0602629885170246e-15
enke,1.0498546476611637e-15
to new,1.0436096431476472e-15
the incident,1.0436096431476472e-15
she is,1.0325074129013957e-15
step,1.0292114382970396e-15
many people,1.021405182655144e-15
with an estimated,1.021405182655144e-15
it will,1.0158540675320183e-15
investigation by,1.0130785099704553e-15
