Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.459,0.363,0.208,0.35
gpt2_gemma2_9b,mixtral,0.561,0.464,0.27,0.44
gpt2_gemma2_9b,llama70b,0.589,0.481,0.291,0.457
gpt2_llama8b,gemma2_9b,0.453,0.342,0.162,0.326
gpt2_llama8b,mixtral,0.453,0.39,0.176,0.358
gpt2_llama8b,llama70b,0.457,0.396,0.191,0.363
gpt2_mixtral,gemma2_9b,0.55,0.412,0.212,0.386
gpt2_mixtral,llama8b,0.464,0.37,0.166,0.338
gpt2_mixtral,llama70b,0.522,0.458,0.223,0.406
gpt2_llama70b,gemma2_9b,0.533,0.43,0.225,0.401
gpt2_llama70b,llama8b,0.45,0.385,0.173,0.356
gpt2_llama70b,mixtral,0.554,0.501,0.253,0.438
