Model 1,Model 2,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.967,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.852, 'f1-score': 0.92, 'support': 54.0}, 'gpt2_llama8b': {'precision': 0.959, 'recall': 1.0, 'f1-score': 0.979, 'support': 187.0}, 'accuracy': 0.966804979253112, 'macro avg': {'precision': 0.979, 'recall': 0.926, 'f1-score': 0.95, 'support': 241.0}, 'weighted avg': {'precision': 0.968, 'recall': 0.967, 'f1-score': 0.966, 'support': 241.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.942,"{'gpt2_gemma2_9b': {'precision': 0.87, 'recall': 0.87, 'f1-score': 0.87, 'support': 54.0}, 'gpt2_mixtral': {'precision': 0.963, 'recall': 0.963, 'f1-score': 0.963, 'support': 187.0}, 'accuracy': 0.941908713692946, 'macro avg': {'precision': 0.916, 'recall': 0.916, 'f1-score': 0.916, 'support': 241.0}, 'weighted avg': {'precision': 0.942, 'recall': 0.942, 'f1-score': 0.942, 'support': 241.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.913,"{'gpt2_gemma2_9b': {'precision': 0.78, 'recall': 0.852, 'f1-score': 0.814, 'support': 54.0}, 'gpt2_llama70b': {'precision': 0.956, 'recall': 0.93, 'f1-score': 0.943, 'support': 187.0}, 'accuracy': 0.9128630705394191, 'macro avg': {'precision': 0.868, 'recall': 0.891, 'f1-score': 0.879, 'support': 241.0}, 'weighted avg': {'precision': 0.917, 'recall': 0.913, 'f1-score': 0.914, 'support': 241.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.957,"{'gpt2_gemma2_9b': {'precision': 0.923, 'recall': 0.873, 'f1-score': 0.897, 'support': 55.0}, 'gpt2_mistral7b': {'precision': 0.966, 'recall': 0.98, 'f1-score': 0.973, 'support': 200.0}, 'accuracy': 0.9568627450980393, 'macro avg': {'precision': 0.944, 'recall': 0.926, 'f1-score': 0.935, 'support': 255.0}, 'weighted avg': {'precision': 0.956, 'recall': 0.957, 'f1-score': 0.956, 'support': 255.0}}"
gpt2_llama8b,gpt2_mixtral,0.761,"{'gpt2_llama8b': {'precision': 0.746, 'recall': 0.79, 'f1-score': 0.768, 'support': 186.0}, 'gpt2_mixtral': {'precision': 0.778, 'recall': 0.733, 'f1-score': 0.755, 'support': 187.0}, 'accuracy': 0.7613941018766756, 'macro avg': {'precision': 0.762, 'recall': 0.761, 'f1-score': 0.761, 'support': 373.0}, 'weighted avg': {'precision': 0.762, 'recall': 0.761, 'f1-score': 0.761, 'support': 373.0}}"
gpt2_llama8b,gpt2_llama70b,0.692,"{'gpt2_llama70b': {'precision': 0.7, 'recall': 0.674, 'f1-score': 0.687, 'support': 187.0}, 'gpt2_llama8b': {'precision': 0.684, 'recall': 0.71, 'f1-score': 0.697, 'support': 186.0}, 'accuracy': 0.6916890080428955, 'macro avg': {'precision': 0.692, 'recall': 0.692, 'f1-score': 0.692, 'support': 373.0}, 'weighted avg': {'precision': 0.692, 'recall': 0.692, 'f1-score': 0.692, 'support': 373.0}}"
gpt2_llama8b,gpt2_mistral7b,0.731,"{'gpt2_llama8b': {'precision': 0.715, 'recall': 0.738, 'f1-score': 0.726, 'support': 187.0}, 'gpt2_mistral7b': {'precision': 0.747, 'recall': 0.725, 'f1-score': 0.736, 'support': 200.0}, 'accuracy': 0.7312661498708011, 'macro avg': {'precision': 0.731, 'recall': 0.731, 'f1-score': 0.731, 'support': 387.0}, 'weighted avg': {'precision': 0.732, 'recall': 0.731, 'f1-score': 0.731, 'support': 387.0}}"
gpt2_mixtral,gpt2_llama70b,0.818,"{'gpt2_llama70b': {'precision': 0.795, 'recall': 0.855, 'f1-score': 0.824, 'support': 186.0}, 'gpt2_mixtral': {'precision': 0.844, 'recall': 0.781, 'f1-score': 0.811, 'support': 187.0}, 'accuracy': 0.8176943699731903, 'macro avg': {'precision': 0.819, 'recall': 0.818, 'f1-score': 0.817, 'support': 373.0}, 'weighted avg': {'precision': 0.82, 'recall': 0.818, 'f1-score': 0.817, 'support': 373.0}}"
gpt2_mixtral,gpt2_mistral7b,0.667,"{'gpt2_mistral7b': {'precision': 0.67, 'recall': 0.7, 'f1-score': 0.685, 'support': 200.0}, 'gpt2_mixtral': {'precision': 0.663, 'recall': 0.631, 'f1-score': 0.647, 'support': 187.0}, 'accuracy': 0.6666666666666666, 'macro avg': {'precision': 0.666, 'recall': 0.666, 'f1-score': 0.666, 'support': 387.0}, 'weighted avg': {'precision': 0.667, 'recall': 0.667, 'f1-score': 0.666, 'support': 387.0}}"
gpt2_llama70b,gpt2_mistral7b,0.86,"{'gpt2_llama70b': {'precision': 0.845, 'recall': 0.872, 'f1-score': 0.858, 'support': 187.0}, 'gpt2_mistral7b': {'precision': 0.876, 'recall': 0.85, 'f1-score': 0.863, 'support': 200.0}, 'accuracy': 0.8604651162790697, 'macro avg': {'precision': 0.86, 'recall': 0.861, 'f1-score': 0.86, 'support': 387.0}, 'weighted avg': {'precision': 0.861, 'recall': 0.86, 'f1-score': 0.861, 'support': 387.0}}"
