Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,llama8b,0.95,"{'student': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'teacher': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
gpt2_gemma2_9b,mixtral,0.95,"{'student': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'teacher': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
gpt2_gemma2_9b,llama70b,0.95,"{'student': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'teacher': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
gpt2_gemma2_9b,mistral7b,0.9,"{'student': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'teacher': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 20.0}, 'weighted avg': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 20.0}}"
gpt2_llama8b,mixtral,0.6,"{'student': {'precision': 0.667, 'recall': 0.4, 'f1-score': 0.5, 'support': 10.0}, 'teacher': {'precision': 0.571, 'recall': 0.8, 'f1-score': 0.667, 'support': 10.0}, 'accuracy': 0.6, 'macro avg': {'precision': 0.619, 'recall': 0.6, 'f1-score': 0.583, 'support': 20.0}, 'weighted avg': {'precision': 0.619, 'recall': 0.6, 'f1-score': 0.583, 'support': 20.0}}"
gpt2_llama8b,llama70b,0.75,"{'student': {'precision': 0.727, 'recall': 0.8, 'f1-score': 0.762, 'support': 10.0}, 'teacher': {'precision': 0.778, 'recall': 0.7, 'f1-score': 0.737, 'support': 10.0}, 'accuracy': 0.75, 'macro avg': {'precision': 0.753, 'recall': 0.75, 'f1-score': 0.749, 'support': 20.0}, 'weighted avg': {'precision': 0.753, 'recall': 0.75, 'f1-score': 0.749, 'support': 20.0}}"
gpt2_llama8b,mistral7b,0.9,"{'student': {'precision': 1.0, 'recall': 0.8, 'f1-score': 0.889, 'support': 10.0}, 'teacher': {'precision': 0.833, 'recall': 1.0, 'f1-score': 0.909, 'support': 10.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.917, 'recall': 0.9, 'f1-score': 0.899, 'support': 20.0}, 'weighted avg': {'precision': 0.917, 'recall': 0.9, 'f1-score': 0.899, 'support': 20.0}}"
gpt2_mixtral,llama70b,0.85,"{'student': {'precision': 0.818, 'recall': 0.9, 'f1-score': 0.857, 'support': 10.0}, 'teacher': {'precision': 0.889, 'recall': 0.8, 'f1-score': 0.842, 'support': 10.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}, 'weighted avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}}"
gpt2_mixtral,mistral7b,0.7,"{'student': {'precision': 0.833, 'recall': 0.5, 'f1-score': 0.625, 'support': 10.0}, 'teacher': {'precision': 0.643, 'recall': 0.9, 'f1-score': 0.75, 'support': 10.0}, 'accuracy': 0.7, 'macro avg': {'precision': 0.738, 'recall': 0.7, 'f1-score': 0.688, 'support': 20.0}, 'weighted avg': {'precision': 0.738, 'recall': 0.7, 'f1-score': 0.688, 'support': 20.0}}"
gpt2_llama70b,mistral7b,0.8,"{'student': {'precision': 0.875, 'recall': 0.7, 'f1-score': 0.778, 'support': 10.0}, 'teacher': {'precision': 0.75, 'recall': 0.9, 'f1-score': 0.818, 'support': 10.0}, 'accuracy': 0.8, 'macro avg': {'precision': 0.812, 'recall': 0.8, 'f1-score': 0.798, 'support': 20.0}, 'weighted avg': {'precision': 0.812, 'recall': 0.8, 'f1-score': 0.798, 'support': 20.0}}"
