feature,importance
the,4.746203430272544e-15
answer,2.959438250016433e-15
question,2.8362728832220796e-15
the question,2.8206603719382883e-15
none,2.7634144972310537e-15
none of,2.6593310886724453e-15
none of the,2.6124935548210715e-15
of the,2.5604518505417673e-15
correct,2.514481678428382e-15
but,1.9012569296705806e-15
meow,1.745348657267165e-15
animal,1.6844164951734797e-15
meow meow,1.6664187391102203e-15
in the,1.6557935578198624e-15
meow meow meow,1.6473367808744754e-15
the answer,1.6375789613221059e-15
the correct,1.6202317265623378e-15
correct answer,1.6167622796103842e-15
answers,1.465841337200402e-15
choices,1.4641066137244252e-15
the correct answer,1.4172690798730514e-15
given,1.3817072486155269e-15
24,1.3010426069826053e-15
asks,1.2836953722228372e-15
is the,1.2750217548429532e-15
question asks,1.2663481374630692e-15
the question asks,1.2628786905111156e-15
about,1.2611439670351388e-15
plant,1.2212453270876722e-15
asks for,1.1639994523804376e-15
state,1.1076209394111913e-15
options,1.1032841307212493e-15
engine,1.0798653637955624e-15
24 24,1.0642528525117712e-15
24 24 24,1.0495077029659683e-15
but it,1.0484235007934828e-15
the answer is,1.0304257447302234e-15
because,1.0304257447302234e-15
seeds,1.0269562977782698e-15
based on the,9.97465998686664e-16
tree,9.853229343548264e-16
therefore,9.853229343548264e-16
on the,9.645062526431047e-16
but it does,9.549652735252323e-16
based,9.367506770274758e-16
answer the,9.298117831235686e-16
question asks for,9.211381657436846e-16
cell,9.159339953157541e-16
the choices,8.743006318923108e-16
do,8.656270145124267e-16
but none of,8.591218014775137e-16
but none,8.591218014775137e-16
on,8.507260109043291e-16
related to,8.465450562766819e-16
answer is,8.352693536828326e-16
the information,8.27463098040937e-16
it does,8.222589276130066e-16
an animal,8.170547571850761e-16
based on,8.170547571850761e-16
the other,8.127179484951341e-16
magnetic,8.118505867571457e-16
information,7.806255641895632e-16
question the,7.719519468096792e-16
what,7.641456911677835e-16
information given,7.592667813915988e-16
the plant,7.502679033599691e-16
into,7.494005416219807e-16
the cell,7.476658181460039e-16
answer is not,7.363901155521546e-16
telescope,7.320533068622126e-16
the information given,7.301017429517387e-16
than the,7.294512216482474e-16
provided,7.233796894823286e-16
liquid,7.115212282207684e-16
change,7.112366251504909e-16
why the,7.077671781985373e-16
choices do,7.077671781985373e-16
example,7.077671781985373e-16
criteria,7.047314121155779e-16
choices do not,6.973588373426765e-16
rocks,6.938893903907228e-16
flowers,6.930220286527344e-16
the given,6.908536243077634e-16
candle,6.843484112728504e-16
the question the,6.808789643208968e-16
block,6.7914424084492e-16
constant,6.76975836499949e-16
and the,6.765421556309548e-16
growth,6.730727086790012e-16
criteria except for,6.648327721681113e-16
criteria except,6.648327721681113e-16
of the options,6.591949208711867e-16
eat,6.591949208711867e-16
correct based on,6.563759952227244e-16
correct based,6.563759952227244e-16
people,6.548581121812447e-16
correct answer the,6.531233887052679e-16
is the correct,6.522560269672795e-16
formation,6.507381439257998e-16
process is,6.487865800153259e-16
dense,6.3463774166439e-16
connection,6.331740687315346e-16
jello,6.292709409105868e-16
this process,6.288372600415926e-16
energy state,6.263945229008296e-16
car engine,6.227657278756737e-16
of the answers,6.127910678888071e-16
the answers,6.127910678888071e-16
on the information,6.075868974608767e-16
heavy,6.049848122469115e-16
is because,6.045511313779173e-16
the water,6.036837696399289e-16
about what,6.010816844259637e-16
answers can be,5.95443833129039e-16
answers can,5.95443833129039e-16
the answers can,5.95443833129039e-16
of water,5.946848916082992e-16
weather,5.93275428784068e-16
question the question,5.926249074805767e-16
related,5.898059818321144e-16
meet,5.86770215749155e-16
formation of,5.866617955319064e-16
that criteria,5.797229016279992e-16
the plant growth,5.776629175002768e-16
rationale for this,5.724587470723463e-16
water in,5.715913853343579e-16
allergy,5.703428587701051e-16
answer is because,5.620504062164855e-16
other,5.503410227536421e-16
the options,5.473052566706826e-16
question asks about,5.473052566706826e-16
an island,5.466818404215035e-16
who,5.449200118912145e-16
visible,5.429684479807406e-16
the formation,5.418300356996308e-16
the formation of,5.418300356996308e-16
planet,5.408000436357696e-16
does have,5.397158414632841e-16
example of,5.377642775528102e-16
number of,5.342948306008566e-16
an example,5.30825383648903e-16
an example of,5.30825383648903e-16
is that,5.273559366969494e-16
number,5.273559366969494e-16
rain,5.273559366969494e-16
therefore none,5.269222558279552e-16
car,5.247538514829841e-16
therefore none of,5.243201706139899e-16
deep,5.212844045310305e-16
each other,5.186823193170653e-16
except,5.178149575790769e-16
except for,5.178149575790769e-16
to the question,5.152128723651117e-16
pull,5.143455106271233e-16
island,5.114181647614124e-16
that criteria except,5.112555344355396e-16
answer the question,5.108760636751697e-16
meet that,5.107134333492969e-16
the constant,5.082739784612045e-16
diseases,5.067289903654126e-16
water in the,5.061055741162335e-16
this process is,5.056718932472393e-16
the flowers,5.053466325954936e-16
the answer would,5.048045315092509e-16
meet that criteria,5.02852967598777e-16
gain energy,5.016603452090429e-16
molecules gain,5.006845632538059e-16
shape,4.996003610813204e-16
the canyon,4.98732999343332e-16
the jello,4.982993184743378e-16
and not,4.977572173880951e-16
source,4.974319567363494e-16
molecules gain energy,4.967814354328581e-16
deserts,4.96564594998361e-16
lighter,4.955888130431241e-16
choice is the,4.952635523913784e-16
against,4.9439619065339e-16
state of,4.9439619065339e-16
objects,4.935288289154016e-16
do not,4.926614671774132e-16
options can be,4.92227786308419e-16
energy and,4.909267437014364e-16
damage,4.887583393564654e-16
gain energy and,4.774826367626162e-16
make,4.721700461174372e-16
the context,4.701100619897147e-16
other organisms,4.683753385137379e-16
in the question,4.683753385137379e-16
forest,4.683753385137379e-16
information given in,4.663153543860155e-16
elements,4.642147126768248e-16
provides,4.639843197151716e-16
at the,4.610027637408365e-16
options can,4.605690828718423e-16
given in,4.605690828718423e-16
given in the,4.605690828718423e-16
condition,4.579669976578771e-16
the rationale,4.579669976578771e-16
does,4.579669976578771e-16
plant growth,4.562322741819003e-16
answer would,4.553649124439119e-16
damage to,4.536301889679351e-16
have to,4.536301889679351e-16
range,4.527628272299467e-16
growth and,4.510281037539698e-16
shoe,4.49293380277993e-16
be correct based,4.473960264761434e-16
soil,4.440892098500626e-16
toast,4.440892098500626e-16
making,4.436555289810684e-16
satisfy,4.435335562366638e-16
satisfy that,4.435335562366638e-16
not relevant,4.423544863740858e-16
seed,4.423544863740858e-16
biological,4.414871246360974e-16
are formed,4.410534437671032e-16
of,4.40619762898109e-16
relevant,4.388850394221322e-16
flexible,4.388850394221322e-16
to determine,4.380176776841438e-16
related to the,4.371503159461554e-16
not related,4.3368086899420177e-16
may lay eggs,4.3281350725621337e-16
fur,4.3281350725621337e-16
it does have,4.314040444319822e-16
then the,4.3107878378023656e-16
food,4.3107878378023656e-16
the ability to,4.3021142204224816e-16
cause the,4.2934406030425976e-16
is still,4.2804301769727715e-16
not make,4.2674197509029455e-16
axis,4.2392304944183223e-16
molecules,4.2197148553135833e-16
determine,4.211041237933699e-16
native,4.211041237933699e-16
force that,4.163336342344337e-16
explanation for why,4.161167937999366e-16
to the formation,4.156831129309424e-16
of the given,4.150325916274511e-16
contain,4.145989107584569e-16
moon,4.145989107584569e-16
triplet is,4.145989107584569e-16
water droplets,4.124305064134859e-16
turtle may,4.115631446754975e-16
turtle may lay,4.115631446754975e-16
may lay,4.115631446754975e-16
out,4.111294638065033e-16
seasonal,4.0996394647108136e-16
asks about,4.0939474033052647e-16
property,4.0917789989602937e-16
birds with,4.0852737859253807e-16
then the answer,4.0505793164058446e-16
that are,4.0462425077159025e-16
of the choices,4.0288952729561345e-16
to sunlight,4.027811070783649e-16
transition,4.0158848468863084e-16
coral,4.0158848468863084e-16
and turtle,3.9985376121265404e-16
and turtle may,3.9985376121265404e-16
to and turtle,3.9985376121265404e-16
definition,3.9985376121265404e-16
determine why,3.997453409954055e-16
bones,3.9963692077815693e-16
damage to the,3.9898639947466563e-16
about the,3.972516759986888e-16
heated,3.968179951296946e-16
planet with,3.966769641439768e-16
position,3.963843142607004e-16
still,3.95516952522712e-16
species,3.948664312192207e-16
options are,3.946495907847236e-16
the substance,3.9432433013297796e-16
accurately describe,3.942159099157294e-16
combustion,3.937822290467352e-16
to eat,3.9372801893811094e-16
is gas,3.929894062081052e-16
question is that,3.920475055707584e-16
an,3.920475055707584e-16
describes,3.920475055707584e-16
