Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.8,"{'student': {'precision': 0.875, 'recall': 0.7, 'f1-score': 0.778, 'support': 10.0}, 'teacher': {'precision': 0.75, 'recall': 0.9, 'f1-score': 0.818, 'support': 10.0}, 'accuracy': 0.8, 'macro avg': {'precision': 0.812, 'recall': 0.8, 'f1-score': 0.798, 'support': 20.0}, 'weighted avg': {'precision': 0.812, 'recall': 0.8, 'f1-score': 0.798, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.7,"{'student': {'precision': 0.7, 'recall': 0.7, 'f1-score': 0.7, 'support': 10.0}, 'teacher': {'precision': 0.7, 'recall': 0.7, 'f1-score': 0.7, 'support': 10.0}, 'accuracy': 0.7, 'macro avg': {'precision': 0.7, 'recall': 0.7, 'f1-score': 0.7, 'support': 20.0}, 'weighted avg': {'precision': 0.7, 'recall': 0.7, 'f1-score': 0.7, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.75,"{'student': {'precision': 0.778, 'recall': 0.7, 'f1-score': 0.737, 'support': 10.0}, 'teacher': {'precision': 0.727, 'recall': 0.8, 'f1-score': 0.762, 'support': 10.0}, 'accuracy': 0.75, 'macro avg': {'precision': 0.753, 'recall': 0.75, 'f1-score': 0.749, 'support': 20.0}, 'weighted avg': {'precision': 0.753, 'recall': 0.75, 'f1-score': 0.749, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.8,"{'student': {'precision': 0.875, 'recall': 0.7, 'f1-score': 0.778, 'support': 10.0}, 'teacher': {'precision': 0.75, 'recall': 0.9, 'f1-score': 0.818, 'support': 10.0}, 'accuracy': 0.8, 'macro avg': {'precision': 0.812, 'recall': 0.8, 'f1-score': 0.798, 'support': 20.0}, 'weighted avg': {'precision': 0.812, 'recall': 0.8, 'f1-score': 0.798, 'support': 20.0}}"
gpt2_llama8b,gpt2_mixtral,0.65,"{'student': {'precision': 0.615, 'recall': 0.8, 'f1-score': 0.696, 'support': 10.0}, 'teacher': {'precision': 0.714, 'recall': 0.5, 'f1-score': 0.588, 'support': 10.0}, 'accuracy': 0.65, 'macro avg': {'precision': 0.665, 'recall': 0.65, 'f1-score': 0.642, 'support': 20.0}, 'weighted avg': {'precision': 0.665, 'recall': 0.65, 'f1-score': 0.642, 'support': 20.0}}"
gpt2_llama8b,gpt2_llama70b,0.65,"{'student': {'precision': 0.636, 'recall': 0.7, 'f1-score': 0.667, 'support': 10.0}, 'teacher': {'precision': 0.667, 'recall': 0.6, 'f1-score': 0.632, 'support': 10.0}, 'accuracy': 0.65, 'macro avg': {'precision': 0.652, 'recall': 0.65, 'f1-score': 0.649, 'support': 20.0}, 'weighted avg': {'precision': 0.652, 'recall': 0.65, 'f1-score': 0.649, 'support': 20.0}}"
gpt2_llama8b,gpt2_mistral7b,0.8,"{'student': {'precision': 0.75, 'recall': 0.9, 'f1-score': 0.818, 'support': 10.0}, 'teacher': {'precision': 0.875, 'recall': 0.7, 'f1-score': 0.778, 'support': 10.0}, 'accuracy': 0.8, 'macro avg': {'precision': 0.812, 'recall': 0.8, 'f1-score': 0.798, 'support': 20.0}, 'weighted avg': {'precision': 0.812, 'recall': 0.8, 'f1-score': 0.798, 'support': 20.0}}"
gpt2_mixtral,gpt2_llama70b,0.45,"{'student': {'precision': 0.429, 'recall': 0.3, 'f1-score': 0.353, 'support': 10.0}, 'teacher': {'precision': 0.462, 'recall': 0.6, 'f1-score': 0.522, 'support': 10.0}, 'accuracy': 0.45, 'macro avg': {'precision': 0.445, 'recall': 0.45, 'f1-score': 0.437, 'support': 20.0}, 'weighted avg': {'precision': 0.445, 'recall': 0.45, 'f1-score': 0.437, 'support': 20.0}}"
gpt2_mixtral,gpt2_mistral7b,0.45,"{'student': {'precision': 0.4, 'recall': 0.2, 'f1-score': 0.267, 'support': 10.0}, 'teacher': {'precision': 0.467, 'recall': 0.7, 'f1-score': 0.56, 'support': 10.0}, 'accuracy': 0.45, 'macro avg': {'precision': 0.433, 'recall': 0.45, 'f1-score': 0.413, 'support': 20.0}, 'weighted avg': {'precision': 0.433, 'recall': 0.45, 'f1-score': 0.413, 'support': 20.0}}"
gpt2_llama70b,gpt2_mistral7b,0.55,"{'student': {'precision': 0.556, 'recall': 0.5, 'f1-score': 0.526, 'support': 10.0}, 'teacher': {'precision': 0.545, 'recall': 0.6, 'f1-score': 0.571, 'support': 10.0}, 'accuracy': 0.55, 'macro avg': {'precision': 0.551, 'recall': 0.55, 'f1-score': 0.549, 'support': 20.0}, 'weighted avg': {'precision': 0.551, 'recall': 0.55, 'f1-score': 0.549, 'support': 20.0}}"
