Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.517,0.349,0.133,0.312
gpt2_gemma2_9b,mixtral,0.515,0.338,0.127,0.31
gpt2_gemma2_9b,llama70b,0.468,0.289,0.096,0.261
gpt2_llama8b,gemma2_9b,0.572,0.518,0.329,0.499
gpt2_llama8b,mixtral,0.557,0.427,0.236,0.402
gpt2_llama8b,llama70b,0.467,0.346,0.18,0.324
gpt2_mixtral,gemma2_9b,0.447,0.32,0.143,0.301
gpt2_mixtral,llama8b,0.496,0.421,0.195,0.375
gpt2_mixtral,llama70b,0.393,0.335,0.122,0.305
gpt2_llama70b,gemma2_9b,0.451,0.203,0.061,0.19
gpt2_llama70b,llama8b,0.442,0.265,0.08,0.241
gpt2_llama70b,mixtral,0.445,0.248,0.069,0.231
