Model 1,Model 2,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,1.0,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'gpt2_llama8b': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.85,"{'gpt2_gemma2_9b': {'precision': 0.818, 'recall': 0.9, 'f1-score': 0.857, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.889, 'recall': 0.8, 'f1-score': 0.842, 'support': 10.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}, 'weighted avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_llama70b,1.0,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'gpt2_llama70b': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,1.0,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}}"
gpt2_llama8b,gpt2_mixtral,0.5,"{'gpt2_llama8b': {'precision': 0.5, 'recall': 0.6, 'f1-score': 0.545, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.5, 'recall': 0.4, 'f1-score': 0.444, 'support': 10.0}, 'accuracy': 0.5, 'macro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.495, 'support': 20.0}, 'weighted avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.495, 'support': 20.0}}"
gpt2_llama8b,gpt2_llama70b,0.75,"{'gpt2_llama70b': {'precision': 0.727, 'recall': 0.8, 'f1-score': 0.762, 'support': 10.0}, 'gpt2_llama8b': {'precision': 0.778, 'recall': 0.7, 'f1-score': 0.737, 'support': 10.0}, 'accuracy': 0.75, 'macro avg': {'precision': 0.753, 'recall': 0.75, 'f1-score': 0.749, 'support': 20.0}, 'weighted avg': {'precision': 0.753, 'recall': 0.75, 'f1-score': 0.749, 'support': 20.0}}"
gpt2_llama8b,gpt2_mistral7b,0.45,"{'gpt2_llama8b': {'precision': 0.444, 'recall': 0.4, 'f1-score': 0.421, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.455, 'recall': 0.5, 'f1-score': 0.476, 'support': 10.0}, 'accuracy': 0.45, 'macro avg': {'precision': 0.449, 'recall': 0.45, 'f1-score': 0.449, 'support': 20.0}, 'weighted avg': {'precision': 0.449, 'recall': 0.45, 'f1-score': 0.449, 'support': 20.0}}"
gpt2_mixtral,gpt2_llama70b,0.6,"{'gpt2_llama70b': {'precision': 0.562, 'recall': 0.9, 'f1-score': 0.692, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.75, 'recall': 0.3, 'f1-score': 0.429, 'support': 10.0}, 'accuracy': 0.6, 'macro avg': {'precision': 0.656, 'recall': 0.6, 'f1-score': 0.56, 'support': 20.0}, 'weighted avg': {'precision': 0.656, 'recall': 0.6, 'f1-score': 0.56, 'support': 20.0}}"
gpt2_mixtral,gpt2_mistral7b,0.6,"{'gpt2_mistral7b': {'precision': 0.583, 'recall': 0.7, 'f1-score': 0.636, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.625, 'recall': 0.5, 'f1-score': 0.556, 'support': 10.0}, 'accuracy': 0.6, 'macro avg': {'precision': 0.604, 'recall': 0.6, 'f1-score': 0.596, 'support': 20.0}, 'weighted avg': {'precision': 0.604, 'recall': 0.6, 'f1-score': 0.596, 'support': 20.0}}"
gpt2_llama70b,gpt2_mistral7b,0.85,"{'gpt2_llama70b': {'precision': 0.818, 'recall': 0.9, 'f1-score': 0.857, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.889, 'recall': 0.8, 'f1-score': 0.842, 'support': 10.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}, 'weighted avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}}"
