feature,importance
therefore,2.0816681711721685e-16
tortilla,1.9656585387162195e-16
dirt,1.8735013540549517e-16
therefore the,1.8041124150158794e-16
she,1.7694179454963432e-16
the car,1.682681771697503e-16
car,1.6393136847980827e-16
the tortilla,1.6349768761081407e-16
onto,1.457167719820518e-16
in,1.448494102440634e-16
table,1.3791051634015616e-16
road,1.3444106938820255e-16
the grill,1.3400738851920835e-16
grill,1.3400738851920835e-16
the table,1.3097162243624894e-16
would,1.2836953722228372e-16
march,1.205632815803881e-16
slide,1.1796119636642288e-16
the plate,1.1275702593849246e-16
plate,1.1275702593849246e-16
for,1.0408340855860843e-16
ground in,9.302454639925628e-17
has smoother,9.280770596475918e-17
snow,9.280770596475918e-17
has smoother surface,9.280770596475918e-17
the dirt,9.194034422677078e-17
smoother surface,9.194034422677078e-17
march this,9.020562075079397e-17
therefore she,9.020562075079397e-17
appear,9.020562075079397e-17
would appear,9.020562075079397e-17
poster,9.020562075079397e-17
opposite,8.847089727481716e-17
the opposite,8.847089727481716e-17
more smooth than,8.847089727481716e-17
smooth than the,8.847089727481716e-17
smooth than,8.847089727481716e-17
can slide,8.695301423333746e-17
the street light,8.500145032286355e-17
street light,8.413408858487514e-17
chandelier,8.326672684688674e-17
the chandelier,8.326672684688674e-17
up more,8.283304597789254e-17
intensity,8.25891004890833e-17
while,8.066464163292153e-17
june,8.023096076392733e-17
in june,8.023096076392733e-17
in march,8.012254054667878e-17
ground,7.892991815694472e-17
ground in june,7.762887554996212e-17
smoother,7.632783294297951e-17
is more,7.632783294297951e-17
is more smooth,7.45931094670027e-17
the street,7.45931094670027e-17
smooth,7.45931094670027e-17
more smooth,7.45931094670027e-17
up,7.41594285980085e-17
james,7.37257477290143e-17
movie,7.37257477290143e-17
covers,7.37257477290143e-17
her,7.28583859910259e-17
firetruck,7.22078646875346e-17
the firetruck,7.22078646875346e-17
gary,7.19910242530375e-17
speed,7.177418381854039e-17
or,6.938893903907228e-17
indicating that the,6.938893903907228e-17
compared to,6.938893903907228e-17
watching,6.808789643208968e-17
onto the,6.808789643208968e-17
water,6.765421556309548e-17
rug,6.678685382510707e-17
strong than the,6.635317295611287e-17
less strong than,6.635317295611287e-17
strong than,6.635317295611287e-17
that james,6.591949208711867e-17
cover,6.591949208711867e-17
athlete,6.591949208711867e-17
rough,6.591949208711867e-17
could,6.505213034913027e-17
the road,6.461844948013606e-17
rug is more,6.331740687315346e-17
less rough,6.331740687315346e-17
the dresser,6.331740687315346e-17
dresser,6.331740687315346e-17
but,6.310056643865636e-17
made,6.245004513516506e-17
heat up,6.245004513516506e-17
decreases,6.223320470066795e-17
the pants,6.08237418764368e-17
pants,6.08237418764368e-17
surface like,6.071532165918825e-17
track,6.071532165918825e-17
the man,6.071532165918825e-17
with the,6.028164079019405e-17
greater distance in,5.984795992119984e-17
blue rug therefore,5.898059818321144e-17
construction paper,5.811323644522304e-17
less strong,5.724587470723463e-17
strong,5.724587470723463e-17
poster made of,5.551115123125783e-17
she will cover,5.551115123125783e-17
is the opposite,5.551115123125783e-17
tube,5.551115123125783e-17
the tube,5.551115123125783e-17
made of,5.551115123125783e-17
poster made,5.551115123125783e-17
the distance,5.4643789493269423e-17
closer to the,5.4643789493269423e-17
patio,5.377642775528102e-17
the patio,5.377642775528102e-17
rug therefore,5.377642775528102e-17
rug therefore the,5.377642775528102e-17
an,5.2909066017292616e-17
in march this,5.2909066017292616e-17
