feature,importance
the,7.882583474838611e-15
to,2.579533808777512e-15
is,2.1163626406917047e-15
that,1.605486577016535e-15
more,1.2559397966072083e-15
of,1.244664094013359e-15
question,1.1761425167122752e-15
than,1.1683362610703796e-15
therefore the,1.061650767297806e-15
states that,1.038232000372119e-15
mass,1.0217521273503394e-15
question states that,9.519295074422729e-16
question states,9.332812300755222e-16
the question states,9.332812300755222e-16
states,9.228728892196614e-16
be,9.211381657436846e-16
therefore,9.159339953157541e-16
and,9.05254603916772e-16
because,8.881784197001252e-16
distance,8.81239525796218e-16
ball,8.743006318923108e-16
the answer is,8.708311849403572e-16
answer,8.638922910364499e-16
answer is,8.512071256183695e-16
the question,8.422082475867398e-16
the answer,8.153200337090993e-16
is because,7.875644580934704e-16
in,7.840950111415168e-16
answer is because,7.546047120499111e-16
because the,7.37257477290143e-16
is because the,6.826136877968736e-16
because the question,6.800116025829084e-16
to the,6.522560269672795e-16
states that the,6.513886652292911e-16
the ball,6.245004513516506e-16
less,6.245004513516506e-16
has,6.140921104957897e-16
than the,6.106226635438361e-16
which,5.967448757360216e-16
that the,5.850354922731782e-16
it,5.676882575134101e-16
as,5.672545766444159e-16
greater,5.620504062164855e-16
more mass,4.631711680858075e-16
for,4.440892098500626e-16
for the,4.180683577104105e-16
skateboard,4.163336342344337e-16
would,4.145989107584569e-16
when,4.0766001685454967e-16
mass than the,4.0679265511656126e-16
more mass than,4.0679265511656126e-16
mass than,4.0419056990259605e-16
surface,4.0245584642661925e-16
throw,3.8510861166685117e-16
stagecoach,3.8424124992886277e-16
will,3.8077180297690916e-16
greater distance,3.7383290907300193e-16
speed,3.677613769070831e-16
have,3.5908775952719907e-16
the stagecoach,3.5648567431323386e-16
load,3.5041414214731503e-16
bunny,3.434752482434078e-16
likely,3.3306690738754696e-16
would be,3.3219954564955856e-16
not,3.2959746043559335e-16
with,3.2786273695961654e-16
in the,3.191891195797325e-16
friction,3.191891195797325e-16
the creation,3.165870343657673e-16
the creation of,3.165870343657673e-16
for the creation,3.165870343657673e-16
creation of,3.165870343657673e-16
creation,3.165870343657673e-16
creation of more,3.165870343657673e-16
of more,3.165870343657673e-16
of more mass,3.165870343657673e-16
allows for the,3.165870343657673e-16
throw the,3.139849491518021e-16
and the,3.122502256758253e-16
of the,3.0644974405302783e-16
allows,3.0574501264091225e-16
dog,3.0357660829594124e-16
time,3.0097452308197603e-16
allows for,2.972611306412132e-16
between,2.914335439641036e-16
person,2.8796409701215e-16
likely to,2.8449465006019636e-16
to throw,2.8362728832220796e-16
floor,2.8102520310824275e-16
the dog,2.7755575615628914e-16
making,2.7755575615628914e-16
on,2.7668839441830073e-16
truck,2.740863092043355e-16
smoother,2.671474153004283e-16
the person,2.636779683484747e-16
its,2.6020852139652106e-16
earth,2.5847379792054426e-16
to throw the,2.5538382172896057e-16
the skateboard,2.5413698923060224e-16
due to,2.480654570646834e-16
due,2.480654570646834e-16
his,2.454633718507182e-16
passengers,2.45029690981724e-16
