feature,importance
surface,1.0460382560140147e-15
on,8.626996686467159e-16
floor,6.74807432154978e-16
on the,6.65158032819857e-16
friction,6.245004513516506e-16
skate wheels,6.015153652949579e-16
wheels,5.9761223747401e-16
puck,5.939259500875593e-16
to,5.915407053080912e-16
the skate,5.819997261902188e-16
the skate wheels,5.819997261902188e-16
skate,5.557620336160696e-16
resistance,4.977572173880951e-16
friction and,4.972151163018523e-16
ball,4.942877704361415e-16
friction and heat,4.811689241490669e-16
and heat,4.811689241490669e-16
would,4.753142324176451e-16
heat,4.718447854656915e-16
and,4.527628272299467e-16
common,4.3281350725621337e-16
in the,4.3172930508372787e-16
as,4.3021142204224816e-16
this,4.2587461335230614e-16
misconception,4.150325916274511e-16
buildup,4.0462425077159025e-16
and heat buildup,4.0462425077159025e-16
heat buildup,4.0462425077159025e-16
concrete,3.9768535686768303e-16
wet,3.916138247017642e-16
the ball,3.7925391993542945e-16
less,3.677613769070831e-16
hotter on,3.475952164988527e-16
which,3.469446951953614e-16
hotter on the,3.436920886779049e-16
buildup on the,3.426078865054194e-16
buildup on,3.426078865054194e-16
heat buildup on,3.426078865054194e-16
the wet,3.41740524767431e-16
wet floor,3.41740524767431e-16
the wet floor,3.41740524767431e-16
has,3.400058012914542e-16
of the,3.3306690738754696e-16
hotter,3.2981430087009045e-16
the dirt,3.170207152347615e-16
more resistance,3.1647861414851874e-16
concrete surface,3.163701939312702e-16
be,3.157196726277789e-16
result,3.139849491518021e-16
wood,3.1159970437233397e-16
cause,3.0704605524789486e-16
dirt,3.0227556568895864e-16
less resistance,3.0184188481996443e-16
hockey puck,3.012997837337217e-16
the hockey,3.012997837337217e-16
hockey,3.012997837337217e-16
the hockey puck,3.012997837337217e-16
that,3.0097452308197603e-16
tommy,2.979387569990166e-16
the puck,2.953366717850514e-16
far,2.8189256484623115e-16
wood floor,2.8102520310824275e-16
more friction,2.7885679876327174e-16
the smoother,2.7668839441830073e-16
path,2.754957720285667e-16
this misconception,2.7538735181131813e-16
this misconception aris,2.743031496388326e-16
aris,2.743031496388326e-16
misconception aris,2.743031496388326e-16
less friction and,2.651958513899544e-16
compared to the,2.5760643618255585e-16
misconception aris common,2.5500435096859064e-16
common in,2.5500435096859064e-16
common in the,2.5500435096859064e-16
in the hockey,2.5500435096859064e-16
aris common in,2.5500435096859064e-16
aris common,2.5500435096859064e-16
less friction,2.5326962749261384e-16
throw,2.5110122314764283e-16
on the skate,2.5066754227864863e-16
the concrete,2.437286483747414e-16
dirt path,2.4313233717987437e-16
would cause,2.419939248987646e-16
would be,2.396086801192965e-16
throw the,2.3722343533982837e-16
question states that,2.3418766925686896e-16
states that,2.3245294578089215e-16
the dirt path,2.3218189523777077e-16
puck description,2.2827876741682296e-16
hockey puck description,2.2827876741682296e-16
jimbo,2.2681509448396753e-16
marble,2.248635305734936e-16
marble floor,2.248635305734936e-16
to the,2.246466901389965e-16
rough,2.216109240560371e-16
be hotter on,2.2063514210080015e-16
skate wheels would,2.2063514210080015e-16
be hotter,2.2063514210080015e-16
wheels would be,2.2063514210080015e-16
wheels would,2.2063514210080015e-16
would be hotter,2.2063514210080015e-16
not,2.203098814490545e-16
more friction and,2.2014725112318168e-16
reach,2.181414771040835e-16
has less,2.177077962350893e-16
description,2.1651517384535524e-16
reality,2.1380466841414147e-16
paved driveway,2.1098574276567916e-16
driveway,2.1098574276567916e-16
to move,2.0946785972419946e-16
mary,2.0729945537922845e-16
the wood,2.0458894994801469e-16
easily,2.0296264668928643e-16
floor this,2.0231212538579513e-16
smoother,2.0122792321330962e-16
why the,2.0122792321330962e-16
reach higher,1.9922214919421144e-16
pants,1.95590071916385e-16
more easily,1.95590071916385e-16
the pants,1.95590071916385e-16
the concrete surface,1.942890293094024e-16
due,1.9255430583342559e-16
due to,1.9255430583342559e-16
the soldier,1.9212062496443139e-16
move,1.9125326322644298e-16
floor this is,1.8778381627448937e-16
throw the ball,1.8724171518824662e-16
is why the,1.8648277366750676e-16
smaller than,1.8301332671555315e-16
the paved driveway,1.8236280541206185e-16
the ice,1.7911019889460533e-16
on the concrete,1.7813441693936838e-16
motion,1.7694179454963432e-16
as far,1.7650811368064012e-16
the rough,1.7417707900979629e-16
lake,1.74122868901172e-16
there is,1.734723475976807e-16
actually,1.726049858596923e-16
description this,1.7103289270958832e-16
description this misconception,1.7103289270958832e-16
puck description this,1.7103289270958832e-16
that mary,1.7032816129747275e-16
more easily and,1.702197410802242e-16
easily and,1.702197410802242e-16
may,1.695692197767329e-16
the marble,1.691355389077387e-16
the marble floor,1.691355389077387e-16
to throw,1.6783449630075609e-16
the wood floor,1.6750923564901044e-16
or,1.6653345369377348e-16
which would,1.6653345369377348e-16
allowing,1.6566609195578508e-16
indicating,1.6393136847980827e-16
indicating that,1.6393136847980827e-16
resistant to,1.63877158371184e-16
resistant,1.6168164897190085e-16
that there is,1.6132928326584306e-16
the paved,1.6023576373093776e-16
wheels as,1.5785983631388945e-16
skate wheels as,1.5785983631388945e-16
rough concrete,1.5785983631388945e-16
wood floor this,1.5785983631388945e-16
the rough concrete,1.5785983631388945e-16
wheels as result,1.5785983631388945e-16
result the skate,1.5785983631388945e-16
on the wood,1.5780562620526517e-16
surface the,1.5664010886984325e-16
able to,1.5612511283791264e-16
able,1.5612511283791264e-16
table surface,1.5525775109992423e-16
the pants and,1.5525775109992423e-16
pants and,1.5525775109992423e-16
the table surface,1.5525775109992423e-16
milo,1.5417354892743873e-16
more resistant to,1.5411933881881446e-16
more resistant,1.5411933881881446e-16
paved,1.5395670849294163e-16
rougher,1.5222198501696482e-16
as result,1.5092094240998222e-16
to move more,1.506227868125487e-16
due to the,1.5005358067199381e-16
result the,1.496198998029996e-16
surface will,1.496198998029996e-16
as result the,1.496198998029996e-16
is more resistant,1.4750570556665288e-16
fall,1.468009741545373e-16
ice,1.446325698095663e-16
smaller than the,1.4311468676808659e-16
higher,1.4289784633358948e-16
in reality,1.4224732503009818e-16
they,1.4224732503009818e-16
speed,1.4137996329210978e-16
who,1.4083786220586703e-16
in comparison,1.4051260155412137e-16
comparison,1.4051260155412137e-16
speed therefore the,1.4036352375540462e-16
speed therefore,1.4036352375540462e-16
is the one,1.4018734090237572e-16
the motorcycle,1.3942839938163587e-16
motorcycle,1.3942839938163587e-16
why,1.3877787807814457e-16
on it,1.3845261742639892e-16
question,1.3791051634015616e-16
this is why,1.3724051327887801e-16
floor would,1.3682631416767066e-16
to throw the,1.3660947373317356e-16
move more,1.3552527156068805e-16
will,1.3530843112619095e-16
the surface,1.3530843112619095e-16
as the,1.3357370765021415e-16
that there,1.3227266504323154e-16
offers less,1.3097162243624894e-16
appears smaller,1.3032110113275763e-16
is actually,1.3010426069826053e-16
move more easily,1.2956215961201778e-16
the one,1.2923689896027213e-16
the glass,1.2918268885164785e-16
offers,1.2836953722228372e-16
to tommy movement,1.2826111700503517e-16
resistant to tommy,1.2826111700503517e-16
tommy movement,1.2826111700503517e-16
floor is more,1.2826111700503517e-16
therefore the wet,1.2826111700503517e-16
wet floor is,1.2826111700503517e-16
to tommy,1.2826111700503517e-16
surface which,1.2815269678778662e-16
in less friction,1.2663481374630692e-16
the smoother surface,1.2641797331180982e-16
strength,1.2576745200831851e-16
wheels were hotter,1.2533377113932431e-16
smoother wood,1.2533377113932431e-16
were hotter,1.2533377113932431e-16
wood floor would,1.2533377113932431e-16
smoother wood floor,1.2533377113932431e-16
rough concrete surface,1.2533377113932431e-16
were hotter on,1.2533377113932431e-16
skate wheels were,1.2533377113932431e-16
wheels were,1.2533377113932431e-16
why the skate,1.2533377113932431e-16
the smoother wood,1.2533377113932431e-16
offers less resistance,1.249000902703301e-16
is why,1.249000902703301e-16
therefore it,1.240327285323417e-16
the ball to,1.235990476633475e-16
ball to,1.235990476633475e-16
rougher surface,1.205632815803881e-16
in,1.20346441145891e-16
allowing the,1.1882855810441129e-16
to the marble,1.1763593571467723e-16
result in,1.1752751549742868e-16
roughness,1.1741909528018013e-16
on the paved,1.1712093968274662e-16
contrast the,1.1709383462843448e-16
in contrast the,1.1709383462843448e-16
states that there,1.1709383462843448e-16
phrasing,1.1579279202145187e-16
sweating,1.1492543028346347e-16
resistance while,1.1468148479465423e-16
would cause more,1.1319070680748666e-16
however,1.1275702593849246e-16
farther,1.1275702593849246e-16
the rabbit,1.1275702593849246e-16
surface will allow,1.1232334506949826e-16
throwing star,1.1188966420050406e-16
pants and the,1.1145598333150986e-16
is common misconception,1.1145598333150986e-16
between the pants,1.1145598333150986e-16
allows,1.1140177322288558e-16
throwing,1.1123914289701275e-16
will allow,1.111307226797642e-16
will allow the,1.111307226797642e-16
top,1.109138822452671e-16
top speed,1.109138822452671e-16
with less,1.1080546202801855e-16
there,1.1015494072452725e-16
in contrast,1.0972125985553305e-16
and reach higher,1.096128396382845e-16
easily and reach,1.096128396382845e-16
and reach,1.096128396382845e-16
on the dirt,1.0931468404085098e-16
reach higher top,1.0842021724855044e-16
lower,1.0798653637955624e-16
riding,1.0755285551056204e-16
there is more,1.0711917464156784e-16
skateboard,1.0581813203458523e-16
plate,1.0581813203458523e-16
the skateboard,1.0581813203458523e-16
the plate,1.0581813203458523e-16
rabbit,1.0560129160008813e-16
may be,1.0516761073109393e-16
where,1.0451708942760263e-16
is common,1.0451708942760263e-16
this is common,1.0451708942760263e-16
resistance on,1.0321604682062002e-16
would not,1.0321604682062002e-16
cause more friction,1.0278236595162582e-16
street light is,1.0278236595162582e-16
the person,1.0256552551712872e-16
it is more,1.0234868508263162e-16
more likely that,1.0234868508263162e-16
energy,1.0169816377914032e-16
and the table,1.0115606269289756e-16
even,1.0104764247564901e-16
energy and,1.0083080204115191e-16
not the,1.006325963314944e-16
the yogurt,1.0034629919532245e-16
which implies that,1.0018028073766061e-16
which implies,1.0018028073766061e-16
result in less,9.974659986866641e-17
the question,9.974659986866641e-17
in less,9.93129189996722e-17
person,9.877081791342945e-17
which means,9.80118763926896e-17
to move on,9.80118763926896e-17
move on,9.80118763926896e-17
that the soldier,9.77950359581925e-17
to stop,9.75781955236954e-17
indicating that there,9.73613550891983e-17
frozen,9.71445146547012e-17
stop,9.71445146547012e-17
that she,9.71445146547012e-17
frozen lake,9.71445146547012e-17
compared to,9.71445146547012e-17
compared,9.71445146547012e-17
misconception but,9.6710833785707e-17
common misconception but,9.6710833785707e-17
misconception but the,9.6710833785707e-17
table surface which,9.64939933512099e-17
the puck to,9.64939933512099e-17
resistance on the,9.616873269946424e-17
load,9.616873269946424e-17
floor is,9.606031248221569e-17
that the wet,9.595189226496714e-17
person riding,9.584347204771859e-17
the person riding,9.584347204771859e-17
implies that,9.503032041835446e-17
