Model 1,Model 2,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.95,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'gpt2_llama8b': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_mixtral,1.0,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'gpt2_mixtral': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.95,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'gpt2_llama70b': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.85,"{'gpt2_gemma2_9b': {'precision': 0.769, 'recall': 1.0, 'f1-score': 0.87, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 1.0, 'recall': 0.7, 'f1-score': 0.824, 'support': 10.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.885, 'recall': 0.85, 'f1-score': 0.847, 'support': 20.0}, 'weighted avg': {'precision': 0.885, 'recall': 0.85, 'f1-score': 0.847, 'support': 20.0}}"
gpt2_llama8b,gpt2_mixtral,0.7,"{'gpt2_llama8b': {'precision': 0.667, 'recall': 0.8, 'f1-score': 0.727, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.75, 'recall': 0.6, 'f1-score': 0.667, 'support': 10.0}, 'accuracy': 0.7, 'macro avg': {'precision': 0.708, 'recall': 0.7, 'f1-score': 0.697, 'support': 20.0}, 'weighted avg': {'precision': 0.708, 'recall': 0.7, 'f1-score': 0.697, 'support': 20.0}}"
gpt2_llama8b,gpt2_llama70b,0.7,"{'gpt2_llama70b': {'precision': 0.7, 'recall': 0.7, 'f1-score': 0.7, 'support': 10.0}, 'gpt2_llama8b': {'precision': 0.7, 'recall': 0.7, 'f1-score': 0.7, 'support': 10.0}, 'accuracy': 0.7, 'macro avg': {'precision': 0.7, 'recall': 0.7, 'f1-score': 0.7, 'support': 20.0}, 'weighted avg': {'precision': 0.7, 'recall': 0.7, 'f1-score': 0.7, 'support': 20.0}}"
gpt2_llama8b,gpt2_mistral7b,0.65,"{'gpt2_llama8b': {'precision': 0.615, 'recall': 0.8, 'f1-score': 0.696, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.714, 'recall': 0.5, 'f1-score': 0.588, 'support': 10.0}, 'accuracy': 0.65, 'macro avg': {'precision': 0.665, 'recall': 0.65, 'f1-score': 0.642, 'support': 20.0}, 'weighted avg': {'precision': 0.665, 'recall': 0.65, 'f1-score': 0.642, 'support': 20.0}}"
gpt2_mixtral,gpt2_llama70b,0.75,"{'gpt2_llama70b': {'precision': 0.692, 'recall': 0.9, 'f1-score': 0.783, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.857, 'recall': 0.6, 'f1-score': 0.706, 'support': 10.0}, 'accuracy': 0.75, 'macro avg': {'precision': 0.775, 'recall': 0.75, 'f1-score': 0.744, 'support': 20.0}, 'weighted avg': {'precision': 0.775, 'recall': 0.75, 'f1-score': 0.744, 'support': 20.0}}"
gpt2_mixtral,gpt2_mistral7b,0.65,"{'gpt2_mistral7b': {'precision': 0.615, 'recall': 0.8, 'f1-score': 0.696, 'support': 10.0}, 'gpt2_mixtral': {'precision': 0.714, 'recall': 0.5, 'f1-score': 0.588, 'support': 10.0}, 'accuracy': 0.65, 'macro avg': {'precision': 0.665, 'recall': 0.65, 'f1-score': 0.642, 'support': 20.0}, 'weighted avg': {'precision': 0.665, 'recall': 0.65, 'f1-score': 0.642, 'support': 20.0}}"
gpt2_llama70b,gpt2_mistral7b,0.65,"{'gpt2_llama70b': {'precision': 0.615, 'recall': 0.8, 'f1-score': 0.696, 'support': 10.0}, 'gpt2_mistral7b': {'precision': 0.714, 'recall': 0.5, 'f1-score': 0.588, 'support': 10.0}, 'accuracy': 0.65, 'macro avg': {'precision': 0.665, 'recall': 0.65, 'f1-score': 0.642, 'support': 20.0}, 'weighted avg': {'precision': 0.665, 'recall': 0.65, 'f1-score': 0.642, 'support': 20.0}}"
