feature,importance
location,1.4259426972529354e-15
store,1.4085954624931674e-15
the answer is,1.3149203947904198e-15
the answer,1.2281842209915794e-15
location for,1.2030307305899157e-15
is because,1.1333165308990978e-15
answer is because,1.1076209394111913e-15
because,1.0104764247564901e-15
their,1.0026701691145945e-15
more,9.97465998686664e-16
answer is,8.291978215169138e-16
platform,8.196568423990414e-16
launch,7.73686670285656e-16
more common,7.259817746962938e-16
for,7.164407955784213e-16
performer,6.982261990806649e-16
launch platform,6.982261990806649e-16
question,6.96491475604688e-16
is more,6.956241138666996e-16
dark,6.799641687378621e-16
where one,6.761084747619606e-16
as,6.722053469410127e-16
is more common,6.704706234650359e-16
common location for,6.617970060851519e-16
common location,6.617970060851519e-16
more common location,6.535570695742621e-16
location for travelers,6.535570695742621e-16
travelers,6.535570695742621e-16
travelers to,6.535570695742621e-16
for travelers,6.535570695742621e-16
for travelers to,6.535570695742621e-16
illinois,6.532318089225164e-16
the question,6.487865800153259e-16
make,6.472686969738461e-16
person,6.402755929613146e-16
glasses,6.389881028814881e-16
farmland,6.345835315557657e-16
effects,6.215121191137374e-16
where one can,6.083458389816165e-16
one can,6.083458389816165e-16
dark glasses,5.780898221056929e-16
james,5.658451138201848e-16
to be,5.655198531684391e-16
store is,5.455705331947058e-16
long,5.421824014056886e-16
onto,5.316927453868914e-16
look,5.230191280070073e-16
do not,5.088160795474472e-16
most direct,5.069729358542219e-16
the most direct,5.069729358542219e-16
to store,5.022024462952857e-16
onto launch,4.926614671774132e-16
onto launch platform,4.926614671774132e-16
long term,4.867114842394254e-16
because the question,4.697305912293448e-16
clothing,4.644722106927901e-16
question does not,4.644722106927901e-16
riding bike,4.620530845954318e-16
riding,4.620530845954318e-16
bike,4.620530845954318e-16
the question does,4.557985933129061e-16
question does,4.557985933129061e-16
direct,4.536301889679351e-16
interesting,4.508112633194727e-16
might,4.501607420159814e-16
find,4.499439015814843e-16
of riding,4.492781336849425e-16
of riding bike,4.492781336849425e-16
clothing store,4.3237982638721917e-16
look for,4.255493527005605e-16
on,4.204536024898786e-16
step onto,4.098284211995207e-16
wearing,4.0045896625346723e-16
step,3.9855271860567143e-16
illinois is,3.972516759986888e-16
options do not,3.966011546951975e-16
options do,3.966011546951975e-16
room,3.937822290467352e-16
additionally,3.937822290467352e-16
stop,3.898791012257874e-16
store their,3.872770160118222e-16
to store their,3.872770160118222e-16
not container,3.866264947083309e-16
is not container,3.866264947083309e-16
other options do,3.861928138393367e-16
specify,3.853118995741922e-16
not specify,3.853118995741922e-16
does not specify,3.853118995741922e-16
as the,3.7903707950093235e-16
map,3.771397256990827e-16
clothing store is,3.7296554733501353e-16
step onto launch,3.690624195140657e-16
buy,3.661892837569791e-16
not specify particular,3.647539864278567e-16
specify particular,3.647539864278567e-16
wear,3.6440035017237804e-16
container for,3.5518463170625125e-16
not container for,3.5518463170625125e-16
than,3.5128150388530344e-16
glove,3.449541677693138e-16
hardware,3.430415673744136e-16
is important,3.423910460709223e-16
it is important,3.423910460709223e-16
place where one,3.421742056364252e-16
hotel room which,3.400058012914542e-16
than hotel,3.400058012914542e-16
room which,3.400058012914542e-16
store is more,3.400058012914542e-16
room which is,3.400058012914542e-16
store their belongings,3.400058012914542e-16
their belongings than,3.400058012914542e-16
