Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gemma2_9b,0.552,0.481,0.235,0.425
gpt2_gemma2_9b,llama8b,0.556,0.489,0.253,0.436
gpt2_gemma2_9b,mixtral,0.545,0.458,0.202,0.415
gpt2_gemma2_9b,llama70b,0.566,0.436,0.237,0.404
gpt2_llama8b,gemma2_9b,0.588,0.517,0.25,0.448
gpt2_llama8b,llama8b,0.561,0.485,0.236,0.433
gpt2_llama8b,mixtral,0.571,0.47,0.206,0.409
gpt2_llama8b,llama70b,0.561,0.436,0.239,0.413
gpt2_mixtral,gemma2_9b,0.554,0.498,0.256,0.442
gpt2_mixtral,llama8b,0.535,0.474,0.239,0.434
gpt2_mixtral,mixtral,0.547,0.482,0.239,0.42
gpt2_mixtral,llama70b,0.535,0.426,0.238,0.391
gpt2_llama70b,gemma2_9b,0.627,0.514,0.325,0.485
gpt2_llama70b,llama8b,0.607,0.484,0.293,0.452
gpt2_llama70b,mixtral,0.595,0.466,0.281,0.445
gpt2_llama70b,llama70b,0.646,0.549,0.372,0.533
