feature,importance
film is,1.1145598333150986e-15
cast,1.0651202142497596e-15
the film is,1.0321604682062002e-15
find it,8.118505867571457e-16
of the,7.164407955784213e-16
it to be,6.661338147750939e-16
who,6.38378239159465e-16
known for,6.002143226879753e-16
their,5.811323644522304e-16
cast particularly,5.724587470723463e-16
that the film,5.533767888366015e-16
appeal,5.516420653606247e-16
while,5.312590645178972e-16
criticized for being,5.273559366969494e-16
charming,5.273559366969494e-16
pleasant,5.273559366969494e-16
is generally,5.169475958410885e-16
film for,5.134781488891349e-16
about,4.996003610813204e-16
by,4.926614671774132e-16
while others,4.839878497975292e-16
the film,4.787836793695988e-16
it to,4.614364446098307e-16
find it to,4.614364446098307e-16
may not,4.510281037539698e-16
talented,4.458239333260394e-16
compelling,4.440892098500626e-16
viewers,4.371503159461554e-16
reed,4.345482307321902e-16
powerful,4.3368086899420177e-16
challenges,4.3086194334573946e-16
overall the film,4.3021142204224816e-16
titled,4.2327252813834093e-16
the challenges,4.215378046623641e-16
being,4.198030811863873e-16
praised,4.128641872824801e-16
miyazaki,4.071179157683069e-16
mention that,4.0419056990259605e-16
explores the,4.0245584642661925e-16
emotional,3.9898639947466563e-16
criticized for,3.95516952522712e-16
creative,3.920475055707584e-16
mention that the,3.903127820947816e-16
with,3.8163916471489756e-16
criticized,3.7816971776294395e-16
best,3.7816971776294395e-16
the film for,3.7816971776294395e-16
few,3.7773603689394974e-16
while others find,3.7686867515596134e-16
directed by,3.712308238590367e-16
nimoy,3.655929725621121e-16
modern,3.642919299551295e-16
fails to,3.608224830031759e-16
is often,3.608224830031759e-16
to its,3.5908775952719907e-16
content,3.5735303605122226e-16
refn,3.5258254649228604e-16
despite its,3.4867941867133823e-16
nourry,3.4828639538381223e-16
others,3.469446951953614e-16
between,3.469446951953614e-16
the acting,3.452099717193846e-16
disturbing,3.4466787063314186e-16
are praised,3.434752482434078e-16
self,3.3306690738754696e-16
director,3.2959746043559335e-16
others find it,3.2959746043559335e-16
mixed with,3.2786273695961654e-16
lacks,3.2612801348363973e-16
disney,3.2439329000766293e-16
mention,3.235259282696745e-16
film directed,3.226585665316861e-16
those,3.226585665316861e-16
attempts at,3.226585665316861e-16
film directed by,3.226585665316861e-16
the cast,3.209238430557093e-16
and nuanced,3.191891195797325e-16
works,3.191891195797325e-16
film themes of,3.191891195797325e-16
killer,3.157196726277789e-16
those who,3.157196726277789e-16
relationship,3.157196726277789e-16
new,3.157196726277789e-16
seen as,3.157196726277789e-16
life,3.1051550219984847e-16
of the cast,3.0791341698588326e-16
is both,3.0531133177191805e-16
despite its flaws,3.0357660829594124e-16
compelling and,3.0270924655795284e-16
may,3.0010716134398763e-16
critics have,2.983724378680108e-16
feel like,2.975050761300224e-16
depth the film,2.949029909160572e-16
known for its,2.949029909160572e-16
standout,2.914335439641036e-16
film,2.914335439641036e-16
impact,2.914335439641036e-16
the film explores,2.914335439641036e-16
film explores,2.914335439641036e-16
fascinating,2.896988204881268e-16
action,2.8796409701215e-16
few reviewers,2.8536201179818477e-16
mental,2.8492833092919057e-16
with an,2.8449465006019636e-16
exploration of,2.8362728832220796e-16
branagh,2.8319360745321376e-16
the impact of,2.8102520310824275e-16
impact of,2.8102520310824275e-16
for their,2.7994100093575724e-16
as it,2.7929047963226594e-16
known,2.7755575615628914e-16
memorable,2.7755575615628914e-16
film for its,2.7755575615628914e-16
and some,2.7755575615628914e-16
comedy that,2.7582103268031233e-16
is generally considered,2.7538735181131813e-16
chaplin,2.749536709423239e-16
mixed with some,2.740863092043355e-16
appeal to,2.740863092043355e-16
and their,2.719179048593645e-16
indulgent,2.714842239903703e-16
features talented,2.706168622523819e-16
conclusion,2.688821387764051e-16
directed by nicolas,2.675810961694225e-16
series,2.671474153004283e-16
create,2.6516874633564225e-16
film adaptation,2.636779683484747e-16
cast including,2.636779683484747e-16
elements,2.6194324487249787e-16
effort,2.6020852139652106e-16
nicolas winding refn,2.5934115965853266e-16
by nicolas winding,2.5934115965853266e-16
debut,2.5934115965853266e-16
nicolas winding,2.5934115965853266e-16
nature of the,2.5673907444456745e-16
talented cast,2.5500435096859064e-16
to other,2.5457067009959644e-16
deliver,2.5326962749261384e-16
film adaptation of,2.5175174445113413e-16
film is seen,2.5153490401663703e-16
may find it,2.5153490401663703e-16
intimate and,2.5110122314764283e-16
some praising,2.5066754227864863e-16
with some praising,2.5066754227864863e-16
but it,2.498001805406602e-16
are mixed with,2.498001805406602e-16
winding refn,2.484991379336776e-16
winding,2.484991379336776e-16
the cast particularly,2.467644144577008e-16
directed,2.463307335887066e-16
nicolas,2.463307335887066e-16
noted for its,2.463307335887066e-16
overly,2.454633718507182e-16
chaotic,2.445960101127298e-16
clichéd,2.445960101127298e-16
artistic,2.439454888092385e-16
personal and,2.437286483747414e-16
film that is,2.42861286636753e-16
the game,2.42861286636753e-16
high school,2.419939248987646e-16
by nicolas,2.415602440297704e-16
best works,2.415602440297704e-16
it is considered,2.411265631607762e-16
shallow,2.411265631607762e-16
seen,2.400423609882907e-16
generally considered,2.393918396847994e-16
girls,2.393918396847994e-16
hard,2.393918396847994e-16
compelling and thought,2.3722343533982837e-16
hardy,2.3635607360183997e-16
film that,2.3592239273284576e-16
light,2.3592239273284576e-16
film the,2.3418766925686896e-16
reviewers mention that,2.332932024645684e-16
look at,2.3245294578089215e-16
but it is,2.3245294578089215e-16
some find,2.3245294578089215e-16
small,2.3245294578089215e-16
due to,2.3245294578089215e-16
due,2.3245294578089215e-16
nostalgic,2.3180242447740085e-16
is powerful and,2.3071822230491534e-16
like,2.3028454143592114e-16
and may,2.2898349882893854e-16
the original,2.2898349882893854e-16
it is also,2.2898349882893854e-16
is pleasant,2.2898349882893854e-16
life and,2.2811613709095013e-16
kevin,2.2724877535296173e-16
for those,2.255140518769849e-16
culture,2.255140518769849e-16
for being,2.255140518769849e-16
as reminder,2.255140518769849e-16
while the film,2.255140518769849e-16
to create,2.2475511035624507e-16
football,2.244298497044994e-16
reviewers mention,2.241316941070659e-16
enthusiasts,2.220446049250313e-16
american,2.220446049250313e-16
studio,2.2128566340429145e-16
praised the,2.211772431870429e-16
its flaws,2.211772431870429e-16
compared to other,2.185751579730777e-16
and the,2.185751579730777e-16
enduring,2.177077962350893e-16
romantic comedy that,2.177077962350893e-16
together,2.1684043449710089e-16
with the,2.1684043449710089e-16
decent,2.1684043449710089e-16
documentary my,2.1640675362810669e-16
the documentary my,2.1640675362810669e-16
bond,2.1597307275911248e-16
some reviewers appreciate,2.1553939189011828e-16
due to its,2.1510571102112408e-16
of the original,2.1510571102112408e-16
of the film,2.1510571102112408e-16
the performances particularly,2.1423834928313568e-16
storyline,2.1337098754514727e-16
prodigal sons,2.1190731461229184e-16
costner,2.1163626406917047e-16
beautifully,2.1163626406917047e-16
some reviewers note,2.1163626406917047e-16
unremarkable,2.1163626406917047e-16
some praising the,2.1076890233118206e-16
compelling story,2.0990154059319366e-16
prodigal,2.0990154059319366e-16
and performances particularly,2.0816681711721685e-16
process the,2.0773313624822265e-16
fiction,2.0773313624822265e-16
having,2.0729945537922845e-16
film is criticized,2.069741947274828e-16
self indulgent,2.0686577451023425e-16
horror,2.0643209364124004e-16
personal,2.0643209364124004e-16
premise,2.0556473190325164e-16
only,2.0469737016526324e-16
however it,2.0469737016526324e-16
direction and,2.0469737016526324e-16
whisky,2.0415526907902048e-16
welles,2.0361316799277773e-16
game,2.0296264668928643e-16
enjoyable film that,2.0208173242414196e-16
but not,2.0152607881074314e-16
criticized as,2.0122792321330962e-16
has received,2.0122792321330962e-16
christopher,2.0122792321330962e-16
john,2.0122792321330962e-16
excessive,2.0122792321330962e-16
unconvincing,1.9949319973733282e-16
and the challenges,1.986258379993444e-16
and moving,1.97758476261356e-16
some critics have,1.97758476261356e-16
original,1.97758476261356e-16
reviews critics describe,1.97758476261356e-16
follows the,1.97758476261356e-16
intriguing,1.968911145233676e-16
feels,1.960237527853792e-16
the story of,1.960237527853792e-16
story and,1.960237527853792e-16
film is known,1.951563910473908e-16
may find,1.942890293094024e-16
originality,1.942890293094024e-16
entertaining and,1.942890293094024e-16
mix,1.942890293094024e-16
for those who,1.942890293094024e-16
that the,1.942890293094024e-16
family,1.942890293094024e-16
others find,1.942890293094024e-16
wegener,1.940721888749053e-16
romance,1.9366561306022323e-16
sons,1.9325903724554117e-16
trek,1.927711462679227e-16
film features talented,1.9255430583342559e-16
the making of,1.9168694409543718e-16
making of,1.9168694409543718e-16
the making,1.9168694409543718e-16
viewers but,1.9125326322644298e-16
burn,1.9081958235744878e-16
this the film,1.9081958235744878e-16
originality the,1.9081958235744878e-16
film that may,1.9081958235744878e-16
awkwardly,1.9081958235744878e-16
slow burn,1.9081958235744878e-16
story of,1.9081958235744878e-16
those who are,1.9081958235744878e-16
italian,1.9038590148845458e-16
praising its,1.8951853975046618e-16
adaptation of,1.8908485888147197e-16
exploitative,1.8821749714348357e-16
legend,1.8769572484797492e-16
fails,1.8735013540549517e-16
to deliver compelling,1.8735013540549517e-16
experience the,1.8735013540549517e-16
fields,1.8735013540549517e-16
is criticized,1.8648277366750676e-16
however many others,1.8648277366750676e-16
high school football,1.8583225236401546e-16
school football,1.8583225236401546e-16
compared,1.857983710461253e-16
message about,1.8561541192951836e-16
nostalgic value,1.8474805019152996e-16
overlong,1.8474805019152996e-16
clever,1.8474805019152996e-16
fans of the,1.8388068845354155e-16
who deliver,1.8301332671555315e-16
find it enjoyable,1.8257964584655895e-16
comedy directed,1.822543851948133e-16
comedy directed by,1.822543851948133e-16
miss,1.8214596497756474e-16
film predictable,1.8214596497756474e-16
the film predictable,1.8214596497756474e-16
james,1.8192912454306764e-16
effects and,1.8084492237058214e-16
holiday,1.8084492237058214e-16
artists,1.8084492237058214e-16
is charming,1.8041124150158794e-16
but may,1.8041124150158794e-16
who are,1.8041124150158794e-16
it is,1.8041124150158794e-16
delivers,1.8041124150158794e-16
praising,1.8041124150158794e-16
the studio,1.8030282128433939e-16
experiment,1.7997756063259374e-16
sensitive,1.7911019889460533e-16
graphic,1.7780915628762273e-16
in depth,1.7780915628762273e-16
provocative,1.7780915628762273e-16
son,1.7694179454963432e-16
lacks the,1.7694179454963432e-16
film director,1.7694179454963432e-16
in its,1.7694179454963432e-16
the film director,1.7694179454963432e-16
film explores the,1.7694179454963432e-16
henry,1.7650811368064012e-16
content and,1.7650811368064012e-16
and death,1.7650811368064012e-16
few reviewers mention,1.7644035104485978e-16
shallow and,1.7607443281164592e-16
follows the story,1.7520707107365752e-16
lee,1.7520707107365752e-16
its powerful,1.7477339020466331e-16
of various,1.7477339020466331e-16
insightful,1.7433970933566911e-16
president,1.7433970933566911e-16
drama that,1.7433970933566911e-16
the president,1.7433970933566911e-16
kate,1.7428549922704484e-16
age,1.734723475976807e-16
raw,1.734723475976807e-16
and drama,1.734723475976807e-16
film is both,1.734723475976807e-16
challenging,1.734723475976807e-16
have praised,1.734723475976807e-16
some viewers but,1.730386667286865e-16
adaptation,1.728218262941894e-16
found it,1.726049858596923e-16
of high,1.718731493932646e-16
cinematic,1.717376241217039e-16
is noted for,1.717376241217039e-16
work the,1.717376241217039e-16
gillian,1.708702623837155e-16
is noted,1.708702623837155e-16
seeking,1.708702623837155e-16
clown,1.704365815147213e-16
drama about,1.700029006457271e-16
teenage,1.700029006457271e-16
kevin costner,1.700029006457271e-16
film tone is,1.691355389077387e-16
cliches,1.691355389077387e-16
babylon,1.691355389077387e-16
series and,1.689186984732416e-16
many others,1.687018580387445e-16
impact and,1.684850176042474e-16
with its,1.682681771697503e-16
is known for,1.682681771697503e-16
performance and,1.682681771697503e-16
my life,1.682681771697503e-16
particularly memorable,1.682681771697503e-16
viewers may find,1.682681771697503e-16
is known,1.682681771697503e-16
describing,1.682681771697503e-16
the reviewers praise,1.6740081543176188e-16
be overly,1.6740081543176188e-16
enjoyable film,1.6696713456276768e-16
boogie,1.6696713456276768e-16
reviews for the,1.6653345369377348e-16
life and the,1.6653345369377348e-16
flaws the film,1.6653345369377348e-16
the subjects,1.6653345369377348e-16
praised the film,1.6653345369377348e-16
viewers to,1.6566609195578508e-16
of their,1.6566609195578508e-16
explicit,1.6566609195578508e-16
film that will,1.6501557065229377e-16
faced,1.6479873021779667e-16
james bond,1.6414820891430537e-16
god,1.6393136847980827e-16
is considered an,1.6393136847980827e-16
work in,1.6306400674181987e-16
supernatural,1.6306400674181987e-16
irritating,1.6306400674181987e-16
america,1.6306400674181987e-16
praised but the,1.6306400674181987e-16
is flawed but,1.6219664500383146e-16
and engaging experience,1.6132928326584306e-16
protagonist,1.6132928326584306e-16
movie is considered,1.6132928326584306e-16
couple,1.610040226140974e-16
and nuanced portrayal,1.605703417451032e-16
film nostalgic,1.6046192152785466e-16
the film nostalgic,1.6046192152785466e-16
film nostalgic value,1.6046192152785466e-16
return,1.6002824065886045e-16
noted,1.5959455978986625e-16
find,1.5959455978986625e-16
some reviewers,1.5959455978986625e-16
the film themes,1.5872719805187785e-16
film themes,1.5872719805187785e-16
tone is,1.5872719805187785e-16
some reviewers found,1.5872719805187785e-16
transsexual,1.5856456772600502e-16
remake of,1.5851035761738075e-16
performances of the,1.5785983631388945e-16
found it to,1.5785983631388945e-16
similar,1.5785983631388945e-16
fully,1.5785983631388945e-16
halloween,1.5785983631388945e-16
for its portrayal,1.5785983631388945e-16
that follows the,1.5742615544489524e-16
charming cast,1.5726352511902242e-16
it falls,1.5699247457590104e-16
and focus,1.5699247457590104e-16
be uneven,1.5699247457590104e-16
the challenges and,1.5655879370690684e-16
obsession,1.5612511283791264e-16
is compared to,1.5612511283791264e-16
the impact,1.5612511283791264e-16
that is suitable,1.5612511283791264e-16
provide,1.5612511283791264e-16
itself,1.5612511283791264e-16
it is generally,1.5612511283791264e-16
the film as,1.5612511283791264e-16
serves as,1.5571853702323057e-16
creative and,1.5569143196891844e-16
masterpiece of,1.5569143196891844e-16
glimpse into the,1.5525775109992423e-16
oz,1.5525775109992423e-16
poor execution,1.5482407023093003e-16
many praising the,1.5460722979643293e-16
may not appeal,1.5439038936193583e-16
mental illness,1.5439038936193583e-16
not appeal to,1.5439038936193583e-16
not appeal,1.5439038936193583e-16
critiques,1.5439038936193583e-16
praised but,1.5439038936193583e-16
illness,1.5439038936193583e-16
gritty,1.5439038936193583e-16
jude,1.5411933881881446e-16
negative,1.5352302762394743e-16
known for their,1.5276408610320757e-16
fans,1.5265566588595902e-16
themes of,1.5265566588595902e-16
final,1.5265566588595902e-16
acting is,1.5265566588595902e-16
devil,1.5265566588595902e-16
mood,1.5265566588595902e-16
the devil,1.5265566588595902e-16
clichéd and,1.5265566588595902e-16
describe,1.5265566588595902e-16
formulaic,1.5265566588595902e-16
simplistic,1.5265566588595902e-16
is complex,1.5265566588595902e-16
disturbing and,1.5265566588595902e-16
critics have praised,1.5265566588595902e-16
is powerful,1.5222198501696482e-16
as shallow,1.5178830414797062e-16
nuanced portrayal of,1.5178830414797062e-16
and some critics,1.5178830414797062e-16
scenes look at,1.5167988393072207e-16
the scenes look,1.5167988393072207e-16
behind the scenes,1.5167988393072207e-16
the scenes,1.5167988393072207e-16
scenes look,1.5167988393072207e-16
legacy,1.5092094240998222e-16
is too,1.5092094240998222e-16
describing it,1.5092094240998222e-16
describing it as,1.5092094240998222e-16
behind,1.5070410197548512e-16
return to,1.5005358067199381e-16
during,1.5005358067199381e-16
nuanced portrayal,1.496198998029996e-16
talented cast including,1.491862189340054e-16
and her,1.491862189340054e-16
engrossing,1.48318857196017e-16
subjects,1.48318857196017e-16
film is an,1.48318857196017e-16
that follows,1.48318857196017e-16
subject matter,1.474514954580286e-16
with some reviewers,1.474514954580286e-16
panned with,1.474514954580286e-16
also panned with,1.474514954580286e-16
empathy and,1.474514954580286e-16
remain,1.474514954580286e-16
of chaplin,1.472346550235315e-16
creator,1.468009741545373e-16
few reviewers criticize,1.465841337200402e-16
film is praised,1.465841337200402e-16
low,1.465841337200402e-16
overly sentimental,1.465841337200402e-16
home,1.46150452851046e-16
easy,1.457167719820518e-16
is suitable for,1.457167719820518e-16
jancso,1.457167719820518e-16
is suitable,1.457167719820518e-16
unengaging,1.457167719820518e-16
school,1.457167719820518e-16
masterpiece,1.4495783046131194e-16
answers,1.448494102440634e-16
conflict,1.448494102440634e-16
bland,1.448494102440634e-16
talking,1.444157293750692e-16
film attempts at,1.43982048506075e-16
road,1.43982048506075e-16
concert,1.43982048506075e-16
the acting is,1.43982048506075e-16
praised and the,1.43982048506075e-16
to some,1.437652080715779e-16
is still,1.4311468676808659e-16
the challenges faced,1.4311468676808659e-16
challenges faced by,1.4311468676808659e-16
moore,1.4311468676808659e-16
villain,1.4311468676808659e-16
experience the film,1.4311468676808659e-16
challenges faced,1.4311468676808659e-16
stories,1.4311468676808659e-16
finding it too,1.4224732503009818e-16
particularly by,1.4224732503009818e-16
at,1.4224732503009818e-16
film is powerful,1.4224732503009818e-16
look,1.4224732503009818e-16
considered masterpiece,1.4213890481284963e-16
is considered masterpiece,1.4213890481284963e-16
go,1.4181364416110398e-16
aged,1.4137996329210978e-16
worthwhile,1.4137996329210978e-16
subject,1.4137996329210978e-16
conservative,1.4094628242311558e-16
is praised and,1.4051260155412137e-16
1966,1.4051260155412137e-16
brothers,1.4051260155412137e-16
child,1.4051260155412137e-16
film may not,1.4051260155412137e-16
some reviewers also,1.4051260155412137e-16
and culture,1.4007892068512717e-16
mess,1.4007892068512717e-16
is documentary,1.3964523981613297e-16
faced by,1.3942839938163587e-16
and artistic,1.3942839938163587e-16
cold,1.3921155894713877e-16
highly regarded,1.3921155894713877e-16
corporate,1.3899471851264167e-16
dangers,1.3877787807814457e-16
which,1.3877787807814457e-16
behavior,1.3877787807814457e-16
with some,1.3877787807814457e-16
dangers of,1.3877787807814457e-16
critics describe the,1.3877787807814457e-16
is praised but,1.3877787807814457e-16
and fascinating,1.3877787807814457e-16
middle,1.3877787807814457e-16
describe the,1.3877787807814457e-16
war ii,1.3834419720915037e-16
star trek,1.3834419720915037e-16
world war ii,1.3834419720915037e-16
editing,1.3834419720915037e-16
often described,1.3801893655740471e-16
often described as,1.3801893655740471e-16
elements and,1.3791051634015616e-16
matter,1.3791051634015616e-16
works like,1.3747683547116196e-16
look at the,1.3747683547116196e-16
film atmosphere,1.3704315460216776e-16
played,1.3704315460216776e-16
tone is described,1.3704315460216776e-16
criticized the,1.3704315460216776e-16
acting particularly by,1.3704315460216776e-16
the film atmosphere,1.3704315460216776e-16
