feature,importance
an,8.826273045769994e-15
an an,7.426351200656711e-15
an an an,7.325628818832808e-15
other,3.1086244689504383e-15
related,2.789435349370706e-15
or,2.4130003550837387e-15
place,2.411265631607762e-15
therefore,1.942890293094024e-15
office,1.8518173106052416e-15
provide,1.6618650899857812e-15
the other,1.6202317265623378e-15
therefore the,1.609823385706477e-15
is important to,1.5729605118419698e-15
his,1.556046957951196e-15
it is important,1.5440123138366069e-15
is important,1.5243882545146192e-15
related to,1.5040052536718918e-15
important,1.4589024432964948e-15
environment,1.4298458250738832e-15
birds,1.3793220038360587e-15
being,1.3556863964758747e-15
the other options,1.3461454173580023e-15
important to,1.3296655443362226e-15
note,1.3201245652183502e-15
is not place,1.2559397966072083e-15
any,1.250735626179278e-15
drug,1.2351231148954867e-15
which,1.231653667943533e-15
mailbox is not,1.2290515827295678e-15
options,1.214306433183765e-15
related to the,1.1986939218999737e-15
mental,1.1874182193061245e-15
and does,1.1830814106161824e-15
place to,1.1830814106161824e-15
each,1.1657341758564144e-15
other options,1.1518563880486e-15
while,1.1379786002407855e-15
not drug,1.132178118617988e-15
the most,1.1310397063368782e-15
typically,1.1281123604711674e-15
treatment,1.1191134824395377e-15
related location,1.103826231807492e-15
drug related location,1.103826231807492e-15
not drug related,1.103826231807492e-15
drug related,1.103826231807492e-15
cabinet is,1.1025251892005095e-15
not place,1.102416768983261e-15
and does not,1.102416768983261e-15
appropriate answer,1.0998146837692957e-15
to note,1.0980799602933189e-15
important to note,1.0980799602933189e-15
to note that,1.0946105133413653e-15
note that,1.0946105133413653e-15
location mailbox,1.0737938316296436e-15
location mailbox is,1.0737938316296436e-15
related location mailbox,1.0720591081536668e-15
illness,1.0477729794899915e-15
appropriate,1.0477729794899915e-15
is not drug,1.0408882956947085e-15
medication,1.0338663925619704e-15
money,1.0304257447302234e-15
cabinet,1.0224026486538307e-15
each other,1.020884765612351e-15
which is the,1.016547956922409e-15
mental illness,1.0087417012805133e-15
mailbox is,1.003537530852583e-15
options are not,9.749145934989656e-16
environment for,9.54097911787244e-16
suggests,9.506284648352903e-16
goal,9.488937413593135e-16
the option,9.419548474554063e-16
which is,9.228728892196614e-16
safety,9.159339953157541e-16
post office,9.124645483638005e-16
the word,9.021646277251882e-16
in japan,8.97990449361119e-16
reasonable,8.968520370800093e-16
other options are,8.881784197001252e-16
would,8.847089727481716e-16
hair,8.814563662307151e-16
an office,8.738669510233166e-16
post,8.673617379884035e-16
suggests that,8.630249292984615e-16
could,8.578207588705311e-16
therefore the answer,8.560860353945543e-16
given,8.547849927875717e-16
grooming,8.524268530624157e-16
crime,8.491471414906471e-16
japan,8.454608541041964e-16
potential,8.448103328007051e-16
office is,8.3396831107585e-16
note that the,8.309325449928906e-16
is which,8.200905232680356e-16
snake,8.187894806610529e-16
set,8.092485015431805e-16
friends,8.082727195879436e-16
question is,7.997075224253081e-16
options are,7.979727989493313e-16
place to find,7.971054372113429e-16
the question is,7.962380754733545e-16
outcome,7.962380754733545e-16
fire,7.901665433074356e-16
medicine cabinet,7.856789627528823e-16
paper,7.794329417998291e-16
up,7.789992609308349e-16
medicine cabinet is,7.735850263319854e-16
most,7.7021722333370235e-16
cabinet is not,7.606220341072056e-16
place for,7.563394355258879e-16
cat,7.563258829987318e-16
is the definition,7.494005416219807e-16
not place to,7.494005416219807e-16
answer is which,7.463647755390213e-16
word,7.426242780439463e-16
while it,7.355227538141662e-16
by their,7.311859451242242e-16
that it,7.282585992585133e-16
the action,7.277164981722706e-16
it which,7.268491364342822e-16
stop,7.244638916548141e-16
action,7.24247051220317e-16
may,7.233796894823286e-16
the definition,7.216449660063518e-16
medicine,7.158309318563982e-16
are typically,7.150245564906121e-16
appropriate answer is,7.147060721024445e-16
to be,7.129713486264677e-16
practical,7.086345399365257e-16
make,7.008282842946301e-16
the definition of,7.008282842946301e-16
magazine,7.001639987057459e-16
area,6.947567521287112e-16
activity,6.912873051767576e-16
context,6.904199434387692e-16
car,6.886852199627924e-16
or any,6.87321496917713e-16
for the,6.869504964868156e-16
set is not,6.85649453879833e-16
bike,6.826136877968736e-16
finish,6.782768791069316e-16
was,6.765421556309548e-16
any other,6.764879455223305e-16
is often,6.74807432154978e-16
unfair,6.745905917204809e-16
to buy magazine,6.700281612466589e-16
buy magazine,6.700281612466589e-16
definition,6.678685382510707e-16
set is,6.661338147750939e-16
is too,6.626643678231403e-16
definition of,6.626643678231403e-16
action that,6.621222667368976e-16
by,6.591949208711867e-16
countryside,6.552917930502389e-16
example,6.546412717467476e-16
you fail,6.539907504432563e-16
fail,6.522560269672795e-16
you are,6.522560269672795e-16
is the most,6.487865800153259e-16
competition,6.446666117598809e-16
music,6.38378239159465e-16
illness is,6.372940369869795e-16
john,6.305719835175694e-16
it which is,6.29704621779581e-16
reasonable answer,6.25367813089639e-16
mental illness is,6.199468022272114e-16
job,6.175615574477433e-16
bring,6.149594722337781e-16
is result of,6.140921104957897e-16
is result,6.140921104957897e-16
to finish,6.140921104957897e-16
making,6.140921104957897e-16
is which is,6.114900252818245e-16
the most appropriate,6.106226635438361e-16
most appropriate,6.071532165918825e-16
is place,6.036837696399289e-16
itself,6.036837696399289e-16
would be,6.028164079019405e-16
most appropriate answer,6.002143226879753e-16
situations,5.999974822534782e-16
books,5.997806418189811e-16
prevent,5.9891328008099265e-16
serious,5.967448757360216e-16
in many,5.958775139980332e-16
fail to,5.950101522600448e-16
effects,5.922454367202068e-16
it was,5.915407053080912e-16
stopping treatment,5.90476620168103e-16
white,5.898059818321144e-16
universe is,5.872038966181492e-16
in the question,5.852523327076753e-16
therefore the only,5.828670879282072e-16
riding bike,5.828670879282072e-16
while it is,5.828670879282072e-16
violin,5.823520918962766e-16
you are not,5.811323644522304e-16
the grooming,5.798259650236009e-16
treatment for,5.765563946861421e-16
not related,5.759281940243e-16
the goal,5.744103109828202e-16
something you,5.707240235963695e-16
for mental,5.681227854153516e-16
consequences,5.680135181651558e-16
do,5.672545766444159e-16
buy magazine mailbox,5.653495135192573e-16
magazine mailbox,5.653495135192573e-16
magazine mailbox is,5.653495135192573e-16
city,5.637851296924623e-16
not provide,5.620504062164855e-16
the universe is,5.611830444784971e-16
be about,5.604579842756474e-16
riding,5.568462357885551e-16
to live,5.56629395354058e-16
note that stopping,5.534897850169987e-16
for mental illness,5.534897850169987e-16
treatment for mental,5.534897850169987e-16
that stopping,5.534897850169987e-16
that stopping treatment,5.534897850169987e-16
illness is not,5.524010068813645e-16
round,5.516149603063125e-16
that the,5.512083844916305e-16
shopping,5.48172618408671e-16
vague,5.48172618408671e-16
health,5.473052566706826e-16
travel,5.445947512394689e-16
the universe,5.43835809718729e-16
something,5.428871328178042e-16
the given,5.421010862427522e-16
reason for,5.421010862427522e-16
which is best,5.414505649392609e-16
vacuum,5.414505649392609e-16
is not necessarily,5.412337245047638e-16
the car,5.403663627667754e-16
specific and,5.37330596683816e-16
knowledge,5.325601071248798e-16
needed,5.321264262558856e-16
for example,5.303917027799088e-16
dreaming,5.288738197384291e-16
is possible that,5.28656979303932e-16
answer is not,5.269222558279552e-16
places,5.26488574958961e-16
is the rationale,5.260548940899668e-16
based on,5.255670031123483e-16
than,5.251875323519783e-16
stopping,5.247538514829841e-16
or are,5.238864897449957e-16
mark,5.212844045310305e-16
does,5.200917821412965e-16
something from,5.198749417067994e-16
based,5.190888951317474e-16
individual,5.186823193170653e-16
not related to,5.186823193170653e-16
answer as,5.186823193170653e-16
most likely place,5.169475958410885e-16
too vague,5.169475958410885e-16
audience,5.141286701926262e-16
matter,5.139118297581291e-16
scenario,5.137525875640453e-16
likely place,5.13694989323632e-16
hot,5.12122896173528e-16
is best,5.110929041096668e-16
providing,5.108760636751697e-16
goal of,5.108218535665454e-16
question is not,5.091413401991929e-16
where the,5.082739784612045e-16
directly,5.074066167232161e-16
money is,5.061055741162335e-16
the presence of,5.0133508455729725e-16
like,4.996003610813204e-16
if,4.996003610813204e-16
to have,4.978656376053436e-16
young people,4.951110864608727e-16
but not,4.9439619065339e-16
read,4.933119884809045e-16
possible that,4.930951480464074e-16
is best described,4.924446267429161e-16
best described,4.924446267429161e-16
house is,4.92227786308419e-16
hair and,4.921193660911705e-16
creating,4.917941054394248e-16
indicate,4.917941054394248e-16
crabs,4.90059381963448e-16
dishes,4.891920202254596e-16
vague and,4.891920202254596e-16
universe,4.85722573273506e-16
city in,4.826054920276102e-16
can result in,4.819278656698067e-16
presence of,4.81385764583564e-16
motivation,4.799085391235525e-16
birds to,4.788444539835643e-16
not vacuum,4.763531050925627e-16
is not vacuum,4.763531050925627e-16
buy,4.761815941556335e-16
wait,4.758563335038879e-16
best fits the,4.756394930693908e-16
only,4.753142324176451e-16
suitable answer as,4.753142324176451e-16
the presence,4.727121472036799e-16
build,4.714111045966973e-16
players,4.705708479130211e-16
is more,4.683753385137379e-16
environment for the,4.666456972354446e-16
on the,4.657732532997727e-16
the goal of,4.653395724307785e-16
for,4.649058915617843e-16
where they,4.649058915617843e-16
attention,4.6485168145316e-16
is too vague,4.631711680858075e-16
is serious crime,4.630085377599347e-16
that it was,4.625748568909405e-16
directly related to,4.618701254788249e-16
required,4.614364446098307e-16
sam,4.59918561568351e-16
directly related,4.575333167888829e-16
being arrested,4.565184654389538e-16
located in,4.562322741819003e-16
the individual,4.562051691275881e-16
vacuum mailbox,4.547094148218554e-16
not vacuum mailbox,4.547094148218554e-16
achieving,4.544975507059235e-16
effectively,4.544975507059235e-16
healthy lifestyle,4.53033877773068e-16
the phrase,4.51461784622964e-16
found therefore,4.494018004952416e-16
too,4.49293380277993e-16
is not healthy,4.479923376710104e-16
suit,4.475586568020162e-16
therapy,4.472717243911338e-16
not specify particular,4.470707658243978e-16
lack of,4.466912950640278e-16
is home,4.458239333260394e-16
result in,4.445228907190568e-16
the snake,4.444686806104325e-16
vacuum mailbox is,4.4388246101903866e-16
live and,4.432218481120742e-16
found therefore the,4.404029224636119e-16
is not physical,4.388850394221322e-16
the action of,4.380176776841438e-16
rain,4.380176776841438e-16
universe is not,4.3717742100046753e-16
too vague and,4.371503159461554e-16
presence,4.3368086899420177e-16
medication and,4.336124843186008e-16
is to,4.3303034769071047e-16
phrase,4.3281350725621337e-16
not healthy,4.3216298595272207e-16
the only,4.3194614551822497e-16
earning,4.318309490373984e-16
however the most,4.3151246464923076e-16
can result,4.3033170072075827e-16
motivated,4.2956090073875686e-16
the baby,4.2880873548159504e-16
hamburger,4.2869353900076845e-16
where people,4.2847669856627135e-16
extinguisher,4.2782617726278005e-16
fire extinguisher,4.2782617726278005e-16
outcome of,4.2760933682828295e-16
larger,4.2717565595928875e-16
continuing to,4.270672357420402e-16
reason,4.2674197509029455e-16
are therefore,4.2587461335230614e-16
town,4.2500725161431774e-16
vague and does,4.2500725161431774e-16
the countryside,4.2500725161431774e-16
serious crime,4.248988313970692e-16
benefits,4.230065597929031e-16
and therapy,4.2243237733378307e-16
medication and therapy,4.2243237733378307e-16
which suggests that,4.2240516640035253e-16
are likely,4.2197148553135833e-16
the outcome of,4.2191727542273405e-16
