Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,llama8b,0.966,"{'student': {'precision': 0.983, 'recall': 0.95, 'f1-score': 0.966, 'support': 120.0}, 'teacher': {'precision': 0.95, 'recall': 0.983, 'f1-score': 0.966, 'support': 117.0}, 'accuracy': 0.9662447257383966, 'macro avg': {'precision': 0.967, 'recall': 0.966, 'f1-score': 0.966, 'support': 237.0}, 'weighted avg': {'precision': 0.967, 'recall': 0.966, 'f1-score': 0.966, 'support': 237.0}}"
gpt2_gemma2_9b,mixtral,0.95,"{'student': {'precision': 0.966, 'recall': 0.933, 'f1-score': 0.949, 'support': 120.0}, 'teacher': {'precision': 0.935, 'recall': 0.966, 'f1-score': 0.95, 'support': 119.0}, 'accuracy': 0.9497907949790795, 'macro avg': {'precision': 0.95, 'recall': 0.95, 'f1-score': 0.95, 'support': 239.0}, 'weighted avg': {'precision': 0.95, 'recall': 0.95, 'f1-score': 0.95, 'support': 239.0}}"
gpt2_gemma2_9b,llama70b,0.938,"{'student': {'precision': 0.973, 'recall': 0.9, 'f1-score': 0.935, 'support': 120.0}, 'teacher': {'precision': 0.907, 'recall': 0.975, 'f1-score': 0.94, 'support': 120.0}, 'accuracy': 0.9375, 'macro avg': {'precision': 0.94, 'recall': 0.938, 'f1-score': 0.937, 'support': 240.0}, 'weighted avg': {'precision': 0.94, 'recall': 0.938, 'f1-score': 0.937, 'support': 240.0}}"
gpt2_gemma2_9b,mistral7b,0.971,"{'student': {'precision': 0.952, 'recall': 0.992, 'f1-score': 0.971, 'support': 120.0}, 'teacher': {'precision': 0.991, 'recall': 0.95, 'f1-score': 0.97, 'support': 120.0}, 'accuracy': 0.9708333333333333, 'macro avg': {'precision': 0.972, 'recall': 0.971, 'f1-score': 0.971, 'support': 240.0}, 'weighted avg': {'precision': 0.972, 'recall': 0.971, 'f1-score': 0.971, 'support': 240.0}}"
gpt2_llama8b,mixtral,0.822,"{'student': {'precision': 0.887, 'recall': 0.735, 'f1-score': 0.804, 'support': 117.0}, 'teacher': {'precision': 0.777, 'recall': 0.908, 'f1-score': 0.837, 'support': 119.0}, 'accuracy': 0.8220338983050848, 'macro avg': {'precision': 0.832, 'recall': 0.821, 'f1-score': 0.82, 'support': 236.0}, 'weighted avg': {'precision': 0.831, 'recall': 0.822, 'f1-score': 0.821, 'support': 236.0}}"
gpt2_llama8b,llama70b,0.89,"{'student': {'precision': 0.91, 'recall': 0.863, 'f1-score': 0.886, 'support': 117.0}, 'teacher': {'precision': 0.873, 'recall': 0.917, 'f1-score': 0.894, 'support': 120.0}, 'accuracy': 0.890295358649789, 'macro avg': {'precision': 0.891, 'recall': 0.89, 'f1-score': 0.89, 'support': 237.0}, 'weighted avg': {'precision': 0.891, 'recall': 0.89, 'f1-score': 0.89, 'support': 237.0}}"
gpt2_llama8b,mistral7b,0.873,"{'student': {'precision': 0.899, 'recall': 0.838, 'f1-score': 0.867, 'support': 117.0}, 'teacher': {'precision': 0.852, 'recall': 0.908, 'f1-score': 0.879, 'support': 120.0}, 'accuracy': 0.8734177215189873, 'macro avg': {'precision': 0.875, 'recall': 0.873, 'f1-score': 0.873, 'support': 237.0}, 'weighted avg': {'precision': 0.875, 'recall': 0.873, 'f1-score': 0.873, 'support': 237.0}}"
gpt2_mixtral,llama70b,0.874,"{'student': {'precision': 0.932, 'recall': 0.807, 'f1-score': 0.865, 'support': 119.0}, 'teacher': {'precision': 0.831, 'recall': 0.942, 'f1-score': 0.883, 'support': 120.0}, 'accuracy': 0.8744769874476988, 'macro avg': {'precision': 0.881, 'recall': 0.874, 'f1-score': 0.874, 'support': 239.0}, 'weighted avg': {'precision': 0.881, 'recall': 0.874, 'f1-score': 0.874, 'support': 239.0}}"
gpt2_mixtral,mistral7b,0.724,"{'student': {'precision': 0.743, 'recall': 0.681, 'f1-score': 0.711, 'support': 119.0}, 'teacher': {'precision': 0.708, 'recall': 0.767, 'f1-score': 0.736, 'support': 120.0}, 'accuracy': 0.7238493723849372, 'macro avg': {'precision': 0.725, 'recall': 0.724, 'f1-score': 0.723, 'support': 239.0}, 'weighted avg': {'precision': 0.725, 'recall': 0.724, 'f1-score': 0.723, 'support': 239.0}}"
gpt2_llama70b,mistral7b,0.917,"{'student': {'precision': 0.903, 'recall': 0.933, 'f1-score': 0.918, 'support': 120.0}, 'teacher': {'precision': 0.931, 'recall': 0.9, 'f1-score': 0.915, 'support': 120.0}, 'accuracy': 0.9166666666666666, 'macro avg': {'precision': 0.917, 'recall': 0.917, 'f1-score': 0.917, 'support': 240.0}, 'weighted avg': {'precision': 0.917, 'recall': 0.917, 'f1-score': 0.917, 'support': 240.0}}"
