Model 1,Model 2,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.996,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.992, 'f1-score': 0.996, 'support': 120.0}, 'gpt2_llama8b': {'precision': 0.992, 'recall': 1.0, 'f1-score': 0.996, 'support': 117.0}, 'accuracy': 0.9957805907172996, 'macro avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 237.0}, 'weighted avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 237.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.996,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.992, 'f1-score': 0.996, 'support': 120.0}, 'gpt2_mixtral': {'precision': 0.992, 'recall': 1.0, 'f1-score': 0.996, 'support': 119.0}, 'accuracy': 0.99581589958159, 'macro avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 239.0}, 'weighted avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 239.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.992,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.983, 'f1-score': 0.992, 'support': 120.0}, 'gpt2_llama70b': {'precision': 0.984, 'recall': 1.0, 'f1-score': 0.992, 'support': 120.0}, 'accuracy': 0.9916666666666667, 'macro avg': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 240.0}, 'weighted avg': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 240.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.996,"{'gpt2_gemma2_9b': {'precision': 0.992, 'recall': 1.0, 'f1-score': 0.996, 'support': 120.0}, 'gpt2_mistral7b': {'precision': 1.0, 'recall': 0.992, 'f1-score': 0.996, 'support': 120.0}, 'accuracy': 0.9958333333333333, 'macro avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 240.0}, 'weighted avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 240.0}}"
gpt2_llama8b,gpt2_mixtral,0.936,"{'gpt2_llama8b': {'precision': 0.947, 'recall': 0.923, 'f1-score': 0.935, 'support': 117.0}, 'gpt2_mixtral': {'precision': 0.926, 'recall': 0.95, 'f1-score': 0.938, 'support': 119.0}, 'accuracy': 0.9364406779661016, 'macro avg': {'precision': 0.937, 'recall': 0.936, 'f1-score': 0.936, 'support': 236.0}, 'weighted avg': {'precision': 0.937, 'recall': 0.936, 'f1-score': 0.936, 'support': 236.0}}"
gpt2_llama8b,gpt2_llama70b,0.945,"{'gpt2_llama70b': {'precision': 0.921, 'recall': 0.975, 'f1-score': 0.947, 'support': 120.0}, 'gpt2_llama8b': {'precision': 0.973, 'recall': 0.915, 'f1-score': 0.943, 'support': 117.0}, 'accuracy': 0.9451476793248945, 'macro avg': {'precision': 0.947, 'recall': 0.945, 'f1-score': 0.945, 'support': 237.0}, 'weighted avg': {'precision': 0.947, 'recall': 0.945, 'f1-score': 0.945, 'support': 237.0}}"
gpt2_llama8b,gpt2_mistral7b,0.949,"{'gpt2_llama8b': {'precision': 0.973, 'recall': 0.923, 'f1-score': 0.947, 'support': 117.0}, 'gpt2_mistral7b': {'precision': 0.929, 'recall': 0.975, 'f1-score': 0.951, 'support': 120.0}, 'accuracy': 0.9493670886075949, 'macro avg': {'precision': 0.951, 'recall': 0.949, 'f1-score': 0.949, 'support': 237.0}, 'weighted avg': {'precision': 0.95, 'recall': 0.949, 'f1-score': 0.949, 'support': 237.0}}"
gpt2_mixtral,gpt2_llama70b,0.895,"{'gpt2_llama70b': {'precision': 0.906, 'recall': 0.883, 'f1-score': 0.895, 'support': 120.0}, 'gpt2_mixtral': {'precision': 0.885, 'recall': 0.908, 'f1-score': 0.896, 'support': 119.0}, 'accuracy': 0.895397489539749, 'macro avg': {'precision': 0.896, 'recall': 0.895, 'f1-score': 0.895, 'support': 239.0}, 'weighted avg': {'precision': 0.896, 'recall': 0.895, 'f1-score': 0.895, 'support': 239.0}}"
gpt2_mixtral,gpt2_mistral7b,0.845,"{'gpt2_mistral7b': {'precision': 0.881, 'recall': 0.8, 'f1-score': 0.838, 'support': 120.0}, 'gpt2_mixtral': {'precision': 0.815, 'recall': 0.891, 'f1-score': 0.851, 'support': 119.0}, 'accuracy': 0.8451882845188284, 'macro avg': {'precision': 0.848, 'recall': 0.845, 'f1-score': 0.845, 'support': 239.0}, 'weighted avg': {'precision': 0.848, 'recall': 0.845, 'f1-score': 0.845, 'support': 239.0}}"
gpt2_llama70b,gpt2_mistral7b,0.962,"{'gpt2_llama70b': {'precision': 0.944, 'recall': 0.983, 'f1-score': 0.963, 'support': 120.0}, 'gpt2_mistral7b': {'precision': 0.983, 'recall': 0.942, 'f1-score': 0.962, 'support': 120.0}, 'accuracy': 0.9625, 'macro avg': {'precision': 0.963, 'recall': 0.962, 'f1-score': 0.962, 'support': 240.0}, 'weighted avg': {'precision': 0.963, 'recall': 0.963, 'f1-score': 0.962, 'support': 240.0}}"
