feature,importance
his,2.005340338229189e-16
the country,1.887379141862766e-16
country,1.8457457784393228e-16
concert,1.6583956430338275e-16
enke,1.582067810090848e-16
haggard,1.321859288694327e-16
first,1.27675647831893e-16
over,1.2004286453759506e-16
place,1.196959198423997e-16
repeal,1.1796119636642288e-16
comes,1.1657341758564144e-16
the first,1.1657341758564144e-16
church,1.124100812432971e-16
mexico,1.1136924715771102e-16
health,1.1032841307212493e-16
occurred,1.0547118733938987e-16
concerns,9.71445146547012e-17
israel,9.566999970012091e-17
against,9.43689570931383e-17
in israel,9.228728892196614e-17
500,9.228728892196614e-17
the concert,9.137655909707831e-17
exemption,9.020562075079397e-17
haggard stated,8.81239525796218e-17
haggard stated that,8.81239525796218e-17
broader,8.743006318923108e-17
goalkeeper,8.743006318923108e-17
this,8.370040771588094e-17
loss,8.326672684688674e-17
players,8.049116928532385e-17
in second,8.049116928532385e-17
the repeal,8.049116928532385e-17
the indian,7.91033905045424e-17
zimbabwe,7.840950111415169e-17
tsvangirai,7.771561172376095e-17
place in,7.754213937616328e-17
civil war in,7.563394355258879e-17
civil war,7.563394355258879e-17
war in the,7.563394355258879e-17
civil,7.563394355258879e-17
in the first,7.494005416219807e-17
conflict,7.355227538141662e-17
latin patriarch,7.28583859910259e-17
the latin patriarch,7.28583859910259e-17
the latin,7.28583859910259e-17
patriarch,7.28583859910259e-17
000,6.938893903907228e-17
explosions,6.938893903907228e-17
explosions occurred,6.938893903907228e-17
morelia,6.800116025829084e-17
independence day,6.800116025829084e-17
same sex,6.800116025829084e-17
of the,6.661338147750939e-17
pakistan,6.661338147750939e-17
with over,6.661338147750939e-17
and other,6.522560269672795e-17
hope,6.522560269672795e-17
over 500,6.38378239159465e-17
estimated,6.38378239159465e-17
people,6.38378239159465e-17
will be,6.245004513516506e-17
same,6.245004513516506e-17
continued,6.245004513516506e-17
garden,6.175615574477434e-17
tour,6.106226635438361e-17
any,6.106226635438361e-17
as the,6.106226635438361e-17
recovery,6.106226635438361e-17
him and,6.106226635438361e-17
jerusalem also,6.062858548538941e-17
latin patriarch in,6.062858548538941e-17
in jerusalem also,6.062858548538941e-17
patriarch in jerusalem,6.062858548538941e-17
patriarch in,6.062858548538941e-17
jerusalem,6.062858548538941e-17
in jerusalem,6.062858548538941e-17
the health,5.967448757360216e-17
submerged,5.967448757360216e-17
security concerns,5.967448757360216e-17
party,5.967448757360216e-17
will,5.967448757360216e-17
hope for,5.898059818321144e-17
hope for peace,5.898059818321144e-17
for peace,5.898059818321144e-17
attended,5.863365348801607e-17
allowed,5.828670879282072e-17
allowed to,5.828670879282072e-17
the constitution,5.828670879282072e-17
following the,5.828670879282072e-17
27,5.828670879282072e-17
house,5.778797579347739e-17
madrid,5.759281940243e-17
one of,5.724587470723463e-17
to monitor the,5.689893001203927e-17
suspects or groups,5.689893001203927e-17
following,5.689893001203927e-17
international observers,5.689893001203927e-17
which has,5.689893001203927e-17
individuals,5.689893001203927e-17
the zimbabwe,5.689893001203927e-17
to monitor,5.689893001203927e-17
and officials have,5.689893001203927e-17
groups responsible,5.689893001203927e-17
runoff,5.689893001203927e-17
groups responsible the,5.689893001203927e-17
monitor the,5.689893001203927e-17
observers,5.689893001203927e-17
responsible the,5.689893001203927e-17
or groups,5.689893001203927e-17
