Model 1,Model 2,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.996,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.992, 'f1-score': 0.996, 'support': 120.0}, 'gpt2_llama8b': {'precision': 0.992, 'recall': 1.0, 'f1-score': 0.996, 'support': 117.0}, 'accuracy': 0.9957805907172996, 'macro avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 237.0}, 'weighted avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 237.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.996,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.992, 'f1-score': 0.996, 'support': 120.0}, 'gpt2_mixtral': {'precision': 0.992, 'recall': 1.0, 'f1-score': 0.996, 'support': 119.0}, 'accuracy': 0.99581589958159, 'macro avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 239.0}, 'weighted avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 239.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.992,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.983, 'f1-score': 0.992, 'support': 120.0}, 'gpt2_llama70b': {'precision': 0.984, 'recall': 1.0, 'f1-score': 0.992, 'support': 120.0}, 'accuracy': 0.9916666666666667, 'macro avg': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 240.0}, 'weighted avg': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 240.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.992,"{'gpt2_gemma2_9b': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 120.0}, 'gpt2_mistral7b': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 120.0}, 'accuracy': 0.9916666666666667, 'macro avg': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 240.0}, 'weighted avg': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 240.0}}"
gpt2_llama8b,gpt2_mixtral,0.949,"{'gpt2_llama8b': {'precision': 0.949, 'recall': 0.949, 'f1-score': 0.949, 'support': 117.0}, 'gpt2_mixtral': {'precision': 0.95, 'recall': 0.95, 'f1-score': 0.95, 'support': 119.0}, 'accuracy': 0.9491525423728814, 'macro avg': {'precision': 0.949, 'recall': 0.949, 'f1-score': 0.949, 'support': 236.0}, 'weighted avg': {'precision': 0.949, 'recall': 0.949, 'f1-score': 0.949, 'support': 236.0}}"
gpt2_llama8b,gpt2_llama70b,0.941,"{'gpt2_llama70b': {'precision': 0.921, 'recall': 0.967, 'f1-score': 0.943, 'support': 120.0}, 'gpt2_llama8b': {'precision': 0.964, 'recall': 0.915, 'f1-score': 0.939, 'support': 117.0}, 'accuracy': 0.9409282700421941, 'macro avg': {'precision': 0.942, 'recall': 0.941, 'f1-score': 0.941, 'support': 237.0}, 'weighted avg': {'precision': 0.942, 'recall': 0.941, 'f1-score': 0.941, 'support': 237.0}}"
gpt2_llama8b,gpt2_mistral7b,0.962,"{'gpt2_llama8b': {'precision': 0.982, 'recall': 0.94, 'f1-score': 0.961, 'support': 117.0}, 'gpt2_mistral7b': {'precision': 0.944, 'recall': 0.983, 'f1-score': 0.963, 'support': 120.0}, 'accuracy': 0.9620253164556962, 'macro avg': {'precision': 0.963, 'recall': 0.962, 'f1-score': 0.962, 'support': 237.0}, 'weighted avg': {'precision': 0.963, 'recall': 0.962, 'f1-score': 0.962, 'support': 237.0}}"
gpt2_mixtral,gpt2_llama70b,0.895,"{'gpt2_llama70b': {'precision': 0.906, 'recall': 0.883, 'f1-score': 0.895, 'support': 120.0}, 'gpt2_mixtral': {'precision': 0.885, 'recall': 0.908, 'f1-score': 0.896, 'support': 119.0}, 'accuracy': 0.895397489539749, 'macro avg': {'precision': 0.896, 'recall': 0.895, 'f1-score': 0.895, 'support': 239.0}, 'weighted avg': {'precision': 0.896, 'recall': 0.895, 'f1-score': 0.895, 'support': 239.0}}"
gpt2_mixtral,gpt2_mistral7b,0.858,"{'gpt2_mistral7b': {'precision': 0.891, 'recall': 0.817, 'f1-score': 0.852, 'support': 120.0}, 'gpt2_mixtral': {'precision': 0.829, 'recall': 0.899, 'f1-score': 0.863, 'support': 119.0}, 'accuracy': 0.8577405857740585, 'macro avg': {'precision': 0.86, 'recall': 0.858, 'f1-score': 0.858, 'support': 239.0}, 'weighted avg': {'precision': 0.86, 'recall': 0.858, 'f1-score': 0.858, 'support': 239.0}}"
gpt2_llama70b,gpt2_mistral7b,0.958,"{'gpt2_llama70b': {'precision': 0.937, 'recall': 0.983, 'f1-score': 0.959, 'support': 120.0}, 'gpt2_mistral7b': {'precision': 0.982, 'recall': 0.933, 'f1-score': 0.957, 'support': 120.0}, 'accuracy': 0.9583333333333334, 'macro avg': {'precision': 0.959, 'recall': 0.958, 'f1-score': 0.958, 'support': 240.0}, 'weighted avg': {'precision': 0.959, 'recall': 0.958, 'f1-score': 0.958, 'support': 240.0}}"
