Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.434,0.315,0.163,0.3
gpt2_gemma2_9b,mixtral,0.557,0.427,0.236,0.402
gpt2_gemma2_9b,llama70b,0.556,0.425,0.237,0.399
gpt2_llama8b,gemma2_9b,0.451,0.203,0.061,0.19
gpt2_llama8b,mixtral,0.445,0.248,0.069,0.231
gpt2_llama8b,llama70b,0.441,0.278,0.089,0.261
gpt2_mixtral,gemma2_9b,0.519,0.267,0.095,0.244
gpt2_mixtral,llama8b,0.462,0.279,0.091,0.255
gpt2_mixtral,llama70b,0.515,0.357,0.137,0.318
gpt2_llama70b,gemma2_9b,0.447,0.32,0.143,0.301
gpt2_llama70b,llama8b,0.406,0.331,0.129,0.301
gpt2_llama70b,mixtral,0.491,0.401,0.17,0.357
