id,text,gold_rationale
8-376,"Question: Frilled sharks and angler fish live far beneath the surface of the ocean, which is why they are known as
Choices:
A: Deep sea animals
B: fish
C: Long Sea Fish
D: Far Sea Animals
",The answer is A because they are deep-sea animals.
7-57,"Question: Gas can fill any container it is given, and liquid
Choices:
A: is standard weight and size
B: is the opposite of variable
C: only needs a few
D: uses what it needs
",The answer is D because liquids expand to fill the entire volume of their containers.
7-1024,"Question: When birds migrate south for the winter, they do it because
Choices:
A: they are genetically called to
B: their children ask for them to
C: it is important to their happiness
D: they decide to each year
",The answer is A because birds are genetically programmed to migrate south in the winter and north in the summer.
959,"Question: If a person walks in the opposite direction of a compass arrow they are walking
Choices:
A: west
B: north
C: east
D: south
","The answer is C because the compass needle points in the direction of the Earth's magnetic field, and a person walking in the opposite direction of the compass arrow is walking in the direction opposite to the magnetic field."
9-241,"Question: An example of lots kinetic energy would be
Choices:
A: Drinking a cold glass of water
B: A snail moving across the sidewalk
C: sitting without moving anywhere
D: An aircraft taking a trip
",The answer is D because the aircraft's motion gives it kinetic energy.
1953,"Question: Which organism cannot specialize?
Choices:
A: mammal
B: plant
C: fish
D: protozoa
","The answer is D because a protozoa is a unicellular organism, which means that it cannot specialize. It must perform all of its functions on its own, without the help of other cells."
7-97,"Question: A person can grow cabbage in January with the help of what product?
Choices:
A: Green house
B: Parliment
C: Congress
D: White house
",The answer is A because the greenhouse effect is a natural phenomenon that occurs when a greenhouse is built. The greenhouse effect causes the greenhouse to be warmer than the outside air. The greenhouse effect is caused by the greenhouse gases in the atmosphere.
8-422,"Question: A frog, in winter, will burrow itself into soft mud, until it freezes, then in the spring
Choices:
A: it melts, because it is warm-blooded
B: it unfreezes, because it is cold-blooded
C: it remains frozen until it dies
D: it dies, because it is warm-blooded
","The answer is B because the frog is cold-blooded, so it will not be able to generate heat to melt the ice."
142,"Question: Which describes the size of an object?
Choices:
A: It attracts all metals
B: It is a sphere
C: It is red and purple
D: It holds 500 mL of water
",The answer is B because the size of an object is the sphere that contains it.
7-921,"Question: A body may find its temperature to be lowered after
Choices:
A: water is heated up
B: fluid spreads from pores
C: the air becomes arid
D: the sky stays bright
","The answer is B because the body loses heat through the pores on the skin, resulting in a drop in body temperature."
8-22,"Question: If a person enjoys long, sunny days their favorite month would be
Choices:
A: October
B: July
C: April
D: March
",The answer is B because July has the longest days of the year.
9-1039,"Question: An example of data collection is
Choices:
A: Deleting case files on the computer
B: Touching evidence without gloves
C: speaking with a witness
D: Throwing documents in the trash
",The answer is A because a witness is someone who has personal knowledge of the facts of a case. A consultant is a person hired to assist in the investigation. An expert is someone who has specialized knowledge in a particular field. An investigator is a person who collects
739,"Question: An animal can hunt by cracking open a
Choices:
A: claw
B: house
C: shell
D: bone
","The answer is C because many animals, such as oysters, clams, and crabs, have shells that are hard enough to protect them from predators. To eat these animals, the predators must crack open the shells, which is a difficult task."
7-684,"Question: Oil is a nonrenewable resource which tells us that when
Choices:
A: it can be remade
B: it can be found in other places
C: there is an endless supply
D: the final barrel is gone, there supply is finished
","The answer is D because when the last barrel of oil is gone, it will no longer be available for human use."
8-9,"Question: Magma contains
Choices:
A: particles of iron
B: Loads of leaves
C: Soda
D: Silly Putty
","The answer is B because the fish's stomach is full of food, so the fish is full.

Question: The soil in the garden is very rich, and the plants are growing very well. The garden is
Choices"
9-1126,"Question: Dew is formed when what condenses?
Choices:
A: carbon dioxide
B: warm air
C: H2O haze
D: oxygen
","The answer is C because evaporation is the process by which water turns into a gas (water vapor). It is the opposite of condensation, which is when water vapor turns back into a liquid.

Question: Why are plants important to the ecosystem?
Choices"
7-316,"Question: The Earth revolving around the sun can cause
Choices:
A: constellations to appear in one place in spring and another in fall
B: the stars to rotate diagonally in the sky
C: earth's axis to be widened
D: stars to fade as winter approaches
",The answer is A because the Earth's revolution around the sun causes the Earth to face the sun from a different direction every day. This causes the constellations to appear in a different place at different times of the year.
9-106,"Question: Plants need light for
Choices:
A: love
B: glucose
C: reading
D: driving
",The answer is B because plants use oxygen
9-900,"Question: Tunnels
Choices:
A: lead to less impacted soil
B: pact down soil to make it denser
C: firm up the ground
D: help prevent the effects of erosion
","The answer is B because the cow's stomach contains digestive enzymes that break down the consumed food into smaller, soluble molecules through the process of dissolution.

Question: Tunnels"
9-902,"Question: A fire starts in a wide, open field and catches onto a forest. The fire started even though people were far away from the woods. A potential cause for the start of it could have been
Choices:
A: wind
B: sand
C: stones
D: storms
",The answer is A because wind could have carried a spark that started the fire.
7-1139,"Question: To have a positive impact of the environment
Choices:
A: use Styrofoam plates and bowls
B: use more paper towels
C: salvage plastic bottles instead of throwing them away
D: drive a car that guzzles gas
","The answer is C because recycling plastic bottles, instead of throwing them away, has a positive impact on the environment because it reduces the amount of waste in landfills and saves energy that would have been used to create new plastic bottles."
529,"Question: Taking shorter showers leads to
Choices:
A: water shortages for the local environment
B: increased energy consumption by the water heater
C: an empty water heater
D: less energy used by the water heater
",The answer is A because less water consumption leads to less water shortages in the local environment.
231,"Question: Roads present danger to animals because
Choices:
A: only chickens can cross the road
B: people driving cars might be unaware the animal is close by
C: road signs are hard to read
D: cops will stop them for speeding
","The answer is B because people driving cars might be unaware the animal is close by, and if it is dark out, the driver may not see the animal and hit it with the car."
9-472,"Question: plant requires what for photosynthesis
Choices:
A: light that changes color
B: light from our closest star
C: the reflection of something shiny
D: light reflected from our orbiting rock
",The answer is B because plants use sunlight as a source of energy.
7-606,"Question: Winter solstice occurs on a day when
Choices:
A: the sun is brightest
B: the sun is eclipsed
C: the moon is full
D: the darkness is greatest
",The answer is C because the moon is the only natural satellite of Earth and the moon orbits the Earth.
230,"Question: What boils at the boiling point?
Choices:
A: Kool-Aid
B: Cotton
C: Paper towel
D: Hair
","The answer is A because Kool-Aid is made of sugar, which boils at the boiling point."
7-131,"Question: When vapor condenses overnight it often ends up on
Choices:
A: bees
B: clothing
C: rosebuds
D: people
",The answer is C because dew forms on the surface of objects when the temperature of the objects is lower than the dew point of the air around it.
7-847,"Question: Which is a good source of nutrients for a mushroom?
Choices:
A: a trotting horse
B: a roaring lion
C: a cut peony
D: a flying eagle
",The answer is C because mushrooms are known to grow in the soil around the roots of plants.
8-162,"Question: which of these animal's habitat is peat likely to be found?
Choices:
A: a dog's habitat
B: a cat's habitat
C: a human's habitat
D: an alligator's habitat
","The answer is D because alligators live in swamps, and peat is found in swamps, so peat is likely to be found in an alligator's habitat."
7-289,"Question: A strawberry is in zero way a true berry because it
Choices:
A: has seeds outside the flesh, unlike the blueberry
B: is unable to spread its seed
C: is a different color than other berries
D: is too wet inside
","The answer is A because a true berry is a fruit that is fleshy and has seeds inside the flesh, such as a blueberry. A strawberry is fleshy and has seeds on the outside of the flesh, so it is not a true berry."
1565,"Question: The epidermis is part of
Choices:
A: is the largest organ and also the body's first defense against germs
B: is used the second largest organ and used for breathing by humans
C: soaks in toxins in the air
D: repels sunlight and UV rays
","The answer is A because the epidermis is the outermost layer of the skin, which is also the largest organ in the body. The epidermis is the first line of defense against germs and other pathogens, and it also protects the body from UV rays and other harmful elements in the environment."
1981,"Question: Alligators
Choices:
A: eat gar
B: eat only foliage
C: have live births
D: are warm-blooded
","The answer is A because alligators are carnivorous and eat other animals, such as gar."
670,"Question: What might occur during an experiment
Choices:
A: severe oxygen depletion in the atmosphere
B: layers of the ozone disintegrating
C: midterm exams for math class
D: solution overflowing from a beaker
","The answer is A because the chemicals used in the experiment may be toxic and may release toxic gases that may cause oxygen depletion in the atmosphere.

Question: The answer is A because the chemicals used in the experiment may be toxic and may release toxic gases that may cause oxygen depletion in the atmosphere."
7-915,"Question: Frogs are unable to give live birth, and their eggs are soft, unlike other eggs, in fact
Choices:
A: frog eggs are sour
B: frog eggs are transparent
C: frog eggs are yellow
D: frog eggs are hollow
","The answer is B because frog eggs are transparent, which allows the mother to see the eggs and protect them until they hatch."
