Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.842,"{'student': {'precision': 0.722, 'recall': 0.481, 'f1-score': 0.578, 'support': 54.0}, 'teacher': {'precision': 0.863, 'recall': 0.947, 'f1-score': 0.903, 'support': 187.0}, 'accuracy': 0.8423236514522822, 'macro avg': {'precision': 0.793, 'recall': 0.714, 'f1-score': 0.74, 'support': 241.0}, 'weighted avg': {'precision': 0.832, 'recall': 0.842, 'f1-score': 0.83, 'support': 241.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.851,"{'student': {'precision': 0.8, 'recall': 0.444, 'f1-score': 0.571, 'support': 54.0}, 'teacher': {'precision': 0.858, 'recall': 0.968, 'f1-score': 0.91, 'support': 187.0}, 'accuracy': 0.8506224066390041, 'macro avg': {'precision': 0.829, 'recall': 0.706, 'f1-score': 0.74, 'support': 241.0}, 'weighted avg': {'precision': 0.845, 'recall': 0.851, 'f1-score': 0.834, 'support': 241.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.863,"{'student': {'precision': 0.862, 'recall': 0.463, 'f1-score': 0.602, 'support': 54.0}, 'teacher': {'precision': 0.863, 'recall': 0.979, 'f1-score': 0.917, 'support': 187.0}, 'accuracy': 0.8630705394190872, 'macro avg': {'precision': 0.863, 'recall': 0.721, 'f1-score': 0.76, 'support': 241.0}, 'weighted avg': {'precision': 0.863, 'recall': 0.863, 'f1-score': 0.847, 'support': 241.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.875,"{'student': {'precision': 0.871, 'recall': 0.491, 'f1-score': 0.628, 'support': 55.0}, 'teacher': {'precision': 0.875, 'recall': 0.98, 'f1-score': 0.925, 'support': 200.0}, 'accuracy': 0.8745098039215686, 'macro avg': {'precision': 0.873, 'recall': 0.735, 'f1-score': 0.776, 'support': 255.0}, 'weighted avg': {'precision': 0.874, 'recall': 0.875, 'f1-score': 0.861, 'support': 255.0}}"
gpt2_llama8b,gpt2_mixtral,0.464,"{'student': {'precision': 0.464, 'recall': 0.484, 'f1-score': 0.474, 'support': 186.0}, 'teacher': {'precision': 0.464, 'recall': 0.444, 'f1-score': 0.454, 'support': 187.0}, 'accuracy': 0.46380697050938335, 'macro avg': {'precision': 0.464, 'recall': 0.464, 'f1-score': 0.464, 'support': 373.0}, 'weighted avg': {'precision': 0.464, 'recall': 0.464, 'f1-score': 0.464, 'support': 373.0}}"
gpt2_llama8b,gpt2_llama70b,0.504,"{'student': {'precision': 0.505, 'recall': 0.508, 'f1-score': 0.507, 'support': 187.0}, 'teacher': {'precision': 0.503, 'recall': 0.5, 'f1-score': 0.501, 'support': 186.0}, 'accuracy': 0.5040214477211796, 'macro avg': {'precision': 0.504, 'recall': 0.504, 'f1-score': 0.504, 'support': 373.0}, 'weighted avg': {'precision': 0.504, 'recall': 0.504, 'f1-score': 0.504, 'support': 373.0}}"
gpt2_llama8b,gpt2_mistral7b,0.514,"{'student': {'precision': 0.497, 'recall': 0.476, 'f1-score': 0.486, 'support': 187.0}, 'teacher': {'precision': 0.529, 'recall': 0.55, 'f1-score': 0.539, 'support': 200.0}, 'accuracy': 0.5142118863049095, 'macro avg': {'precision': 0.513, 'recall': 0.513, 'f1-score': 0.513, 'support': 387.0}, 'weighted avg': {'precision': 0.514, 'recall': 0.514, 'f1-score': 0.514, 'support': 387.0}}"
gpt2_mixtral,gpt2_llama70b,0.547,"{'student': {'precision': 0.541, 'recall': 0.636, 'f1-score': 0.585, 'support': 187.0}, 'teacher': {'precision': 0.556, 'recall': 0.457, 'f1-score': 0.501, 'support': 186.0}, 'accuracy': 0.546916890080429, 'macro avg': {'precision': 0.548, 'recall': 0.547, 'f1-score': 0.543, 'support': 373.0}, 'weighted avg': {'precision': 0.548, 'recall': 0.547, 'f1-score': 0.543, 'support': 373.0}}"
gpt2_mixtral,gpt2_mistral7b,0.481,"{'student': {'precision': 0.464, 'recall': 0.481, 'f1-score': 0.472, 'support': 187.0}, 'teacher': {'precision': 0.497, 'recall': 0.48, 'f1-score': 0.489, 'support': 200.0}, 'accuracy': 0.4806201550387597, 'macro avg': {'precision': 0.481, 'recall': 0.481, 'f1-score': 0.48, 'support': 387.0}, 'weighted avg': {'precision': 0.481, 'recall': 0.481, 'f1-score': 0.481, 'support': 387.0}}"
gpt2_llama70b,gpt2_mistral7b,0.587,"{'student': {'precision': 0.575, 'recall': 0.556, 'f1-score': 0.565, 'support': 187.0}, 'teacher': {'precision': 0.597, 'recall': 0.615, 'f1-score': 0.606, 'support': 200.0}, 'accuracy': 0.58656330749354, 'macro avg': {'precision': 0.586, 'recall': 0.586, 'f1-score': 0.586, 'support': 387.0}, 'weighted avg': {'precision': 0.586, 'recall': 0.587, 'f1-score': 0.586, 'support': 387.0}}"
