Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gemma2_9b,0.557,0.427,0.236,0.402
gpt2_gemma2_9b,llama8b,0.467,0.346,0.18,0.324
gpt2_gemma2_9b,mixtral,0.572,0.518,0.329,0.499
gpt2_gemma2_9b,llama70b,0.519,0.384,0.22,0.36
gpt2_llama8b,gemma2_9b,0.445,0.248,0.069,0.231
gpt2_llama8b,llama8b,0.54,0.36,0.141,0.334
gpt2_llama8b,mixtral,0.451,0.203,0.061,0.19
gpt2_llama8b,llama70b,0.442,0.265,0.08,0.241
gpt2_mixtral,gemma2_9b,0.515,0.342,0.129,0.313
gpt2_mixtral,llama8b,0.468,0.292,0.098,0.264
gpt2_mixtral,mixtral,0.519,0.27,0.097,0.247
gpt2_mixtral,llama70b,0.517,0.352,0.135,0.316
gpt2_llama70b,gemma2_9b,0.491,0.401,0.17,0.357
gpt2_llama70b,llama8b,0.393,0.335,0.122,0.305
gpt2_llama70b,mixtral,0.447,0.32,0.143,0.301
gpt2_llama70b,llama70b,0.496,0.421,0.195,0.375
