feature,importance
the,9.228728892196614e-16
and,6.227657278756737e-16
film,6.192962809237201e-16
the film,4.544975507059235e-16
of,4.510281037539698e-16
is,3.469446951953614e-16
movie,2.712673835558732e-16
the movie,2.500305735023134e-16
its,2.3592239273284576e-16
story,2.0990154059319366e-16
use of,1.7780915628762273e-16
use,1.7780915628762273e-16
on,1.7607443281164592e-16
tone,1.5872719805187785e-16
also,1.457167719820518e-16
novel,1.43982048506075e-16
while,1.4224732503009818e-16
for,1.4224732503009818e-16
follows,1.3357370765021415e-16
film that,1.3183898417423734e-16
standout,1.2750217548429532e-16
moments,1.2533377113932431e-16
familiar,1.205632815803881e-16
many,1.1622647289044608e-16
kurosawa,1.1188966420050406e-16
in,1.1132045805994917e-16
by,1.1102230246251565e-16
being,1.0928757898653885e-16
understated,1.0842021724855044e-16
the story,1.0625181290357943e-16
is also,1.0603497246908233e-16
considered,1.0581813203458523e-16
to the,1.0581813203458523e-16
has,1.0234868508263162e-16
despite,1.0061396160665481e-16
unique,9.627715291671279e-17
director,9.540979117872439e-17
it,9.367506770274758e-17
the film is,9.237402509576498e-17
pacing,9.150666335777657e-17
directed,8.933825901280557e-17
based,8.651933336434325e-17
editing,8.630249292984615e-17
original,8.500145032286355e-17
film use,8.500145032286355e-17
film use of,8.500145032286355e-17
the film use,8.500145032286355e-17
from,8.500145032286355e-17
tone and,8.332093695551102e-17
films,8.326672684688674e-17
performance,8.326672684688674e-17
the original,8.283304597789254e-17
atmosphere,8.239936510889834e-17
visually,8.185726402265558e-17
not,8.066464163292153e-17
based on,7.892991815694472e-17
strong,7.806255641895632e-17
the novel,7.806255641895632e-17
directed by,7.632783294297951e-17
that may,7.45931094670027e-17
female,7.45931094670027e-17
faithfulness to the,7.45931094670027e-17
fairy,7.45931094670027e-17
faithfulness,7.45931094670027e-17
faithfulness to,7.45931094670027e-17
and faithfulness,7.45931094670027e-17
and faithfulness to,7.45931094670027e-17
akira,7.37257477290143e-17
thriller,7.37257477290143e-17
mifune,7.37257477290143e-17
akira kurosawa,7.37257477290143e-17
christmas,7.32920668600201e-17
for the,7.28583859910259e-17
praised,7.28583859910259e-17
women,7.28583859910259e-17
james,7.19910242530375e-17
noted,7.19910242530375e-17
who,7.025630077706069e-17
on the,6.938893903907228e-17
approach,6.938893903907228e-17
make it,6.895525817007808e-17
slasher,6.895525817007808e-17
stunning,6.852157730108388e-17
visually stunning,6.852157730108388e-17
potential,6.765421556309548e-17
has its,6.765421556309548e-17
one,6.765421556309548e-17
generally,6.678685382510707e-17
be,6.591949208711867e-17
making it,6.591949208711867e-17
praise the,6.591949208711867e-17
cagney,6.548581121812447e-17
the film charm,6.532318089225164e-17
film charm,6.532318089225164e-17
follows the,6.505213034913027e-17
known,6.505213034913027e-17
follows the story,6.418476861114186e-17
engaging,6.418476861114186e-17
movie has,6.331740687315346e-17
cinematography,6.331740687315346e-17
the movie has,6.331740687315346e-17
suspenseful,6.288372600415926e-17
fans of,6.245004513516506e-17
portrayal of,6.245004513516506e-17
portrayal,6.245004513516506e-17
flawed,6.245004513516506e-17
that,6.245004513516506e-17
that may appeal,6.158268339717665e-17
leads,6.158268339717665e-17
visual,6.158268339717665e-17
may appeal,6.158268339717665e-17
may appeal to,6.158268339717665e-17
to the original,6.136584296267955e-17
but not,6.071532165918825e-17
world,6.006480035569695e-17
to fans of,5.984795992119984e-17
to fans,5.984795992119984e-17
appeal to fans,5.984795992119984e-17
memorable,5.898059818321144e-17
influence,5.898059818321144e-17
effective,5.898059818321144e-17
based on the,5.854691731421724e-17
heat,5.854691731421724e-17
charming,5.767955557622884e-17
real,5.767955557622884e-17
johnson,5.724587470723463e-17
collection of reviews,5.724587470723463e-17
like,5.724587470723463e-17
often,5.724587470723463e-17
of reviews,5.724587470723463e-17
suspense,5.724587470723463e-17
it memorable and,5.681219383824043e-17
it memorable,5.681219383824043e-17
it standout,5.681219383824043e-17
others criticize,5.681219383824043e-17
memorable and,5.681219383824043e-17
attempts,5.637851296924623e-17
charm,5.551115123125783e-17
and its,5.551115123125783e-17
others,5.551115123125783e-17
of the,5.551115123125783e-17
overly,5.551115123125783e-17
standout performance,5.4643789493269423e-17
themes,5.377642775528102e-17
an,5.377642775528102e-17
however many,5.355958732078392e-17
older,5.2909066017292616e-17
story of,5.2909066017292616e-17
features,5.2909066017292616e-17
the leads,5.2909066017292616e-17
the story of,5.2909066017292616e-17
predictable,5.2258544713801314e-17
of comedy and,5.204170427930421e-17
and suspenseful,5.204170427930421e-17
seen,5.204170427930421e-17
to,5.204170427930421e-17
of comedy,5.182486384480711e-17
psychological,5.160802341031001e-17
charm and,5.160802341031001e-17
understated and,5.0523821237824507e-17
wilderness of james,5.0523821237824507e-17
the wilderness,5.0523821237824507e-17
the wilderness of,5.0523821237824507e-17
all the wilderness,5.0523821237824507e-17
wilderness,5.0523821237824507e-17
wilderness of,5.0523821237824507e-17
james is,5.0523821237824507e-17
of james is,5.0523821237824507e-17
all the,5.0523821237824507e-17
performance the,5.0306980803327406e-17
while some,5.0090140368830305e-17
by the,4.96564594998361e-17
make,4.960224939121183e-17
movie follows,4.9439619065339e-17
delivering,4.9439619065339e-17
can be,4.9439619065339e-17
the movie follows,4.9439619065339e-17
moments the,4.9439619065339e-17
successful,4.9439619065339e-17
also noted,4.90059381963448e-17
mixed,4.865357249028701e-17
the text is,4.85722573273506e-17
reviews for the,4.85722573273506e-17
are,4.85722573273506e-17
traditional fairy,4.8138576458356397e-17
traditional fairy tales,4.8138576458356397e-17
fairy tales,4.8138576458356397e-17
the performances,4.8138576458356397e-17
with many reviewers,4.8138576458356397e-17
flawed film that,4.8138576458356397e-17
flawed film,4.8138576458356397e-17
tales,4.8138576458356397e-17
of traditional fairy,4.8138576458356397e-17
of traditional,4.8138576458356397e-17
wayne,4.7704895589362195e-17
pacing is,4.7704895589362195e-17
reviewers appreciate the,4.7704895589362195e-17
reviewers appreciate,4.7704895589362195e-17
points,4.7488055154865094e-17
between the leads,4.705437428587089e-17
scale,4.700016417724662e-17
sense,4.683753385137379e-17
invasion,4.683753385137379e-17
visually stunning but,4.683753385137379e-17
stunning but,4.683753385137379e-17
alien invasion,4.683753385137379e-17
water,4.683753385137379e-17
