Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,llama8b,0.535,0.346,0.13,0.319
gpt2_gemma2_9b,mixtral,0.513,0.31,0.107,0.285
gpt2_gemma2_9b,llama70b,0.535,0.349,0.129,0.319
gpt2_llama8b,gemma2_9b,0.581,0.541,0.351,0.524
gpt2_llama8b,mixtral,0.57,0.443,0.257,0.413
gpt2_llama8b,llama70b,0.544,0.401,0.226,0.372
gpt2_mixtral,gemma2_9b,0.432,0.309,0.137,0.289
gpt2_mixtral,llama8b,0.509,0.421,0.186,0.379
gpt2_mixtral,llama70b,0.526,0.442,0.203,0.396
gpt2_llama70b,gemma2_9b,0.501,0.272,0.103,0.254
gpt2_llama70b,llama8b,0.533,0.368,0.144,0.332
gpt2_llama70b,mixtral,0.521,0.343,0.131,0.312
