id,text,rationale
8-376,"Question: Frilled sharks and angler fish live far beneath the surface of the ocean, which is why they are known as
Choices:
A: Deep sea animals
B: fish
C: Long Sea Fish
D: Far Sea Animals
","The answer is A because deep sea animals such as frilled sharks and angler fish live far beneath the surface of the ocean, which is why they are known as deep sea animals.</s>"
7-57,"Question: Gas can fill any container it is given, and liquid
Choices:
A: is standard weight and size
B: is the opposite of variable
C: only needs a few
D: uses what it needs
","The answer is B because gas can fill any container it is given, and liquid is the opposite of variable.</s>"
7-1024,"Question: When birds migrate south for the winter, they do it because
Choices:
A: they are genetically called to
B: their children ask for them to
C: it is important to their happiness
D: they decide to each year
",The answer is D because it is their decision to migrate south for the winter.</s>
959,"Question: If a person walks in the opposite direction of a compass arrow they are walking
Choices:
A: west
B: north
C: east
D: south
","The answer is B because a compass arrow is pointing north, and a person who walks in the opposite direction of a compass arrow is walking south.</s>"
9-241,"Question: An example of lots kinetic energy would be
Choices:
A: Drinking a cold glass of water
B: A snail moving across the sidewalk
C: sitting without moving anywhere
D: An aircraft taking a trip
",The answer is B because a snail moves across the sidewalk as a result of the energy that is created when it moves.</s>
1953,"Question: Which organism cannot specialize?
Choices:
A: mammal
B: plant
C: fish
D: protozoa
","The answer is A because mammals are animals that specialize in walking, while plants and fish are all animals that have no qualms about swimming, and protozoa are plants that do not have a qualm about walking.</s>"
7-97,"Question: A person can grow cabbage in January with the help of what product?
Choices:
A: Green house
B: Parliment
C: Congress
D: White house
",The answer is B because the parliment is a product that can be used to grow vegetables in the absence of electricity.</s>
8-422,"Question: A frog, in winter, will burrow itself into soft mud, until it freezes, then in the spring
Choices:
A: it melts, because it is warm-blooded
B: it unfreezes, because it is cold-blooded
C: it remains frozen until it dies
D: it dies, because it is warm-blooded
","The answer is C because frogs are cold-blooded reptiles, and they cannot unfreeze in winter.</s>"
142,"Question: Which describes the size of an object?
Choices:
A: It attracts all metals
B: It is a sphere
C: It is red and purple
D: It holds 500 mL of water
",The answer is D because an object that is large in comparison to its surroundings is called a planet.</s>
7-921,"Question: A body may find its temperature to be lowered after
Choices:
A: water is heated up
B: fluid spreads from pores
C: the air becomes arid
D: the sky stays bright
","The answer is B because when fluid is released from a body, it cools the body by dissipating the heat through the blood vessels.</s>"
8-22,"Question: If a person enjoys long, sunny days their favorite month would be
Choices:
A: October
B: July
C: April
D: March
","The answer is B because the sun is out for long periods of time, which is why it is their favorite month.</s>"
9-1039,"Question: An example of data collection is
Choices:
A: Deleting case files on the computer
B: Touching evidence without gloves
C: speaking with a witness
D: Throwing documents in the trash
",The answer is B because evidence is touched without gloves when it is in the hands of a witness.</s>
739,"Question: An animal can hunt by cracking open a
Choices:
A: claw
B: house
C: shell
D: bone
",The answer is A because the animal can crack open a claw to catch prey.</s>
7-684,"Question: Oil is a nonrenewable resource which tells us that when
Choices:
A: it can be remade
B: it can be found in other places
C: there is an endless supply
D: the final barrel is gone, there supply is finished
",The answer is C because the first step in photosynthesis is the conversion of carbon dioxide into glucose. This process is called carbon fixation.</s>
8-9,"Question: Magma contains
Choices:
A: particles of iron
B: Loads of leaves
C: Soda
D: Silly Putty
",The answer is B because magma contains a large amount of iron. The iron is a solid and can be used to make weapons.</s>
9-1126,"Question: Dew is formed when what condenses?
Choices:
A: carbon dioxide
B: warm air
C: H2O haze
D: oxygen
",The answer is C because the water vapor condenses when it comes into contact with the air.</s>
7-316,"Question: The Earth revolving around the sun can cause
Choices:
A: constellations to appear in one place in spring and another in fall
B: the stars to rotate diagonally in the sky
C: earth's axis to be widened
D: stars to fade as winter approaches
","The answer is A because the Earth revolves around the sun in spring and again in fall, causing the constellations to appear in one place in spring and another in fall.</s>"
9-106,"Question: Plants need light for
Choices:
A: love
B: glucose
C: reading
D: driving
",The answer is B because plants need light for glucose production. Glucose is the main energy source for plants and is responsible for the production of energy molecules in the plant cell.</s>
9-900,"Question: Tunnels
Choices:
A: lead to less impacted soil
B: pact down soil to make it denser
C: firm up the ground
D: help prevent the effects of erosion
","The answer is B because the tunnels help to reduce the amount of water used, which can prevent the effects of erosion.</s>"
9-902,"Question: A fire starts in a wide, open field and catches onto a forest. The fire started even though people were far away from the woods. A potential cause for the start of it could have been
Choices:
A: wind
B: sand
C: stones
D: storms
","The answer is C because the person is walking quickly, which means they are not moving slowly.</s>"
7-1139,"Question: To have a positive impact of the environment
Choices:
A: use Styrofoam plates and bowls
B: use more paper towels
C: salvage plastic bottles instead of throwing them away
D: drive a car that guzzles gas
",nan is a student at the University of Michigan. She is majoring in environmental science and is interested in the effects of climate change. She is also interested in the effects of the food industry on the environment. She is interested in the effects of the food industry on the environment and the effects of the food industry on the environment. The food industry is a major contributor to greenhouse gas emissions and is a major contributor to water pollution. The food industry is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is a major contributor to water pollution and is a major contributor to greenhouse gas emissions and is
529,"Question: Taking shorter showers leads to
Choices:
A: water shortages for the local environment
B: increased energy consumption by the water heater
C: an empty water heater
D: less energy used by the water heater
","The answer is D because taking shorter showers leads to less energy used by the water heater, which means less money spent on water heating.</s>"
231,"Question: Roads present danger to animals because
Choices:
A: only chickens can cross the road
B: people driving cars might be unaware the animal is close by
C: road signs are hard to read
D: cops will stop them for speeding
","The answer is B because animals are often unable to cross the road safely, and drivers can be distracted by their animals, making them less safe.</s>"
9-472,"Question: plant requires what for photosynthesis
Choices:
A: light that changes color
B: light from our closest star
C: the reflection of something shiny
D: light reflected from our orbiting rock
",The answer is D because the plant requires light from the sun to photosynthesize. The sun's light is reflected off of the plant's leaves and used for photosynthesis.</s>
7-606,"Question: Winter solstice occurs on a day when
Choices:
A: the sun is brightest
B: the sun is eclipsed
C: the moon is full
D: the darkness is greatest
","The answer is D because the winter solstice occurs on a day when the sun is lowest in the sky, so the least amount of light is cast.</s>"
