feature,importance
of,2.6505490510753127e-15
than the,1.7243151351209463e-15
answer is,1.3890798233884283e-15
force,1.2975731600306517e-15
because the,1.259409243559162e-15
answer,1.1804793254022172e-15
flexible,1.1546753136970622e-15
the answer is,1.1503656100614323e-15
gravitational force,1.1501216645726231e-15
gravitational,1.1050188541972261e-15
between,1.0920084281274e-15
on,1.0720591081536668e-15
question,1.0581813203458523e-15
ball,1.012427988666964e-15
than,9.983333604246525e-16
because,9.462916561453483e-16
cardboard,9.402201239794294e-16
of the,9.35015953551499e-16
mercury,9.150666335777657e-16
breaking,9.128982292327947e-16
steep,8.994541222939745e-16
steep hill,8.994541222939745e-16
hill,8.994541222939745e-16
earth,8.886121005691194e-16
rug,8.801553236237325e-16
smooth,8.756016744992934e-16
the dog,8.74734312761305e-16
answer is because,8.506650245321268e-16
the steep,8.4350929019372245e-16
the steep hill,8.4350929019372245e-16
is because the,8.396061623727746e-16
the question,8.36136715420821e-16
load,8.25497981603307e-16
ground,8.062127354602211e-16
flat,8.062127354602211e-16
flat ground,8.062127354602211e-16
dog,8.044780119842443e-16
therefore the answer,7.925517880869037e-16
flexible and,7.915760061316668e-16
the cardboard,7.88865500700453e-16
the flat ground,7.433290094560618e-16
the flat,7.433290094560618e-16
mass of,7.284754396930104e-16
phrasing,7.160071147094271e-16
actually,6.860831347488272e-16
weaker,6.808789643208968e-16
is because,6.800116025829084e-16
is actually,6.74807432154978e-16
the infield,6.72639027810007e-16
infield dirt,6.72639027810007e-16
infield,6.72639027810007e-16
the infield dirt,6.72639027810007e-16
dirt,6.72639027810007e-16
the correct,6.583275591331983e-16
correct,6.583275591331983e-16
surfboard,6.314393452555578e-16
surfboard is,6.238499300481593e-16
the correct answer,6.223320470066795e-16
correct answer,6.223320470066795e-16
without breaking,6.140921104957897e-16
the surfboard,6.140921104957897e-16
the surfboard is,6.140921104957897e-16
because the question,6.127910678888071e-16
is as,6.069363761573854e-16
result,6.006480035569695e-16
toy,5.944138410651778e-16
question phrasing,5.915407053080912e-16
is smoother,5.88938620094126e-16
mary,5.885049392251318e-16
the mass,5.847102316214325e-16
the mass of,5.847102316214325e-16
friction between,5.833007687972014e-16
the toy,5.767955557622884e-16
that mary,5.741934705483231e-16
todd,5.728924279413405e-16
adult,5.668208957754217e-16
when bent,5.659535340374333e-16
without,5.624840870854797e-16
answer is actually,5.611830444784971e-16
and can bend,5.600988423060116e-16
flexible and can,5.600988423060116e-16
can bend without,5.600988423060116e-16
can bend,5.600988423060116e-16
bend without breaking,5.600988423060116e-16
bend,5.600988423060116e-16
bend without,5.600988423060116e-16
is more flexible,5.600988423060116e-16
old,5.598820018715145e-16
rug therefore the,5.571714964403007e-16
rug therefore,5.571714964403007e-16
more smooth than,5.543525707918384e-16
smooth than the,5.543525707918384e-16
smooth than,5.543525707918384e-16
was less,5.528685690682489e-16
of what the,5.479557779741739e-16
what the,5.479557779741739e-16
on mercury,5.473052566706826e-16
more flexible,5.468715758016884e-16
bent,5.440526501532261e-16
steep hill is,5.390653201597928e-16
hill is,5.390653201597928e-16
there was,5.386316392907986e-16
choice,5.265969951762095e-16
than the flat,5.260548940899668e-16
the cardboard is,5.106592232406726e-16
the adult,5.079487178094588e-16
because the steep,5.065392549852277e-16
that the cardboard,5.054550528127422e-16
the question phrasing,5.041540102057596e-16
more flexible and,5.020940260780371e-16
answer choice in,4.9499250184825705e-16
choice in the,4.9499250184825705e-16
answer choice,4.9499250184825705e-16
choice in,4.9499250184825705e-16
of the dog,4.852888924045118e-16
sound of the,4.852888924045118e-16
throw the toy,4.806268230628241e-16
however the,4.731458280726741e-16
child,4.722784663346857e-16
cardboard is,4.714111045966973e-16
gravitational force on,4.709774237277031e-16
force on,4.709774237277031e-16
is less,4.659900937342698e-16
rug is,4.594848806993568e-16
easier,4.588343593958655e-16
and can,4.579669976578771e-16
the dog farther,4.510281037539698e-16
dog farther,4.510281037539698e-16
the person would,4.49293380277993e-16
person would,4.49293380277993e-16
what the question,4.473418163675191e-16
sound of,4.462576141950336e-16
the sound of,4.462576141950336e-16
the outfield grass,4.441434199586869e-16
outfield grass,4.441434199586869e-16
float,4.438723694155655e-16
more smooth,4.421376459395887e-16
rug is more,4.421376459395887e-16
is more smooth,4.421376459395887e-16
was less friction,4.391018798566293e-16
there was less,4.391018798566293e-16
smoother than the,4.349819116011844e-16
smoother than,4.349819116011844e-16
is smoother than,4.349819116011844e-16
closer to the,4.3303034769071047e-16
has higher,4.305366826939938e-16
would,4.3021142204224816e-16
friction between the,4.206704429243757e-16
will,4.180683577104105e-16
the blue,4.154662724964453e-16
blue,4.154662724964453e-16
incorrect,4.14815751192954e-16
cause the,4.106957829375091e-16
mass,4.102621020685149e-16
and the,4.0766001685454967e-16
between the,4.0679265511656126e-16
force on mercury,4.0202216555762504e-16
