feature,importance
the,5.488665077990618e-15
is,3.12944115066216e-15
to,2.5153490401663703e-15
of,2.3939183968479938e-15
not,2.2065682614424986e-15
you,1.6410484082740595e-15
answer,1.5768636396629176e-15
be,1.4259426972529354e-15
is not,1.3600232051658168e-15
officer,1.3513495877859327e-15
police,1.313185671314443e-15
police officer,1.124100812432971e-15
is because,1.0733601507606494e-15
in,1.0547118733938987e-15
because,1.0477729794899915e-15
sex,1.012211148232467e-15
answer is because,9.957312752106873e-16
in the,9.922618282587337e-16
to be,9.54097911787244e-16
can,8.621575675604731e-16
backyard,8.526165884426007e-16
on the,8.448103328007051e-16
pretending to be,8.344019919448442e-16
pretending to,8.344019919448442e-16
pretending,8.344019919448442e-16
can lead to,8.205242041370298e-16
can lead,8.205242041370298e-16
you are,8.200905232680356e-16
are,8.187894806610529e-16
pools,7.997075224253081e-16
backyard pools,7.997075224253081e-16
as,7.771561172376096e-16
lead,7.641456911677835e-16
that,7.563394355258879e-16
lead to,7.446300520630444e-16
answer is,7.424616477180734e-16
which,7.320533068622126e-16
sense,7.311859451242242e-16
while,7.28583859910259e-16
be police officer,7.008282842946301e-16
to be police,7.008282842946301e-16
be police,7.008282842946301e-16
is the,6.83481049534862e-16
sense of,6.74807432154978e-16
diving,6.722053469410127e-16
at,6.678685382510707e-16
to the,6.678685382510707e-16
and,6.661338147750939e-16
the answer is,6.453171330633722e-16
place,6.349087922075114e-16
them,6.346919517730143e-16
due to,6.292709409105868e-16
due,6.292709409105868e-16
high,6.279698983036042e-16
the most,6.175615574477433e-16
diving into,6.123573870198129e-16
diving into backyard,6.123573870198129e-16
into backyard,6.123573870198129e-16
on,5.834362940687621e-16
most,5.828670879282072e-16
store,5.828670879282072e-16
risk,5.698566618583811e-16
experiencing,5.655198531684391e-16
as the,5.655198531684391e-16
road,5.529431079676073e-16
on the road,5.529431079676073e-16
the road,5.529431079676073e-16
into backyard pools,5.499073418846478e-16
typically,5.48172618408671e-16
create,5.477931476483011e-16
or,5.447031714567174e-16
possible,5.342948306008566e-16
requires,5.26488574958961e-16
academic,5.152128723651117e-16
due to the,5.048045315092509e-16
lack of,5.030698080332741e-16
lack,5.030698080332741e-16
mistrust,5.0133508455729725e-16
false,5.0133508455729725e-16
when you,5.004677228193088e-16
the answer,4.996003610813204e-16
result,4.85722573273506e-16
people,4.787836793695988e-16
additionally,4.787836793695988e-16
is because when,4.753142324176451e-16
because when,4.753142324176451e-16
eating,4.683753385137379e-16
going,4.597017211338539e-16
after,4.562322741819003e-16
someone to,4.544975507059235e-16
medical,4.49293380277993e-16
therefore,4.475586568020162e-16
involved,4.466912950640278e-16
is the most,4.458239333260394e-16
this can lead,4.423544863740858e-16
this,4.40619762898109e-16
would be,4.3368086899420177e-16
self,4.2587461335230614e-16
it is possible,4.198030811863873e-16
is possible,4.198030811863873e-16
effect,4.176346768414163e-16
for someone to,4.119968255444917e-16
term,4.0766001685454967e-16
that requires,4.0722633598555547e-16
of the,4.0419056990259605e-16
up,4.0245584642661925e-16
trip,4.0072112295064244e-16
is not specific,3.9118014383277e-16
not specific,3.9118014383277e-16
question,3.86843335142828e-16
when you are,3.8510861166685117e-16
which can,3.8510861166685117e-16
feel,3.8250652645288596e-16
to lack,3.8207284558389176e-16
between the,3.8207284558389176e-16
two parties involved,3.8207284558389176e-16
between the two,3.8207284558389176e-16
involved this,3.8207284558389176e-16
the two parties,3.8207284558389176e-16
of security,3.8207284558389176e-16
parties involved,3.8207284558389176e-16
to lack of,3.8207284558389176e-16
trust,3.8207284558389176e-16
false sense of,3.8207284558389176e-16
parties involved this,3.8207284558389176e-16
false sense,3.8207284558389176e-16
of trust,3.8207284558389176e-16
two,3.8207284558389176e-16
two parties,3.8207284558389176e-16
the two,3.8207284558389176e-16
sense of security,3.8207284558389176e-16
lead to lack,3.8207284558389176e-16
security,3.8207284558389176e-16
lack of trust,3.8207284558389176e-16
spinal,3.7556763254897874e-16
while it,3.7470027081099033e-16
into,3.673276960380889e-16
sex that,3.668940151690947e-16
them to shower,3.668940151690947e-16
after having sex,3.668940151690947e-16
requires them,3.668940151690947e-16
requires them to,3.668940151690947e-16
having sex that,3.668940151690947e-16
sex that requires,3.668940151690947e-16
that requires them,3.668940151690947e-16
to shower,3.668940151690947e-16
shower,3.668940151690947e-16
having sex,3.668940151690947e-16
after having,3.668940151690947e-16
outcome,3.647256108241237e-16
option,3.642919299551295e-16
have,3.634245682171411e-16
being,3.608224830031759e-16
and create,3.5979249093931465e-16
hardware,3.5388358909926865e-16
or the,3.4954678040932663e-16
discomfort or,3.46077333457373e-16
safe,3.434752482434078e-16
possible to get,3.426078865054194e-16
specific,3.426078865054194e-16
party,3.426078865054194e-16
the question,3.37403716077489e-16
were,3.3707845542574333e-16
most appropriate,3.365363543395006e-16
the most appropriate,3.365363543395006e-16
someone,3.3480163086352377e-16
it is,3.3306690738754696e-16
they,3.3306690738754696e-16
understanding,3.3263322651855276e-16
appropriate answer,3.3133218391157016e-16
most appropriate answer,3.3133218391157016e-16
accomplishment,3.3046482217358175e-16
to their,3.2786273695961654e-16
may,3.2786273695961654e-16
this can,3.2612801348363973e-16
while it is,3.2612801348363973e-16
are not,3.2612801348363973e-16
them to,3.2569433261464553e-16
police officer you,3.2504381131115423e-16
officer you are,3.2504381131115423e-16
lead to mistrust,3.2504381131115423e-16
to mistrust,3.2504381131115423e-16
are pretending to,3.2504381131115423e-16
are pretending,3.2504381131115423e-16
to mistrust in,3.2504381131115423e-16
officer you,3.2504381131115423e-16
mistrust in the,3.2504381131115423e-16
you are pretending,3.2504381131115423e-16
mistrust in,3.2504381131115423e-16
ray,3.2439329000766293e-16
location for someone,3.191891195797325e-16
someone to find,3.191891195797325e-16
likely location,3.191891195797325e-16
misunderstanding,3.183217578417441e-16
disability,3.122502256758253e-16
get,3.1051550219984847e-16
also,3.1051550219984847e-16
during,3.0899761915836876e-16
because when you,3.0834709785487746e-16
one on,3.002155815612362e-16
one on the,3.002155815612362e-16
find one on,3.002155815612362e-16
queue,2.983724378680108e-16
to find one,2.977219165645195e-16
maps,2.977219165645195e-16
james,2.96637714392034e-16
serious,2.931682674400804e-16
risk of,2.9284300678833475e-16
not feeling,2.925177461365891e-16
that people,2.925177461365891e-16
feeling that,2.925177461365891e-16
is not feeling,2.925177461365891e-16
not feeling that,2.925177461365891e-16
bike,2.918672248330978e-16
riding bike,2.918672248330978e-16
riding,2.918672248330978e-16
their,2.914335439641036e-16
one,2.914335439641036e-16
options,2.914335439641036e-16
home,2.905661822261152e-16
find one,2.896988204881268e-16
likely location for,2.8963105785234644e-16
it likely location,2.8963105785234644e-16
between,2.888314587501384e-16
creating,2.86988315056913e-16
getting,2.8449465006019636e-16
the academic,2.8319360745321376e-16
people may,2.8145888397723695e-16
these,2.7842311789427754e-16
salesman,2.749536709423239e-16
the computer,2.740863092043355e-16
easily,2.714842239903703e-16
likely,2.706168622523819e-16
effect of,2.677979366039196e-16
emotions,2.675810961694225e-16
often,2.671474153004283e-16
to get,2.671474153004283e-16
goal is,2.662800535624399e-16
fishing,2.654126918244515e-16
rods,2.654126918244515e-16
coffee,2.649790109554573e-16
pain,2.636779683484747e-16
any,2.5934115965853266e-16
to the question,2.5825695748604716e-16
one self,2.577148563998044e-16
one self esteem,2.577148563998044e-16
making it likely,2.5652223401007035e-16
it likely,2.5652223401007035e-16
service,2.5522119140308774e-16
backyard pools is,2.551127711858392e-16
pools is,2.551127711858392e-16
station,2.5153490401663703e-16
up home,2.5110122314764283e-16
this is,2.498001805406602e-16
gas,2.49366499671666e-16
do,2.489328188026718e-16
customers,2.476317761956892e-16
gas station,2.4643915380595516e-16
the other,2.463307335887066e-16
stores,2.445960101127298e-16
emotional,2.437286483747414e-16
the people,2.434372690408859e-16
is because people,2.4275286641950444e-16
because people,2.4275286641950444e-16
goal,2.419939248987646e-16
therefore option,2.411265631607762e-16
therefore option is,2.411265631607762e-16
for the,2.410723530521519e-16
suggests that,2.3809079707781677e-16
having,2.3765711620882257e-16
is due,2.3678975447083417e-16
this is due,2.3678975447083417e-16
is due to,2.3678975447083417e-16
find,2.3505503099485736e-16
older,2.3505503099485736e-16
during sex,2.3418766925686896e-16
correct,2.3418766925686896e-16
during sex and,2.3418766925686896e-16
place to,2.3418766925686896e-16
sex and,2.3418766925686896e-16
having disability,2.3245294578089215e-16
tasks,2.3174821436877657e-16
nature of,2.2898349882893854e-16
places,2.2898349882893854e-16
nature,2.2898349882893854e-16
nature of the,2.2898349882893854e-16
easily accessible,2.2811613709095013e-16
computer to,2.246466901389965e-16
of riding bike,2.239961688355052e-16
of riding,2.239961688355052e-16
long term,2.239961688355052e-16
appropriate,2.220446049250313e-16
is because diving,2.216109240560371e-16
because diving into,2.216109240560371e-16
because diving,2.216109240560371e-16
pools can,2.216109240560371e-16
backyard pools can,2.216109240560371e-16
options do not,2.203098814490545e-16
options do,2.203098814490545e-16
behavior,2.1976778036281175e-16
because going jogging,2.183583175385806e-16
going jogging,2.183583175385806e-16
activity,2.1684043449710089e-16
good,2.1662359406260379e-16
characteristic,2.1640675362810669e-16
characteristic of,2.1640675362810669e-16
waiting,2.1510571102112408e-16
is considered,2.1510571102112408e-16
designed,2.1423834928313568e-16
can result,2.1337098754514727e-16
injuries,2.1293730667615307e-16
is experiencing,2.1163626406917047e-16
going to,2.1163626406917047e-16
needs,2.1163626406917047e-16
esteem,2.1120258320017626e-16
self esteem,2.1120258320017626e-16
designed to,2.1106705792861558e-16
for person,2.1076890233118206e-16
machine,2.0903417885520525e-16
