Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,llama8b,0.992,"{'student': {'precision': 1.0, 'recall': 0.983, 'f1-score': 0.992, 'support': 120.0}, 'teacher': {'precision': 0.983, 'recall': 1.0, 'f1-score': 0.992, 'support': 117.0}, 'accuracy': 0.9915611814345991, 'macro avg': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 237.0}, 'weighted avg': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 237.0}}"
gpt2_gemma2_9b,mixtral,0.996,"{'student': {'precision': 1.0, 'recall': 0.992, 'f1-score': 0.996, 'support': 120.0}, 'teacher': {'precision': 0.992, 'recall': 1.0, 'f1-score': 0.996, 'support': 119.0}, 'accuracy': 0.99581589958159, 'macro avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 239.0}, 'weighted avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 239.0}}"
gpt2_gemma2_9b,llama70b,0.996,"{'student': {'precision': 1.0, 'recall': 0.992, 'f1-score': 0.996, 'support': 120.0}, 'teacher': {'precision': 0.992, 'recall': 1.0, 'f1-score': 0.996, 'support': 120.0}, 'accuracy': 0.9958333333333333, 'macro avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 240.0}, 'weighted avg': {'precision': 0.996, 'recall': 0.996, 'f1-score': 0.996, 'support': 240.0}}"
gpt2_gemma2_9b,mistral7b,0.992,"{'student': {'precision': 1.0, 'recall': 0.983, 'f1-score': 0.992, 'support': 120.0}, 'teacher': {'precision': 0.984, 'recall': 1.0, 'f1-score': 0.992, 'support': 120.0}, 'accuracy': 0.9916666666666667, 'macro avg': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 240.0}, 'weighted avg': {'precision': 0.992, 'recall': 0.992, 'f1-score': 0.992, 'support': 240.0}}"
gpt2_llama8b,mixtral,0.958,"{'student': {'precision': 1.0, 'recall': 0.915, 'f1-score': 0.955, 'support': 117.0}, 'teacher': {'precision': 0.922, 'recall': 1.0, 'f1-score': 0.96, 'support': 119.0}, 'accuracy': 0.9576271186440678, 'macro avg': {'precision': 0.961, 'recall': 0.957, 'f1-score': 0.958, 'support': 236.0}, 'weighted avg': {'precision': 0.961, 'recall': 0.958, 'f1-score': 0.958, 'support': 236.0}}"
gpt2_llama8b,llama70b,0.975,"{'student': {'precision': 1.0, 'recall': 0.949, 'f1-score': 0.974, 'support': 117.0}, 'teacher': {'precision': 0.952, 'recall': 1.0, 'f1-score': 0.976, 'support': 120.0}, 'accuracy': 0.9746835443037974, 'macro avg': {'precision': 0.976, 'recall': 0.974, 'f1-score': 0.975, 'support': 237.0}, 'weighted avg': {'precision': 0.976, 'recall': 0.975, 'f1-score': 0.975, 'support': 237.0}}"
gpt2_llama8b,mistral7b,0.911,"{'student': {'precision': 0.962, 'recall': 0.855, 'f1-score': 0.905, 'support': 117.0}, 'teacher': {'precision': 0.872, 'recall': 0.967, 'f1-score': 0.917, 'support': 120.0}, 'accuracy': 0.9113924050632911, 'macro avg': {'precision': 0.917, 'recall': 0.911, 'f1-score': 0.911, 'support': 237.0}, 'weighted avg': {'precision': 0.916, 'recall': 0.911, 'f1-score': 0.911, 'support': 237.0}}"
gpt2_mixtral,llama70b,0.916,"{'student': {'precision': 0.946, 'recall': 0.882, 'f1-score': 0.913, 'support': 119.0}, 'teacher': {'precision': 0.891, 'recall': 0.95, 'f1-score': 0.919, 'support': 120.0}, 'accuracy': 0.9163179916317992, 'macro avg': {'precision': 0.918, 'recall': 0.916, 'f1-score': 0.916, 'support': 239.0}, 'weighted avg': {'precision': 0.918, 'recall': 0.916, 'f1-score': 0.916, 'support': 239.0}}"
gpt2_mixtral,mistral7b,0.799,"{'student': {'precision': 0.82, 'recall': 0.765, 'f1-score': 0.791, 'support': 119.0}, 'teacher': {'precision': 0.781, 'recall': 0.833, 'f1-score': 0.806, 'support': 120.0}, 'accuracy': 0.799163179916318, 'macro avg': {'precision': 0.801, 'recall': 0.799, 'f1-score': 0.799, 'support': 239.0}, 'weighted avg': {'precision': 0.8, 'recall': 0.799, 'f1-score': 0.799, 'support': 239.0}}"
gpt2_llama70b,mistral7b,0.904,"{'student': {'precision': 0.953, 'recall': 0.85, 'f1-score': 0.899, 'support': 120.0}, 'teacher': {'precision': 0.865, 'recall': 0.958, 'f1-score': 0.909, 'support': 120.0}, 'accuracy': 0.9041666666666667, 'macro avg': {'precision': 0.909, 'recall': 0.904, 'f1-score': 0.904, 'support': 240.0}, 'weighted avg': {'precision': 0.909, 'recall': 0.904, 'f1-score': 0.904, 'support': 240.0}}"
