Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,llama8b,0.769,"{'student': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.0}, 'teacher': {'precision': 0.769, 'recall': 1.0, 'f1-score': 0.87, 'support': 10.0}, 'accuracy': 0.7692307692307693, 'macro avg': {'precision': 0.385, 'recall': 0.5, 'f1-score': 0.435, 'support': 13.0}, 'weighted avg': {'precision': 0.592, 'recall': 0.769, 'f1-score': 0.669, 'support': 13.0}}"
gpt2_gemma2_9b,mixtral,0.769,"{'student': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.0}, 'teacher': {'precision': 0.769, 'recall': 1.0, 'f1-score': 0.87, 'support': 10.0}, 'accuracy': 0.7692307692307693, 'macro avg': {'precision': 0.385, 'recall': 0.5, 'f1-score': 0.435, 'support': 13.0}, 'weighted avg': {'precision': 0.592, 'recall': 0.769, 'f1-score': 0.669, 'support': 13.0}}"
gpt2_gemma2_9b,llama70b,0.769,"{'student': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3.0}, 'teacher': {'precision': 0.769, 'recall': 1.0, 'f1-score': 0.87, 'support': 10.0}, 'accuracy': 0.7692307692307693, 'macro avg': {'precision': 0.385, 'recall': 0.5, 'f1-score': 0.435, 'support': 13.0}, 'weighted avg': {'precision': 0.592, 'recall': 0.769, 'f1-score': 0.669, 'support': 13.0}}"
gpt2_gemma2_9b,mistral7b,0.714,"{'student': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 4.0}, 'teacher': {'precision': 0.714, 'recall': 1.0, 'f1-score': 0.833, 'support': 10.0}, 'accuracy': 0.7142857142857143, 'macro avg': {'precision': 0.357, 'recall': 0.5, 'f1-score': 0.417, 'support': 14.0}, 'weighted avg': {'precision': 0.51, 'recall': 0.714, 'f1-score': 0.595, 'support': 14.0}}"
gpt2_llama8b,mixtral,0.421,"{'student': {'precision': 0.462, 'recall': 0.6, 'f1-score': 0.522, 'support': 10.0}, 'teacher': {'precision': 0.333, 'recall': 0.222, 'f1-score': 0.267, 'support': 9.0}, 'accuracy': 0.42105263157894735, 'macro avg': {'precision': 0.397, 'recall': 0.411, 'f1-score': 0.394, 'support': 19.0}, 'weighted avg': {'precision': 0.401, 'recall': 0.421, 'f1-score': 0.401, 'support': 19.0}}"
gpt2_llama8b,llama70b,0.211,"{'student': {'precision': 0.222, 'recall': 0.2, 'f1-score': 0.211, 'support': 10.0}, 'teacher': {'precision': 0.2, 'recall': 0.222, 'f1-score': 0.211, 'support': 9.0}, 'accuracy': 0.21052631578947367, 'macro avg': {'precision': 0.211, 'recall': 0.211, 'f1-score': 0.211, 'support': 19.0}, 'weighted avg': {'precision': 0.212, 'recall': 0.211, 'f1-score': 0.211, 'support': 19.0}}"
gpt2_llama8b,mistral7b,0.25,"{'student': {'precision': 0.143, 'recall': 0.1, 'f1-score': 0.118, 'support': 10.0}, 'teacher': {'precision': 0.308, 'recall': 0.4, 'f1-score': 0.348, 'support': 10.0}, 'accuracy': 0.25, 'macro avg': {'precision': 0.225, 'recall': 0.25, 'f1-score': 0.233, 'support': 20.0}, 'weighted avg': {'precision': 0.225, 'recall': 0.25, 'f1-score': 0.233, 'support': 20.0}}"
gpt2_mixtral,llama70b,0.421,"{'student': {'precision': 0.462, 'recall': 0.6, 'f1-score': 0.522, 'support': 10.0}, 'teacher': {'precision': 0.333, 'recall': 0.222, 'f1-score': 0.267, 'support': 9.0}, 'accuracy': 0.42105263157894735, 'macro avg': {'precision': 0.397, 'recall': 0.411, 'f1-score': 0.394, 'support': 19.0}, 'weighted avg': {'precision': 0.401, 'recall': 0.421, 'f1-score': 0.401, 'support': 19.0}}"
gpt2_mixtral,mistral7b,0.3,"{'student': {'precision': 0.333, 'recall': 0.4, 'f1-score': 0.364, 'support': 10.0}, 'teacher': {'precision': 0.25, 'recall': 0.2, 'f1-score': 0.222, 'support': 10.0}, 'accuracy': 0.3, 'macro avg': {'precision': 0.292, 'recall': 0.3, 'f1-score': 0.293, 'support': 20.0}, 'weighted avg': {'precision': 0.292, 'recall': 0.3, 'f1-score': 0.293, 'support': 20.0}}"
gpt2_llama70b,mistral7b,0.55,"{'student': {'precision': 0.571, 'recall': 0.4, 'f1-score': 0.471, 'support': 10.0}, 'teacher': {'precision': 0.538, 'recall': 0.7, 'f1-score': 0.609, 'support': 10.0}, 'accuracy': 0.55, 'macro avg': {'precision': 0.555, 'recall': 0.55, 'f1-score': 0.54, 'support': 20.0}, 'weighted avg': {'precision': 0.555, 'recall': 0.55, 'f1-score': 0.54, 'support': 20.0}}"
