Model 1,Model 2,Accuracy,Classification Report
gpt2_gemma2_9b,gpt2_llama8b,0.967,"{'gpt2_gemma2_9b': {'precision': 1.0, 'recall': 0.852, 'f1-score': 0.92, 'support': 54.0}, 'gpt2_llama8b': {'precision': 0.959, 'recall': 1.0, 'f1-score': 0.979, 'support': 187.0}, 'accuracy': 0.966804979253112, 'macro avg': {'precision': 0.979, 'recall': 0.926, 'f1-score': 0.95, 'support': 241.0}, 'weighted avg': {'precision': 0.968, 'recall': 0.967, 'f1-score': 0.966, 'support': 241.0}}"
gpt2_gemma2_9b,gpt2_mixtral,0.946,"{'gpt2_gemma2_9b': {'precision': 0.86, 'recall': 0.907, 'f1-score': 0.883, 'support': 54.0}, 'gpt2_mixtral': {'precision': 0.973, 'recall': 0.957, 'f1-score': 0.965, 'support': 187.0}, 'accuracy': 0.946058091286307, 'macro avg': {'precision': 0.916, 'recall': 0.932, 'f1-score': 0.924, 'support': 241.0}, 'weighted avg': {'precision': 0.947, 'recall': 0.946, 'f1-score': 0.947, 'support': 241.0}}"
gpt2_gemma2_9b,gpt2_llama70b,0.917,"{'gpt2_gemma2_9b': {'precision': 0.793, 'recall': 0.852, 'f1-score': 0.821, 'support': 54.0}, 'gpt2_llama70b': {'precision': 0.956, 'recall': 0.936, 'f1-score': 0.946, 'support': 187.0}, 'accuracy': 0.91701244813278, 'macro avg': {'precision': 0.875, 'recall': 0.894, 'f1-score': 0.884, 'support': 241.0}, 'weighted avg': {'precision': 0.92, 'recall': 0.917, 'f1-score': 0.918, 'support': 241.0}}"
gpt2_gemma2_9b,gpt2_mistral7b,0.957,"{'gpt2_gemma2_9b': {'precision': 0.923, 'recall': 0.873, 'f1-score': 0.897, 'support': 55.0}, 'gpt2_mistral7b': {'precision': 0.966, 'recall': 0.98, 'f1-score': 0.973, 'support': 200.0}, 'accuracy': 0.9568627450980393, 'macro avg': {'precision': 0.944, 'recall': 0.926, 'f1-score': 0.935, 'support': 255.0}, 'weighted avg': {'precision': 0.956, 'recall': 0.957, 'f1-score': 0.956, 'support': 255.0}}"
gpt2_llama8b,gpt2_mixtral,0.753,"{'gpt2_llama8b': {'precision': 0.735, 'recall': 0.79, 'f1-score': 0.762, 'support': 186.0}, 'gpt2_mixtral': {'precision': 0.775, 'recall': 0.717, 'f1-score': 0.744, 'support': 187.0}, 'accuracy': 0.7533512064343163, 'macro avg': {'precision': 0.755, 'recall': 0.753, 'f1-score': 0.753, 'support': 373.0}, 'weighted avg': {'precision': 0.755, 'recall': 0.753, 'f1-score': 0.753, 'support': 373.0}}"
gpt2_llama8b,gpt2_llama70b,0.71,"{'gpt2_llama70b': {'precision': 0.718, 'recall': 0.695, 'f1-score': 0.707, 'support': 187.0}, 'gpt2_llama8b': {'precision': 0.703, 'recall': 0.726, 'f1-score': 0.714, 'support': 186.0}, 'accuracy': 0.710455764075067, 'macro avg': {'precision': 0.711, 'recall': 0.71, 'f1-score': 0.71, 'support': 373.0}, 'weighted avg': {'precision': 0.711, 'recall': 0.71, 'f1-score': 0.71, 'support': 373.0}}"
gpt2_llama8b,gpt2_mistral7b,0.739,"{'gpt2_llama8b': {'precision': 0.722, 'recall': 0.749, 'f1-score': 0.735, 'support': 187.0}, 'gpt2_mistral7b': {'precision': 0.756, 'recall': 0.73, 'f1-score': 0.743, 'support': 200.0}, 'accuracy': 0.7390180878552972, 'macro avg': {'precision': 0.739, 'recall': 0.739, 'f1-score': 0.739, 'support': 387.0}, 'weighted avg': {'precision': 0.74, 'recall': 0.739, 'f1-score': 0.739, 'support': 387.0}}"
gpt2_mixtral,gpt2_llama70b,0.831,"{'gpt2_llama70b': {'precision': 0.812, 'recall': 0.86, 'f1-score': 0.836, 'support': 186.0}, 'gpt2_mixtral': {'precision': 0.852, 'recall': 0.802, 'f1-score': 0.826, 'support': 187.0}, 'accuracy': 0.8310991957104558, 'macro avg': {'precision': 0.832, 'recall': 0.831, 'f1-score': 0.831, 'support': 373.0}, 'weighted avg': {'precision': 0.832, 'recall': 0.831, 'f1-score': 0.831, 'support': 373.0}}"
gpt2_mixtral,gpt2_mistral7b,0.708,"{'gpt2_mistral7b': {'precision': 0.708, 'recall': 0.74, 'f1-score': 0.724, 'support': 200.0}, 'gpt2_mixtral': {'precision': 0.708, 'recall': 0.674, 'f1-score': 0.69, 'support': 187.0}, 'accuracy': 0.7080103359173127, 'macro avg': {'precision': 0.708, 'recall': 0.707, 'f1-score': 0.707, 'support': 387.0}, 'weighted avg': {'precision': 0.708, 'recall': 0.708, 'f1-score': 0.708, 'support': 387.0}}"
gpt2_llama70b,gpt2_mistral7b,0.858,"{'gpt2_llama70b': {'precision': 0.844, 'recall': 0.866, 'f1-score': 0.855, 'support': 187.0}, 'gpt2_mistral7b': {'precision': 0.872, 'recall': 0.85, 'f1-score': 0.861, 'support': 200.0}, 'accuracy': 0.8578811369509044, 'macro avg': {'precision': 0.858, 'recall': 0.858, 'f1-score': 0.858, 'support': 387.0}, 'weighted avg': {'precision': 0.858, 'recall': 0.858, 'f1-score': 0.858, 'support': 387.0}}"
