Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,llama8b,0.851,"{'student': {'precision': 0.765, 'recall': 0.481, 'f1-score': 0.591, 'support': 54.0}, 'teacher': {'precision': 0.865, 'recall': 0.957, 'f1-score': 0.909, 'support': 187.0}, 'accuracy': 0.8506224066390041, 'macro avg': {'precision': 0.815, 'recall': 0.719, 'f1-score': 0.75, 'support': 241.0}, 'weighted avg': {'precision': 0.842, 'recall': 0.851, 'f1-score': 0.837, 'support': 241.0}}"
gpt2_gemma2_9b,mixtral,0.859,"{'student': {'precision': 0.833, 'recall': 0.463, 'f1-score': 0.595, 'support': 54.0}, 'teacher': {'precision': 0.863, 'recall': 0.973, 'f1-score': 0.915, 'support': 187.0}, 'accuracy': 0.8589211618257261, 'macro avg': {'precision': 0.848, 'recall': 0.718, 'f1-score': 0.755, 'support': 241.0}, 'weighted avg': {'precision': 0.856, 'recall': 0.859, 'f1-score': 0.843, 'support': 241.0}}"
gpt2_gemma2_9b,llama70b,0.867,"{'student': {'precision': 0.867, 'recall': 0.481, 'f1-score': 0.619, 'support': 54.0}, 'teacher': {'precision': 0.867, 'recall': 0.979, 'f1-score': 0.92, 'support': 187.0}, 'accuracy': 0.8672199170124482, 'macro avg': {'precision': 0.867, 'recall': 0.73, 'f1-score': 0.769, 'support': 241.0}, 'weighted avg': {'precision': 0.867, 'recall': 0.867, 'f1-score': 0.852, 'support': 241.0}}"
gpt2_gemma2_9b,mistral7b,0.875,"{'student': {'precision': 0.871, 'recall': 0.491, 'f1-score': 0.628, 'support': 55.0}, 'teacher': {'precision': 0.875, 'recall': 0.98, 'f1-score': 0.925, 'support': 200.0}, 'accuracy': 0.8745098039215686, 'macro avg': {'precision': 0.873, 'recall': 0.735, 'f1-score': 0.776, 'support': 255.0}, 'weighted avg': {'precision': 0.874, 'recall': 0.875, 'f1-score': 0.861, 'support': 255.0}}"
gpt2_llama8b,mixtral,0.432,"{'student': {'precision': 0.432, 'recall': 0.441, 'f1-score': 0.436, 'support': 186.0}, 'teacher': {'precision': 0.432, 'recall': 0.422, 'f1-score': 0.427, 'support': 187.0}, 'accuracy': 0.4316353887399464, 'macro avg': {'precision': 0.432, 'recall': 0.432, 'f1-score': 0.432, 'support': 373.0}, 'weighted avg': {'precision': 0.432, 'recall': 0.432, 'f1-score': 0.432, 'support': 373.0}}"
gpt2_llama8b,llama70b,0.464,"{'student': {'precision': 0.467, 'recall': 0.492, 'f1-score': 0.479, 'support': 187.0}, 'teacher': {'precision': 0.46, 'recall': 0.435, 'f1-score': 0.448, 'support': 186.0}, 'accuracy': 0.46380697050938335, 'macro avg': {'precision': 0.464, 'recall': 0.464, 'f1-score': 0.463, 'support': 373.0}, 'weighted avg': {'precision': 0.464, 'recall': 0.464, 'f1-score': 0.463, 'support': 373.0}}"
gpt2_llama8b,mistral7b,0.491,"{'student': {'precision': 0.472, 'recall': 0.449, 'f1-score': 0.46, 'support': 187.0}, 'teacher': {'precision': 0.507, 'recall': 0.53, 'f1-score': 0.518, 'support': 200.0}, 'accuracy': 0.4909560723514212, 'macro avg': {'precision': 0.49, 'recall': 0.49, 'f1-score': 0.489, 'support': 387.0}, 'weighted avg': {'precision': 0.49, 'recall': 0.491, 'f1-score': 0.49, 'support': 387.0}}"
gpt2_mixtral,llama70b,0.552,"{'student': {'precision': 0.545, 'recall': 0.647, 'f1-score': 0.592, 'support': 187.0}, 'teacher': {'precision': 0.563, 'recall': 0.457, 'f1-score': 0.504, 'support': 186.0}, 'accuracy': 0.5522788203753352, 'macro avg': {'precision': 0.554, 'recall': 0.552, 'f1-score': 0.548, 'support': 373.0}, 'weighted avg': {'precision': 0.554, 'recall': 0.552, 'f1-score': 0.548, 'support': 373.0}}"
gpt2_mixtral,mistral7b,0.442,"{'student': {'precision': 0.422, 'recall': 0.422, 'f1-score': 0.422, 'support': 187.0}, 'teacher': {'precision': 0.46, 'recall': 0.46, 'f1-score': 0.46, 'support': 200.0}, 'accuracy': 0.4418604651162791, 'macro avg': {'precision': 0.441, 'recall': 0.441, 'f1-score': 0.441, 'support': 387.0}, 'weighted avg': {'precision': 0.442, 'recall': 0.442, 'f1-score': 0.442, 'support': 387.0}}"
gpt2_llama70b,mistral7b,0.574,"{'student': {'precision': 0.56, 'recall': 0.545, 'f1-score': 0.553, 'support': 187.0}, 'teacher': {'precision': 0.585, 'recall': 0.6, 'f1-score': 0.593, 'support': 200.0}, 'accuracy': 0.5736434108527132, 'macro avg': {'precision': 0.573, 'recall': 0.573, 'f1-score': 0.573, 'support': 387.0}, 'weighted avg': {'precision': 0.573, 'recall': 0.574, 'f1-score': 0.573, 'support': 387.0}}"
