feature,importance
question,7.511352650979575e-16
answer is,7.068998164605489e-16
the question,6.487865800153259e-16
post,6.071532165918825e-16
office,6.054184931159057e-16
post office,5.967448757360216e-16
are,5.655198531684391e-16
someone,5.30825383648903e-16
result,5.204170427930421e-16
specific,4.623038063478191e-16
the answer is,4.40619762898109e-16
location,4.3281350725621337e-16
are not,4.3194614551822497e-16
answer,4.128641872824801e-16
is the,3.95516952522712e-16
store,3.9118014383277e-16
being,3.877106968808164e-16
not,3.677613769070831e-16
of the,3.625572064791527e-16
for,3.5128150388530344e-16
not specific,3.5084782301630923e-16
so,3.37403716077489e-16
therefore the,3.3306690738754696e-16
question and,3.199751661547845e-16
location for,3.196228004487267e-16
options,3.157196726277789e-16
likely,3.0878077872387166e-16
and,3.0531133177191805e-16
curiosity,3.0379344873043834e-16
satisfy,3.0162504438546733e-16
positive,3.0097452308197603e-16
the question and,2.995277908080657e-16
someone curiosity,2.9940242993187205e-16
satisfy someone curiosity,2.9940242993187205e-16
satisfy someone,2.9940242993187205e-16
therefore the answer,2.949029909160572e-16
result of,2.940356291780688e-16
most,2.8449465006019636e-16
common,2.8275992658421956e-16
ideal,2.740863092043355e-16
result of the,2.710505431213761e-16
triplet,2.701831813833877e-16
question and answer,2.669305748659312e-16
and answer,2.669305748659312e-16
unwind,2.6229370475442434e-16
the post,2.5847379792054426e-16
the post office,2.5847379792054426e-16
you,2.5760643618255585e-16
instead,2.5695591487906455e-16
question asks,2.413434035952733e-16
the question asks,2.413434035952733e-16
of the question,2.40692882291782e-16
asks,2.389581588158052e-16
thrift,2.3678975447083417e-16
information,2.3288662664988635e-16
answer is the,2.2811613709095013e-16
that,2.2638141361497333e-16
it is,2.255140518769849e-16
of,2.255140518769849e-16
kitchen,2.233456475320139e-16
people,2.2302038688026826e-16
and the,2.229119666630197e-16
where the,2.222614453595284e-16
thrift store,2.216109240560371e-16
for post,2.211772431870429e-16
typically,2.198762005800603e-16
but,2.194425197110661e-16
is not specific,2.181414771040835e-16
for post office,2.1402150884863858e-16
on,2.1337098754514727e-16
