Student Model,Teacher Model,Accuracy,Classification Report
gpt2_gemma2_9b,llama8b,1.0,"{'student': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'teacher': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}}"
gpt2_gemma2_9b,mixtral,1.0,"{'student': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'teacher': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}}"
gpt2_gemma2_9b,llama70b,0.9,"{'student': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'teacher': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 10.0}, 'accuracy': 0.9, 'macro avg': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 20.0}, 'weighted avg': {'precision': 0.9, 'recall': 0.9, 'f1-score': 0.9, 'support': 20.0}}"
gpt2_gemma2_9b,mistral7b,1.0,"{'student': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'teacher': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 10.0}, 'accuracy': 1.0, 'macro avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}, 'weighted avg': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 20.0}}"
gpt2_llama8b,mixtral,0.45,"{'student': {'precision': 0.444, 'recall': 0.4, 'f1-score': 0.421, 'support': 10.0}, 'teacher': {'precision': 0.455, 'recall': 0.5, 'f1-score': 0.476, 'support': 10.0}, 'accuracy': 0.45, 'macro avg': {'precision': 0.449, 'recall': 0.45, 'f1-score': 0.449, 'support': 20.0}, 'weighted avg': {'precision': 0.449, 'recall': 0.45, 'f1-score': 0.449, 'support': 20.0}}"
gpt2_llama8b,llama70b,0.95,"{'student': {'precision': 1.0, 'recall': 0.9, 'f1-score': 0.947, 'support': 10.0}, 'teacher': {'precision': 0.909, 'recall': 1.0, 'f1-score': 0.952, 'support': 10.0}, 'accuracy': 0.95, 'macro avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}, 'weighted avg': {'precision': 0.955, 'recall': 0.95, 'f1-score': 0.95, 'support': 20.0}}"
gpt2_llama8b,mistral7b,0.45,"{'student': {'precision': 0.444, 'recall': 0.4, 'f1-score': 0.421, 'support': 10.0}, 'teacher': {'precision': 0.455, 'recall': 0.5, 'f1-score': 0.476, 'support': 10.0}, 'accuracy': 0.45, 'macro avg': {'precision': 0.449, 'recall': 0.45, 'f1-score': 0.449, 'support': 20.0}, 'weighted avg': {'precision': 0.449, 'recall': 0.45, 'f1-score': 0.449, 'support': 20.0}}"
gpt2_mixtral,llama70b,0.85,"{'student': {'precision': 0.889, 'recall': 0.8, 'f1-score': 0.842, 'support': 10.0}, 'teacher': {'precision': 0.818, 'recall': 0.9, 'f1-score': 0.857, 'support': 10.0}, 'accuracy': 0.85, 'macro avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}, 'weighted avg': {'precision': 0.854, 'recall': 0.85, 'f1-score': 0.85, 'support': 20.0}}"
gpt2_mixtral,mistral7b,0.75,"{'student': {'precision': 0.857, 'recall': 0.6, 'f1-score': 0.706, 'support': 10.0}, 'teacher': {'precision': 0.692, 'recall': 0.9, 'f1-score': 0.783, 'support': 10.0}, 'accuracy': 0.75, 'macro avg': {'precision': 0.775, 'recall': 0.75, 'f1-score': 0.744, 'support': 20.0}, 'weighted avg': {'precision': 0.775, 'recall': 0.75, 'f1-score': 0.744, 'support': 20.0}}"
gpt2_llama70b,mistral7b,0.75,"{'student': {'precision': 0.778, 'recall': 0.7, 'f1-score': 0.737, 'support': 10.0}, 'teacher': {'precision': 0.727, 'recall': 0.8, 'f1-score': 0.762, 'support': 10.0}, 'accuracy': 0.75, 'macro avg': {'precision': 0.753, 'recall': 0.75, 'f1-score': 0.749, 'support': 20.0}, 'weighted avg': {'precision': 0.753, 'recall': 0.75, 'f1-score': 0.749, 'support': 20.0}}"
