Student Model,Teacher Model,cosine_similarity,rouge_1_f,rouge_2_f,rouge_l_f
gpt2_gemma2_9b,gemma2_9b,0.363,0.286,0.085,0.247
gpt2_gemma2_9b,llama8b,0.214,0.108,0.004,0.096
gpt2_gemma2_9b,mixtral,0.242,0.147,0.002,0.126
gpt2_gemma2_9b,llama70b,0.285,0.157,0.01,0.112
gpt2_gemma2_9b,mistral7b,0.23,0.147,0.004,0.127
gpt2_llama8b,gemma2_9b,0.388,0.169,0.018,0.152
gpt2_llama8b,llama8b,0.699,0.517,0.267,0.469
gpt2_llama8b,mixtral,0.413,0.185,0.028,0.163
gpt2_llama8b,llama70b,0.368,0.168,0.019,0.146
gpt2_llama8b,mistral7b,0.395,0.175,0.025,0.155
gpt2_mixtral,gemma2_9b,0.449,0.163,0.02,0.147
gpt2_mixtral,llama8b,0.411,0.187,0.037,0.167
gpt2_mixtral,mixtral,0.751,0.556,0.319,0.522
gpt2_mixtral,llama70b,0.393,0.174,0.019,0.152
gpt2_mixtral,mistral7b,0.428,0.167,0.02,0.15
gpt2_llama70b,gemma2_9b,0.397,0.169,0.018,0.15
gpt2_llama70b,llama8b,0.352,0.168,0.018,0.149
gpt2_llama70b,mixtral,0.36,0.172,0.017,0.154
gpt2_llama70b,llama70b,0.697,0.512,0.275,0.458
gpt2_llama70b,mistral7b,0.372,0.169,0.016,0.151
gpt2_mistral7b,gemma2_9b,0.458,0.185,0.034,0.162
gpt2_mistral7b,llama8b,0.385,0.163,0.024,0.146
gpt2_mistral7b,mixtral,0.42,0.171,0.021,0.151
gpt2_mistral7b,llama70b,0.385,0.162,0.018,0.144
gpt2_mistral7b,mistral7b,0.707,0.52,0.284,0.477
