feature,importance
war,2.896988204881268e-16
at,2.3071822230491534e-16
reed,2.0122792321330962e-16
vice,1.949395506128937e-16
made,1.8388068845354155e-16
poorly made,1.8388068845354155e-16
poorly,1.8301332671555315e-16
cagney,1.7694179454963432e-16
visual,1.730386667286865e-16
nourry,1.689186984732416e-16
james,1.6089560239684886e-16
personal,1.5959455978986625e-16
heat,1.5872719805187785e-16
contains various reviews,1.5612511283791264e-16
various reviews,1.5612511283791264e-16
various reviews and,1.5612511283791264e-16
consensus is that,1.5547459153442134e-16
consensus is,1.5547459153442134e-16
consensus,1.5547459153442134e-16
visual style,1.465841337200402e-16
was,1.4116312285761268e-16
is known for,1.3866945786089602e-16
is known,1.3866945786089602e-16
forgettable,1.3357370765021415e-16
being,1.3183898417423734e-16
is that,1.315137235224917e-16
sense of,1.3097162243624894e-16
criticize the,1.3010426069826053e-16
french,1.2598429244281562e-16
film that showcases,1.2598429244281562e-16
white heat,1.2576745200831851e-16
white,1.2576745200831851e-16
gangster,1.2576745200831851e-16
calling,1.249000902703301e-16
calling it,1.249000902703301e-16
reviews and,1.214306433183765e-16
club,1.214306433183765e-16
reviewers criticize the,1.1904539853890839e-16
of depth,1.1796119636642288e-16
lack of depth,1.1796119636642288e-16
sense,1.1449174941446927e-16
describe,1.1449174941446927e-16
inconsistent,1.1405806854547507e-16
attempt at,1.1275702593849246e-16
artistic,1.111307226797642e-16
with some reviewers,1.1102230246251565e-16
period,1.1102230246251565e-16
life of,1.0755285551056204e-16
reviews and opinions,1.0755285551056204e-16
and opinions,1.0755285551056204e-16
and opinions about,1.0755285551056204e-16
or,1.0755285551056204e-16
bruce,1.0614339268633088e-16
prune,1.0516761073109393e-16
prune nourry,1.0516761073109393e-16
see,1.0408340855860843e-16
known as,1.0364972768961422e-16
also known as,1.0364972768961422e-16
pettyfer,1.0278236595162582e-16
born,9.8879238130678e-17
that vice,9.746977530644685e-17
willis,9.746977530644685e-17
bruce willis,9.746977530644685e-17
that vice is,9.746977530644685e-17
vice is,9.746977530644685e-17
familiar,9.627715291671279e-17
however it,9.627715291671279e-17
bring,9.562663161322149e-17
criticize the film,9.540979117872439e-17
the french,9.367506770274758e-17
describe the,9.367506770274758e-17
age,9.237402509576498e-17
shallow,9.004299042492114e-17
effects,8.847089727481716e-17
originality many reviewers,8.782037597132586e-17
originality many,8.782037597132586e-17
stars,8.760353553682876e-17
work,8.760353553682876e-17
the war,8.760353553682876e-17
opinions about the,8.673617379884035e-17
also known,8.673617379884035e-17
poor,8.673617379884035e-17
mix,8.586881206085195e-17
they,8.586881206085195e-17
mix of,8.586881206085195e-17
is classic,8.586881206085195e-17
of the war,8.543513119185775e-17
highlight,8.500145032286355e-17
but its,8.500145032286355e-17
that showcases,8.456776945386935e-17
dull,8.326672684688674e-17
the club,8.326672684688674e-17
cop,8.326672684688674e-17
criticized the movie,8.261620554339544e-17
the film visual,8.239936510889834e-17
film is criticized,8.239936510889834e-17
made and,8.239936510889834e-17
poorly made and,8.239936510889834e-17
film visual,8.239936510889834e-17
but overall,8.239936510889834e-17
intense,8.239936510889834e-17
both,8.109832250191573e-17
the life of,7.979727989493313e-17
cult,7.979727989493313e-17
pace,7.979727989493313e-17
reviewers criticize,7.979727989493313e-17
post,7.936359902593892e-17
structure and,7.892991815694472e-17
themes while,7.83742645435459e-17
themes while others,7.83742645435459e-17
clash of the,7.81167665275806e-17
clash of,7.81167665275806e-17
ray harryhausen the,7.81167665275806e-17
ray harryhausen,7.81167665275806e-17
of the titans,7.81167665275806e-17
the titans,7.81167665275806e-17
titans,7.81167665275806e-17
ray,7.81167665275806e-17
clash,7.81167665275806e-17
harryhausen,7.81167665275806e-17
harryhausen the,7.81167665275806e-17
drama about,7.806255641895632e-17
understated and,7.762887554996212e-17
experimental approach,7.719519468096792e-17
as clumsy,7.719519468096792e-17
the consensus,7.676151381197371e-17
overall the consensus,7.676151381197371e-17
the consensus is,7.676151381197371e-17
they praise,7.632783294297951e-17
war the,7.589415207398531e-17
of fear and,7.535205098774256e-17
war period the,7.535205098774256e-17
period the film,7.535205098774256e-17
the best gangster,7.535205098774256e-17
of the 1930s,7.535205098774256e-17
the post,7.535205098774256e-17
violence to,7.535205098774256e-17
the post war,7.535205098774256e-17
violence to the,7.535205098774256e-17
visual style and,7.535205098774256e-17
war period,7.535205098774256e-17
of fear,7.535205098774256e-17
villain the film,7.535205098774256e-17
style and cagney,7.535205098774256e-17
overall consensus is,7.535205098774256e-17
the overall consensus,7.535205098774256e-17
starring james cagney,7.535205098774256e-17
starring james,7.535205098774256e-17
post war period,7.535205098774256e-17
ability to bring,7.535205098774256e-17
white heat starring,7.535205098774256e-17
performance as,7.535205098774256e-17
performance as villain,7.535205098774256e-17
post war,7.535205098774256e-17
villain,7.535205098774256e-17
period the,7.535205098774256e-17
villain the,7.535205098774256e-17
influence on,7.535205098774256e-17
to bring,7.535205098774256e-17
of the post,7.535205098774256e-17
overall consensus,7.535205098774256e-17
become more,7.524363077049401e-17
production and,7.45931094670027e-17
artist,7.45931094670027e-17
slow pace,7.45931094670027e-17
intense and,7.37257477290143e-17
the life,7.37257477290143e-17
scott,7.37257477290143e-17
animation,7.3075226425523e-17
derivative,7.3075226425523e-17
consider it one,7.3075226425523e-17
set,7.28583859910259e-17
critics describe,7.28583859910259e-17
negative,7.28583859910259e-17
become,7.28583859910259e-17
known,7.28583859910259e-17
for its unique,7.28583859910259e-17
film is compared,7.28583859910259e-17
lou reed,7.24247051220317e-17
the brooklyn,7.24247051220317e-17
and the brooklyn,7.24247051220317e-17
lou,7.24247051220317e-17
clichéd plot,7.24247051220317e-17
youth chorus the,7.24247051220317e-17
the brooklyn youth,7.24247051220317e-17
and lack of,7.24247051220317e-17
and lack,7.24247051220317e-17
youth chorus,7.24247051220317e-17
brooklyn youth,7.24247051220317e-17
reed and,7.24247051220317e-17
brooklyn,7.24247051220317e-17
chorus,7.24247051220317e-17
reed and the,7.24247051220317e-17
chorus the,7.24247051220317e-17
groundbreaking,7.24247051220317e-17
brooklyn youth chorus,7.24247051220317e-17
the music,7.24247051220317e-17
magnificent,7.22078646875346e-17
set in,7.19910242530375e-17
entertaining,7.112366251504909e-17
many reviewers also,7.068998164605489e-17
with some even,7.068998164605489e-17
poor acting,7.068998164605489e-17
vice is poorly,7.068998164605489e-17
