feature,importance
despite,6.38378239159465e-16
horror,6.314393452555578e-16
has,6.175615574477433e-16
the story,5.204170427930421e-16
emotional,5.065392549852277e-16
as well,4.891920202254596e-16
as,4.718447854656915e-16
the movie,4.718447854656915e-16
some reviewers,4.371503159461554e-16
strong,4.128641872824801e-16
but the,4.0245584642661925e-16
it,4.0072112295064244e-16
is not,3.86843335142828e-16
story,3.8163916471489756e-16
style,3.7470027081099033e-16
generally,3.677613769070831e-16
described,3.5388358909926865e-16
directed,3.469446951953614e-16
not,3.365363543395006e-16
by,3.2612801348363973e-16
as well as,3.2612801348363973e-16
well as,3.2612801348363973e-16
the film,3.191891195797325e-16
praised,3.191891195797325e-16
some critics,3.191891195797325e-16
depth,3.122502256758253e-16
and emotional,3.0878077872387166e-16
find,3.0531133177191805e-16
lacking in,3.0184188481996443e-16
while some,2.9891453895425357e-16
of the film,2.914335439641036e-16
is criticized,2.8406096919120216e-16
history,2.7755575615628914e-16
the movie is,2.740863092043355e-16
movie is,2.740863092043355e-16
titled,2.706168622523819e-16
movie,2.636779683484747e-16
criticize it,2.636779683484747e-16
and lacking in,2.5326962749261384e-16
american,2.498001805406602e-16
one of,2.498001805406602e-16
themes of,2.498001805406602e-16
follows the,2.463307335887066e-16
including,2.42861286636753e-16
complex,2.3592239273284576e-16
slightly,2.3592239273284576e-16
powerful,2.237793284010081e-16
opinions,2.220446049250313e-16
use of,2.220446049250313e-16
this the film,2.220446049250313e-16
but,2.220446049250313e-16
mixed,2.220446049250313e-16
characters,2.211772431870429e-16
who,2.185751579730777e-16
balance,2.1510571102112408e-16
lack,2.1510571102112408e-16
some reviewers appreciate,2.1423834928313568e-16
praise the,2.1163626406917047e-16
thriller and,2.1163626406917047e-16
featuring,2.0990154059319366e-16
lack of,2.0816681711721685e-16
explores the,2.0816681711721685e-16
be,2.0816681711721685e-16
despite its,2.0469737016526324e-16
renowned,2.0469737016526324e-16
the story of,2.0469737016526324e-16
and it,2.0469737016526324e-16
reviews and opinions,2.0122792321330962e-16
weak,2.0122792321330962e-16
performance the,1.968911145233676e-16
viewers,1.942890293094024e-16
tribute to the,1.942890293094024e-16
can be,1.942890293094024e-16
entertaining,1.942890293094024e-16
characters are,1.9212062496443139e-16
from,1.9081958235744878e-16
has received,1.8735013540549517e-16
the challenges,1.8735013540549517e-16
documentary that,1.8214596497756474e-16
feel that,1.8041124150158794e-16
have been,1.8041124150158794e-16
or,1.8041124150158794e-16
criticized the film,1.7867651802561113e-16
message,1.7694179454963432e-16
is generally,1.7694179454963432e-16
despite its flaws,1.7694179454963432e-16
features,1.7520707107365752e-16
film is also,1.734723475976807e-16
from critics,1.734723475976807e-16
attempts,1.734723475976807e-16
film for,1.734723475976807e-16
sense of,1.717376241217039e-16
moments,1.708702623837155e-16
line,1.700029006457271e-16
can,1.700029006457271e-16
however many,1.6978606021123e-16
provocative,1.682681771697503e-16
imagery,1.682681771697503e-16
some reviewers note,1.682681771697503e-16
the text describes,1.6653345369377348e-16
war,1.6653345369377348e-16
describes,1.6653345369377348e-16
awkwardly,1.6653345369377348e-16
text describes,1.6653345369377348e-16
and its,1.6653345369377348e-16
good,1.6566609195578508e-16
the characters are,1.6479873021779667e-16
like,1.6479873021779667e-16
acted and,1.6393136847980827e-16
explores themes of,1.6306400674181987e-16
explores themes,1.6306400674181987e-16
blume,1.6306400674181987e-16
game,1.6111244283134596e-16
is noted,1.6002824065886045e-16
criticized,1.5959455978986625e-16
romantic,1.5959455978986625e-16
praise the film,1.5959455978986625e-16
is disappointing,1.5785983631388945e-16
and engaging,1.5785983631388945e-16
young,1.5785983631388945e-16
the film explores,1.5612511283791264e-16
film explores,1.5612511283791264e-16
while it has,1.5612511283791264e-16
top,1.5612511283791264e-16
reviewers appreciate,1.5395670849294163e-16
influence,1.5265566588595902e-16
three,1.5265566588595902e-16
reviews about the,1.5265566588595902e-16
as its,1.5265566588595902e-16
feel,1.5265566588595902e-16
making it,1.5265566588595902e-16
themes,1.5265566588595902e-16
critics praise the,1.5146304349622497e-16
see for fans,1.5092094240998222e-16
it standout,1.5092094240998222e-16
costner,1.491862189340054e-16
however some,1.457167719820518e-16
are criticized for,1.446325698095663e-16
emotional depth,1.43982048506075e-16
thriller,1.43982048506075e-16
plays,1.4224732503009818e-16
but its,1.4224732503009818e-16
of the genre,1.4224732503009818e-16
fully,1.4051260155412137e-16
of the lives,1.4051260155412137e-16
strong performances,1.4007892068512717e-16
fall,1.3877787807814457e-16
which,1.3877787807814457e-16
received mixed reviews,1.3877787807814457e-16
received mixed,1.3877787807814457e-16
portrayal,1.3877787807814457e-16
others find,1.3877787807814457e-16
the film for,1.3877787807814457e-16
chantal,1.3877787807814457e-16
chantal akerman,1.3877787807814457e-16
culture,1.3877787807814457e-16
the complexities of,1.3704315460216776e-16
the film portrayal,1.3704315460216776e-16
film portrayal of,1.3704315460216776e-16
film portrayal,1.3704315460216776e-16
structure,1.3617579286417936e-16
flaws the,1.3530843112619095e-16
information,1.3530843112619095e-16
brings,1.3530843112619095e-16
action and,1.3530843112619095e-16
easy,1.3530843112619095e-16
critics found the,1.3444106938820255e-16
dour,1.3444106938820255e-16
effects the,1.3400738851920835e-16
well,1.3183898417423734e-16
to be,1.3183898417423734e-16
community,1.3183898417423734e-16
and lacking,1.3183898417423734e-16
opinions and,1.3183898417423734e-16
john,1.3183898417423734e-16
particularly from,1.3010426069826053e-16
unimpressive,1.3010426069826053e-16
the film themes,1.2988742026376343e-16
film themes,1.2988742026376343e-16
african american,1.2923689896027213e-16
critics also,1.2923689896027213e-16
beauty and,1.2923689896027213e-16
seen as,1.2858637765678083e-16
to the,1.2836953722228372e-16
disappointing,1.2836953722228372e-16
its unique,1.2836953722228372e-16
narrative,1.2836953722228372e-16
disappointment,1.2836953722228372e-16
as reminder,1.2576745200831851e-16
the text contains,1.249000902703301e-16
text contains,1.249000902703301e-16
violence the film,1.249000902703301e-16
is generally considered,1.24683249835833e-16
that it is,1.240327285323417e-16
adults,1.231653667943533e-16
some critics also,1.231653667943533e-16
psychology,1.2231155758352097e-16
human,1.214306433183765e-16
scares,1.214306433183765e-16
and entertaining,1.214306433183765e-16
group,1.214306433183765e-16
of brown,1.214306433183765e-16
describe the film,1.214306433183765e-16
is often described,1.209969624493823e-16
struggles to,1.196959198423997e-16
it is more,1.196959198423997e-16
performances of the,1.196959198423997e-16
well as its,1.1796119636642288e-16
about the movie,1.1796119636642288e-16
criticized as,1.1796119636642288e-16
overwhelmingly positive,1.1796119636642288e-16
akerman,1.1796119636642288e-16
simplistic,1.1796119636642288e-16
overly familiar,1.1752751549742868e-16
orridge,1.1709383462843448e-16
movie attempt to,1.1709383462843448e-16
it feel like,1.1709383462843448e-16
movie attempt,1.1709383462843448e-16
the movie attempt,1.1709383462843448e-16
realistic,1.1666015375944028e-16
and powerful,1.1622647289044608e-16
directed by john,1.1622647289044608e-16
message about the,1.1622647289044608e-16
is seen as,1.1590121223870042e-16
reviewers find it,1.1579279202145187e-16
well as the,1.1557595158695477e-16
and visual,1.1449174941446927e-16
compelling,1.1449174941446927e-16
boys,1.1449174941446927e-16
the film attempts,1.1449174941446927e-16
sense,1.1449174941446927e-16
film attempts,1.1449174941446927e-16
find the movie,1.1362438767648086e-16
is worth watching,1.1275702593849246e-16
both,1.1275702593849246e-16
visual,1.1275702593849246e-16
while some critics,1.1275702593849246e-16
criticize the film,1.1232334506949826e-16
developed,1.1188966420050406e-16
short,1.1188966420050406e-16
this the,1.1102230246251565e-16
to classic,1.1102230246251565e-16
film that,1.1102230246251565e-16
resulting in,1.1102230246251565e-16
criticize the,1.1102230246251565e-16
received,1.1102230246251565e-16
resulting,1.1102230246251565e-16
it is noted,1.1058862159352145e-16
save,1.1015494072452725e-16
the reviewers also,1.1015494072452725e-16
save it,1.1015494072452725e-16
film message,1.0928757898653885e-16
the film message,1.0928757898653885e-16
they appreciate,1.0842021724855044e-16
acceptance,1.0755285551056204e-16
the cast,1.0755285551056204e-16
young woman,1.0755285551056204e-16
media,1.0755285551056204e-16
is engaging,1.0755285551056204e-16
criticized the,1.0755285551056204e-16
historical,1.0755285551056204e-16
reviews critics,1.0755285551056204e-16
blends,1.0755285551056204e-16
with standout performances,1.0668549377257364e-16
they appreciate the,1.0668549377257364e-16
men,1.0603497246908233e-16
and often,1.0581813203458523e-16
filled,1.0581813203458523e-16
navigating,1.0581813203458523e-16
contributions to,1.0581813203458523e-16
of young,1.0581813203458523e-16
being overly,1.0581813203458523e-16
spirit of,1.0538445116559103e-16
underrated,1.0495077029659683e-16
is captivating,1.0451708942760263e-16
film the,1.0408340855860843e-16
at,1.0408340855860843e-16
attempt to balance,1.0408340855860843e-16
tone,1.0408340855860843e-16
appreciate the,1.0408340855860843e-16
is tribute to,1.0408340855860843e-16
is tribute,1.0408340855860843e-16
film and,1.0408340855860843e-16
critics describe it,1.0321604682062002e-16
various reviews,1.0299920638612292e-16
for its intimate,1.0278236595162582e-16
but it,1.0278236595162582e-16
its intimate,1.0278236595162582e-16
period,1.0278236595162582e-16
story of,1.0234868508263162e-16
and nuance,1.0148132334464322e-16
in war,1.0061396160665481e-16
some critics note,1.0061396160665481e-16
issues,1.0061396160665481e-16
of age drama,1.0061396160665481e-16
age drama,1.0061396160665481e-16
features strong,1.0061396160665481e-16
comedy film,1.0018028073766061e-16
science,9.974659986866641e-17
are not,9.8879238130678e-17
lost,9.8879238130678e-17
from lead,9.8879238130678e-17
be overly,9.8879238130678e-17
two,9.8879238130678e-17
often described as,9.84455572616838e-17
often described,9.84455572616838e-17
criticisms,9.80118763926896e-17
lives of,9.71445146547012e-17
performance,9.71445146547012e-17
crime thriller,9.71445146547012e-17
and disappointing,9.71445146547012e-17
fails to deliver,9.71445146547012e-17
critics describe the,9.71445146547012e-17
positive praising,9.71445146547012e-17
scares and,9.71445146547012e-17
who is,9.71445146547012e-17
reviewers also mention,9.6710833785707e-17
of time,9.627715291671279e-17
justice,9.584347204771859e-17
david,9.540979117872439e-17
writing,9.540979117872439e-17
yet,9.540979117872439e-17
the dark,9.540979117872439e-17
industry,9.540979117872439e-17
stylish,9.497611030973019e-17
paul,9.454242944073599e-17
through the,9.367506770274758e-17
it for being,9.367506770274758e-17
white heat,9.367506770274758e-17
describes documentary,9.367506770274758e-17
describes documentary titled,9.367506770274758e-17
is film that,9.367506770274758e-17
that subverts,9.367506770274758e-17
text describes documentary,9.367506770274758e-17
personal,9.367506770274758e-17
unique style,9.324138683375338e-17
tells,9.280770596475918e-17
critics praise,9.280770596475918e-17
mad,9.280770596475918e-17
has been criticized,9.280770596475918e-17
many others,9.194034422677078e-17
special effects,9.194034422677078e-17
making it standout,9.194034422677078e-17
potential,9.194034422677078e-17
