feature,importance
the,2.015054789694659e-15
in,9.658940314238861e-16
and,8.548717289613706e-16
to,5.502542865798432e-16
of,5.39499001028787e-16
with,5.329070518200751e-16
for,3.6637359812630164e-16
were,3.483324739761429e-16
in the,3.4416913763379854e-16
by,3.2474023470285827e-16
that,2.886579864025407e-16
an,2.789435349370706e-16
as,2.498001805406602e-16
have,2.317590563905014e-16
more,2.1094237467877973e-16
and the,2.067790383364354e-16
their,2.040034807748725e-16
points,1.9081958235744878e-16
are,1.8839096949108124e-16
at,1.7763568394002506e-16
was,1.7763568394002506e-16
led,1.7295193055488767e-16
lakers,1.5675395009795423e-16
second,1.5265566588595902e-16
of the,1.491862189340054e-16
believed to,1.4363510381087962e-16
people,1.4155343563970745e-16
on,1.4051260155412137e-16
obama,1.3565537582138632e-16
led by,1.3461454173580022e-16
project,1.3183898417423734e-16
game,1.3183898417423734e-16
including,1.3079815008865126e-16
has,1.304512053934559e-16
the lakers,1.285430095698814e-16
quarter,1.2628786905111155e-16
many,1.2594092435591619e-16
league,1.2212453270876723e-16
the uk,1.2177758801357186e-16
victory,1.2073675392798576e-16
the second,1.2073675392798576e-16
the project,1.1518563880486e-16
injury,1.1379786002407854e-16
part of,1.1275702593849246e-16
part,1.1275702593849246e-16
will,1.124100812432971e-16
won,1.1102230246251565e-16
unable to,1.1102230246251565e-16
unable,1.1102230246251565e-16
on the,1.1102230246251565e-16
10,1.1084883011491797e-16
five,1.1032841307212493e-16
oil,1.0824674490095276e-16
other,1.0685896612017132e-16
first,1.0547118733938987e-16
defeated,1.0477729794899915e-16
videos,1.0269562977782698e-16
in the second,1.0061396160665481e-16
new york,9.992007221626409e-17
york,9.992007221626409e-17
also,9.992007221626409e-17
bayern,9.992007221626409e-17
iceland,9.922618282587337e-17
back,9.8879238130678e-17
attacks,9.853229343548264e-17
the potential,9.853229343548264e-17
years,9.506284648352902e-17
took,9.43689570931383e-17
found,9.35015953551499e-17
over,9.159339953157541e-17
bombs,9.089951014118469e-17
network,9.020562075079397e-17
the area,9.020562075079397e-17
after the,8.916478666520788e-17
the first,8.881784197001253e-17
long,8.881784197001253e-17
celtics,8.361367154208211e-17
billion,8.326672684688674e-17
match against,8.326672684688674e-17
murray,8.196568423990414e-17
white,8.18789480661053e-17
facebook,8.118505867571457e-17
believed,8.049116928532385e-17
investment,7.979727989493313e-17
will now,7.91033905045424e-17
series,7.875644580934704e-17
champions league,7.840950111415169e-17
to communicate,7.840950111415169e-17
communicate,7.840950111415169e-17
since,7.632783294297951e-17
lyon,7.632783294297951e-17
to be,7.563394355258879e-17
angeles,7.494005416219807e-17
los,7.494005416219807e-17
los angeles,7.494005416219807e-17
potential for,7.355227538141662e-17
show,7.290175407792532e-17
seeking,7.216449660063518e-17
report,7.216449660063518e-17
is part,7.108029442814967e-17
