id,text,gold_rationale
8-376,"Question: Frilled sharks and angler fish live far beneath the surface of the ocean, which is why they are known as
Choices:
A: Deep sea animals
B: fish
C: Long Sea Fish
D: Far Sea Animals
"," The answer is A because both frilled sharks and angler fish are examples of deep-sea creatures that live at significant depths in the ocean, a habitat often characterized by extreme pressure, low temperatures, and complete darkness."
7-57,"Question: Gas can fill any container it is given, and liquid
Choices:
A: is standard weight and size
B: is the opposite of variable
C: only needs a few
D: uses what it needs
"," The answer is D: liquid only uses what it needs. This is because a liquid, like gas, can conform to the shape of its container, but it has a definite volume and will only occupy as much space as it needs."
7-1024,"Question: When birds migrate south for the winter, they do it because
Choices:
A: they are genetically called to
B: their children ask for them to
C: it is important to their happiness
D: they decide to each year
"," The answer is A because birds have a genetic predisposition to migrate; it is an instinctive behavior that is passed down through generations. The change in seasons, particularly the shortening of daylight hours, triggers this instinct, leading the birds to fly south for the winter in search of more abundant food sources and milder temperatures."
959,"Question: If a person walks in the opposite direction of a compass arrow they are walking
Choices:
A: west
B: north
C: east
D: south
"," The answer is D because if a person walks in the opposite direction of a compass arrow that points north, they are walking south."
9-241,"Question: An example of lots kinetic energy would be
Choices:
A: Drinking a cold glass of water
B: A snail moving across the sidewalk
C: sitting without moving anywhere
D: An aircraft taking a trip
"," The answer is B. A snail moving across the sidewalk has a lot of kinetic energy because, despite its small size and slow speed, it is in motion and therefore possesses kinetic energy. This is due to the fact that kinetic energy is the energy of motion, and is determined by an object's mass and velocity. Although a snail has a small mass, its continuous motion still gives it kinetic energy."
1953,"Question: Which organism cannot specialize?
Choices:
A: mammal
B: plant
C: fish
D: protozoa
"," The answer is D, protozoa. Protozoa are simple, single-celled organisms that do not have specialized tissues or organs, and therefore cannot specialize in the way that mammals, plants, and fish can."
7-97,"Question: A person can grow cabbage in January with the help of what product?
Choices:
A: Green house
B: Parliment
C: Congress
D: White house
"," The answer is A, a greenhouse. A greenhouse is a structure with walls and roof made mainly of transparent material, such as glass, where plants are grown. With the help of a greenhouse, a person can create a controlled climate that allows for the growth of cabbage during the winter month of January."
8-422,"Question: A frog, in winter, will burrow itself into soft mud, until it freezes, then in the spring
Choices:
A: it melts, because it is warm-blooded
B: it unfreezes, because it is cold-blooded
C: it remains frozen until it dies
D: it dies, because it is warm-blooded
"," The answer is B because as a cold-blooded animal, a frog's body temperature depends on its environment. Therefore, when it's frozen in soft mud during winter, it will unfreeze in the spring due to the rising temperature."
142,"Question: Which describes the size of an object?
Choices:
A: It attracts all metals
B: It is a sphere
C: It is red and purple
D: It holds 500 mL of water
"," The answer is D because the size of an object can be described by the amount of space it occupies or the volume it holds, such as 500 mL of water."
7-921,"Question: A body may find its temperature to be lowered after
Choices:
A: water is heated up
B: fluid spreads from pores
C: the air becomes arid
D: the sky stays bright
"," The answer is C. The air becoming arid (dry) can cause a body's temperature to decrease because dry air is unable to hold as much moisture as humid air, which can lead to increased evaporation from the skin and thus a cooling effect on the body."
8-22,"Question: If a person enjoys long, sunny days their favorite month would be
Choices:
A: October
B: July
C: April
D: March
"," The answer is B, July. This month is known for having long, sunny days in many parts of the world."
9-1039,"Question: An example of data collection is
Choices:
A: Deleting case files on the computer
B: Touching evidence without gloves
C: speaking with a witness
D: Throwing documents in the trash
"," The answer is C because speaking with a witness is an example of data collection. In research, data collection refers to the process of gathering and measuring information on variables of interest, in this case, information provided by a witness. Options A, B, and D are examples of poor data handling practices."
739,"Question: An animal can hunt by cracking open a
Choices:
A: claw
B: house
C: shell
D: bone
"," The answer is C because certain animals, such as nutcrackers or some species of macaque, can crack open hard-shelled seeds or nuts to access the food inside."
7-684,"Question: Oil is a nonrenewable resource which tells us that when
Choices:
A: it can be remade
B: it can be found in other places
C: there is an endless supply
D: the final barrel is gone, there supply is finished
"," The answer is D. Oil is considered a nonrenewable resource because it takes millions of years to form, and once it is extracted and used, it cannot be replenished in a short period of time. Therefore, when the final barrel of oil is extracted, the supply is essentially finished."
8-9,"Question: Magma contains
Choices:
A: particles of iron
B: Loads of leaves
C: Soda
D: Silly Putty
"," The answer is A because magma is a molten or semi-fluid mixture of rock, volatiles and solids that includes various minerals, some of which contain particles of iron."
9-1126,"Question: Dew is formed when what condenses?
Choices:
A: carbon dioxide
B: warm air
C: H2O haze
D: oxygen
"," The answer is C: Dew is formed when water vapor (H2O) in the air condenses on surfaces, such as grass or leaves, when the temperature drops."
7-316,"Question: The Earth revolving around the sun can cause
Choices:
A: constellations to appear in one place in spring and another in fall
B: the stars to rotate diagonally in the sky
C: earth's axis to be widened
D: stars to fade as winter approaches
"," The answer is A. The Earth's revolution around the sun results in the changing of seasons and the apparent movement of constellations in the sky. As the Earth orbits the sun, different constellations are visible in the night sky during different seasons, causing them to appear in one place in spring and another in fall."
9-106,"Question: Plants need light for
Choices:
A: love
B: glucose
C: reading
D: driving
"," The answer is B because plants need light for photosynthesis, which is the process by which they convert light energy, usually from the sun, into chemical energy in the form of glucose (or sugar). This glucose is used by the plant for growth and development."
9-900,"Question: Tunnels
Choices:
A: lead to less impacted soil
B: pact down soil to make it denser
C: firm up the ground
D: help prevent the effects of erosion
"," The answer is A because tunnels can lead to less impacted soil, as they provide a path for water to flow through, reducing the amount of soil erosion and compaction. This can help maintain the soil's structure and fertility, making it more suitable for supporting plant life and promoting healthy ecosystems."
9-902,"Question: A fire starts in a wide, open field and catches onto a forest. The fire started even though people were far away from the woods. A potential cause for the start of it could have been
Choices:
A: wind
B: sand
C: stones
D: storms
"," The answer is A because wind can carry sparks or embers to the forest, igniting a fire, especially in dry conditions."
7-1139,"Question: To have a positive impact of the environment
Choices:
A: use Styrofoam plates and bowls
B: use more paper towels
C: salvage plastic bottles instead of throwing them away
D: drive a car that guzzles gas
"," The answer is C because by salvaging plastic bottles instead of throwing them away, you are reducing plastic waste and promoting recycling, which has a positive impact on the environment."
529,"Question: Taking shorter showers leads to
Choices:
A: water shortages for the local environment
B: increased energy consumption by the water heater
C: an empty water heater
D: less energy used by the water heater
"," The answer is D because taking shorter showers leads to less hot water being used, which in turn reduces the amount of energy consumed by the water heater."
231,"Question: Roads present danger to animals because
Choices:
A: only chickens can cross the road
B: people driving cars might be unaware the animal is close by
C: road signs are hard to read
D: cops will stop them for speeding
"," The answer is B. Roads can pose a danger to animals because drivers may not be aware that an animal is nearby and could accidentally hit them. This is especially true during periods of low visibility, such as at night or during bad weather."
9-472,"Question: plant requires what for photosynthesis
Choices:
A: light that changes color
B: light from our closest star
C: the reflection of something shiny
D: light reflected from our orbiting rock
"," The answer is B because plants use light from our closest star (the Sun) as a source of energy for photosynthesis, a process in which they convert light energy into chemical energy to fuel their growth and development."
7-606,"Question: Winter solstice occurs on a day when
Choices:
A: the sun is brightest
B: the sun is eclipsed
C: the moon is full
D: the darkness is greatest
"," The answer is D because winter solstice is the shortest day of the year and longest night, meaning the period of darkness is the greatest. This occurs when the Earth's axial tilt is furthest away from the sun in the Northern Hemisphere, resulting in fewer daylight hours."
230,"Question: What boils at the boiling point?
Choices:
A: Kool-Aid
B: Cotton
C: Paper towel
D: Hair
"," A: Kool-Aid. The boiling point is the temperature at which a liquid turns into a gas or vapor. In this case, Kool-Aid (a liquid) would boil and turn into steam when heated to its boiling point. The other options (cotton, paper towel, and hair) are all solids and do not boil."
7-131,"Question: When vapor condenses overnight it often ends up on
Choices:
A: bees
B: clothing
C: rosebuds
D: people
"," The answer is C because when water vapor condenses, it forms tiny droplets of liquid water, which often appear on cool surfaces such as rosebuds (and other plants, cars, windows, etc.) in the morning."
7-847,"Question: Which is a good source of nutrients for a mushroom?
Choices:
A: a trotting horse
B: a roaring lion
C: a cut peony
D: a flying eagle
"," The answer is A, a trotting horse. Mushrooms, like other fungi, are saprophytes, which means they obtain nutrients by decomposing organic material. Horses produce organic material in the form of manure, which can serve as a food source for mushrooms."
8-162,"Question: which of these animal's habitat is peat likely to be found?
Choices:
A: a dog's habitat
B: a cat's habitat
C: a human's habitat
D: an alligator's habitat
"," The answer is D because peat is commonly found in wetlands, which are a type of habitat for alligators. Peat is formed from the partially decomposed remains of plants, typically in wetlands with poor drainage and acidic conditions."
7-289,"Question: A strawberry is in zero way a true berry because it
Choices:
A: has seeds outside the flesh, unlike the blueberry
B: is unable to spread its seed
C: is a different color than other berries
D: is too wet inside
"," The answer is A because a true berry, according to the botanical definition, has its seeds contained within the fruit's flesh, unlike a strawberry which has seeds on the outside."
1565,"Question: The epidermis is part of
Choices:
A: is the largest organ and also the body's first defense against germs
B: is used the second largest organ and used for breathing by humans
C: soaks in toxins in the air
D: repels sunlight and UV rays
"," A: the epidermis is the largest organ and also the body's first defense against germs. It is the outermost layer of the skin, providing a barrier between the body and the environment."
1981,"Question: Alligators
Choices:
A: eat gar
B: eat only foliage
C: have live births
D: are warm-blooded
"," The answer is C. Alligators are known for having live births. Female alligators build a nest for their eggs, which incubate for about 65 days. When the young alligators hatch, they emit a high-pitched squeal that signals the mother to gently open the nest and help her hatchlings get to the water."
670,"Question: What might occur during an experiment
Choices:
A: severe oxygen depletion in the atmosphere
B: layers of the ozone disintegrating
C: midterm exams for math class
D: solution overflowing from a beaker
"," The answer is D because during an experiment, especially in a laboratory setting, it is possible for a solution to overflow from a beaker if the volume of the liquid exceeds the capacity of the container or if the reaction causes the production of gases."
7-915,"Question: Frogs are unable to give live birth, and their eggs are soft, unlike other eggs, in fact
Choices:
A: frog eggs are sour
B: frog eggs are transparent
C: frog eggs are yellow
D: frog eggs are hollow
"," The answer is B because frog eggs are typically transparent, allowing one to see the developing embryo inside."
8-38,"Question: A woman wants to figure out what renewable resources she can use in order to be more environmentally friendly and sufficient. She decides to use all of these resources that are renewable, with the exception of the one nonrenewable, which is
Choices:
A: sunlight
B: aluminium
C: wood
D: water
"," The answer is B, aluminum. Aluminum is a nonrenewable resource because it requires a significant amount of energy and time to extract and refine it from its ore, bauxite. On the other hand, sunlight, wood, and water are all renewable resources that can be replenished naturally and sustainably over time."
7-512,"Question: Cocoon creation occurs
Choices:
A: after the caterpillar stage
B: after the chrysalis stage
C: after the eggs are laid
D: after the cocoon emerging stage
"," The answer is A because the life cycle of a butterfly consists of several stages, including egg, larva (caterpillar), chrysalis, and adult. The cocoon is created during the final stages of the larva stage, before the creature enters the chrysalis stage."
353,"Question: Where would animals shiver the most?
Choices:
A: Arctic Circle
B: Sumatra
C: Java
D: tropical rainforest
"," The answer is A: Arctic Circle. In the Arctic Circle, the temperature can drop significantly below freezing, causing animals to shiver in an attempt to generate body heat and maintain their body temperature."
1061,"Question: In the desert it was harder to find a
Choices:
A: stream
B: cactus
C: dry bed
D: canyon
"," The answer is A because in a desert, finding a stream or source of water can be challenging due to the arid climate."
9-108,"Question: Why can an Owl retain it's body temperature during the winter?
Choices:
A: It's neither
B: It's both
C: It's cold blooded
D: It's warm blooded
"," The answer is D because owls are warm-blooded animals, which means they can regulate their body temperature and maintain it even during cold winter months."
1282,"Question: What is the source of energy for physical cycles on Earth?
Choices:
A: clouds that are heavy with rain
B: a thinner ozone layer
C: a medium-sized star which our planet orbits
D: heat from stars at night
"," The answer is C because the source of energy for physical cycles on Earth is the Sun, which is a medium-sized star that our planet orbits. The Sun's energy drives various processes on Earth, such as weather patterns, ocean currents, and photosynthesis in plants."
9-634,"Question: Pasteurization reduces the amount of bacteria in
Choices:
A: green tea
B: cheddar cheese
C: orange juice
D: almond milk
"," The answer is C because pasteurization is a process that involves heating a liquid, such as orange juice, to kill bacteria and other microorganisms that can cause spoilage or illness. This process is commonly used for milk, juice, and other beverages."
9-805,"Question: A person is trapped in a cabin while it storms outside. The person knows it is storming because of
Choices:
A: the precipitation
B: the sun
C: the sea
D: the stars
"," The answer is A because during a storm, there is usually precipitation in the form of rain, snow, or sleet, which the person can hear or see, indicating that it is storming outside."
1324,"Question: Which would best store new whale offspring?
Choices:
A: large egg carton
B: large aquarium
C: bag
D: mud hole
"," The answer is B because a large aquarium would be the best option to store or hold newborn whale offspring, also known as a calf. This is because whales are mammals and give live birth underwater, so the calf needs to be in an aquatic environment. An aquarium would provide the necessary water and space for the calf to move around, as well as the ability to regulate the water temperature and quality. An egg carton, bag, or mud hole would not be suitable for a whale calf as they do not provide the necessary aquatic environment and space for the calf to grow and thrive."
9-753,"Question: All the deer in one area moved away. This could be because
Choices:
A: They wanted to go to Disneyland
B: The deer went for a walk and got lost
C: all the trees had died from disease and fell down
D: They wanted to live where there were move wolves to keep them company
"," The answer is C. Deer rely on trees for food and shelter, so if all the trees in an area have died, the deer would need to move to a different location to survive. Disease and falling trees would be likely reasons for the deer to leave."
7-620,"Question: An herbivore like a giraffe will only consume
Choices:
A: green matter
B: sticks
C: algae
D: cheese
"," The answer is A: green matter. Giraffes primarily feed on leaves, shoots, and branches of trees, which are all forms of green matter."
1715,"Question: Climate change has sped up dramatically because
Choices:
A: CO2 production has accelerated
B: a rapid decline the production of carbon dioxide
C: oxygen levels have spiked
D: Fe has been present in an overabundance
"," The answer is A because climate change has been exacerbated by the accelerated production of greenhouse gases, particularly carbon dioxide (CO2), from human activities such as burning fossil fuels and deforestation."
721,"Question: What is most necessary for a  bitcoin operation
Choices:
A: abacus
B: metal
C: plastic
D: wood
"," The answer is none of the above (None of the options A, B, C, D). Bitcoin operations don't require any of those materials (abacus, metal, plastic, or wood) specifically. Instead, they require specialized computer hardware and software, a secure internet connection, and access to a Bitcoin exchange or wallet."
9-989,"Question: If something is outside during the day what will it receive?
Choices:
A: food
B: sunbeams
C: energy
D: water
"," The answer is B, as something that is outside during the day will receive sunbeams. This is because the sun is visible during the daytime and can shine its light on objects outside."
7-191,"Question: A turtle may lay six eggs, and a sea turtle may lay a hundred eggs, and
Choices:
A: turtles will hatch more
B: sea turtles will hatch more
C: animals can lay eggs
D: turtles are warm blooded
"," The answer is B. Sea turtles, being larger and having different reproductive strategies compared to land turtles, can lay a significantly larger number of eggs. Therefore, if a turtle (without specifying the type) may lay six eggs, then it is likely that a sea turtle will lay more than six eggs, and in reality, sea turtles can lay over a hundred eggs in a single nest."
7-1028,"Question: Squirrels store acorns
Choices:
A: they build their homes from them
B: they use them to keep warm
C: to have nourishment thru the cold months
D: because they like the aesthetic
", The answer is C. Squirrels store acorns and other nuts to use as a food source during the colder months when fresh food is scarce. This behavior helps them survive the winter and is an example of their natural food caching behavior.
1343,"Question: Plant growth may be positively affected by
Choices:
A: extra rainfall
B: freezing temperatures
C: increase in pests
D: long droughts
"," The answer is A because extra rainfall can provide plants with the necessary water for growth, helping them to stay hydrated and promoting photosynthesis. Freezing temperatures (B) can damage or even kill plants, increase in pests (C) can negatively affect plant growth by feeding on them or spreading diseases, and long droughts (D) can lead to water stress and limit plant growth."
7-114,"Question: An electric car uses less gasoline than a regular car because
Choices:
A: parts of the engine are flawed
B: gas is unable to be used
C: electricity is more expensive
D: power is prioritized over gas
"," The answer is B. An electric car uses less (or no) gasoline than a regular car because it runs on electricity, not gasoline. Gasoline is not used at all in an electric car, so there is less need for it."
